id,label,text,view
0,splassh,OFFLINE ONLINE CHOOSE YOUR TYPE OF WORKING BELOW Pharmaceuticals,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
1,VIEW,null,null
2,scheduledoctoroffline,SEARCH,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.EditText
3,NavigationActivity,repnamenow,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.ExpandableListView android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.Button android.widget.TextView android.widget.ImageView
4,expensepage,DOWNLOAD REPORTS IN EXCEL Office holidays Meeting Leave Out-station Ex-station Local SA FR TH WE TU MO SU MONTHLY TOUR PLAN,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.GridView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
5,addnewdoctorrr,ENTER PINCODE SELECT CLIENT LEVEL CHOOSE ANNIVERSARY CHOOSE DOB EMAIL ID REGISTERATION NUMBER CORE BRAND TYPE ADDRESS Out station Local Ex Non prescriber Prescriber CONSULTANT PRESCRIBER DISPENCY NEW EXISTING NON CORE CORE FEMALE MALE SHOP CUSTOMER TYPE WEBSITE TYPE EMAIL ID TYPE MOBILE NO TYPE AVERAGE PATIENT PER VISIT TYPE QUALIFICATION TYPE SPECIALITY TYPE SHOP/DR NAME TYPE OWNER NAME,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView aaapeeappliances.repappnew.in.CustomAutoCompleteTextVieww android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.Spinner android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText
6,leaveapplyoncalendar,OFFICIAL DUTY Office holidays BUSINESS LEAVE PLAN LEAVE Meeting UNPLAN Leave Out-station Ex-station Local SA FR TH WE TU MO SU LEAVE PLAN,android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.GridView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
7,productpricelist,SEARCH PRODUCT,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
8,managerappdoctorlistt,DOWNLOAD CUSTOMER CLICK TO REFRESH CUSTOMER SEARCH,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.EditText
9,missedcallpage,SA FR TH WE TU MO SU MISSED CALL REPORTING,android.widget.LinearLayout android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
10,miseeddoctordisplay,SEARCH,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button
11,contactus,MSG CALL MOBILE:9841700039 REGARDING ISSUES WITH APPLICATION OR FOR FURTHER IMPROVEMENT IN APP.PLEASE CONTACT PANDIYAN SUPPORTING TEAM FOR AAA PEE MICANDMAC SOLUTIONS PRIVATE LIMITED,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.TextView
12,ExpensesActivity,CLICK TO ADD IMAGE REMARKS.. AMOUNT dvfcvbvb CLICK TO ADD IMAGE REMARKS.. AMOUNT dvfcvbvb DONE,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.EditText
13,ViewExpensesActivity,null,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView
14,ShowroomActivity,OUTTIME INTIME IN OUT TIME,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView
15,stockbooking,CLICK TO REFRESH BALC FCODE OPEN DISC SEARCH,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ListView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText
16,repenrollmentpage,REP REGISTER,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView
17,adddistrictMainActivity,IMEI NO,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.Spinner android.widget.LinearLayout android.widget.EditText
18,doctorregisteraiton,ENTER-DR'S PREFERRED TIME FOR REP ENTER-DR AVAILABILITY DAYS FOR REP. MOBILE NO REGISTER NO ADDRESS QUALIFICATION SPECIALITY DOCTOR'S NAME HOSPITAL NAME DOCTOR REGISTER,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView
19,hospitalsecondpage,Add Search pincode How many years the DR is in this location,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.ListView android.widget.EditText android.widget.LinearLayout android.widget.Spinner android.widget.EditText
20,mapforplotMainActivity,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button
21,doctorapprovalMainActivity,SCHEDULED CALL LIST,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ListView
22,MapsActivity,null,null
23,managerdoctorapprovalMainActivity,DOCTORS LIST REVIEW recentdocname PRODUCT,android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ListView
24,reportfornowclass,Italia Inter Milan JOIN INDIVIDUAL WORK TYPE Call report... Doctor feedback... View product Search your product... TYPE OF CALL reportdoctorname,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Spinner android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.EditText android.widget.EditText android.widget.Button aaapeeappliances.repappnew.in.CustomAutoCompleteTextView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.CheckBox android.widget.TextView android.widget.LinearLayout android.widget.TextView
25,productlistDisplayActivity,zdgxfbhxf PRODUCT PROPOSED,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
26,theraphylistactivity,Delete View Add zdgxfbhxf Competitor products,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
27,particularcompostiondisplay,zdgxfbhxf name,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
28,theraphyaddinside,Approximate value in rupees Quantity Company name Brand name Search composition name,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText aaapeeappliances.repappnew.in.CustomAutoCompleteTextView android.widget.TextView
29,custnewpincodepincode22bulksmsstudenteventsview,APPOINTMENTS,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView aaapeeappliances.repappnew.in.custnewpincodepincode22bulksmsstudentPullToRefreshListView
30,smssendingreport,SEARCH,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
31,pobbookingclient,SAMPLE GIVEN-NO RETAILER NEED PDT USING/SAMPLE GIVEN PROPOSED PRODUCT Type quantity and additional offer for product CHOOSE PAYMENT TERMS CASH OR CHEQUE CHEQUE CASH DIRECT STOCKIST 0 HRS : 0 MIN : 0 SEC drname PURCHASE ORDER BOOKING,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RelativeLayout android.widget.Button android.widget.ListView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioGroup android.widget.EditText android.widget.LinearLayout aaapeeappliances.repappnew.in.CustomAutoCompleteTextViewww android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
32,visitplottingqw,ENTER IF GIFT HAS BEEN GIVEN CLICK THE ARROW FOR REPORTING,android.widget.RelativeLayout android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.TextView
33,downloadingofflinedata,null,android.widget.LinearLayout
34,viewrepproduct,SEARCH DATE,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
35,viewpro2,SEARCH PRODUCT,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
36,displayareaa,ALL CUSTOMERS CLICK HERE No data No data No data SEARCH,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText
37,schedulingmisseddrsfortheday,AAA PEE REP No data No data No data AAA PEE REP No data No data No data SEARCH,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText
38,clientlistttts,SEARCH,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
39,pobpendingview,boooke DUE DATE DR QO NUMBER,android.widget.RelativeLayout android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ListView
40,offlineslideGridViewActivity,null,android.widget.GridView android.widget.ImageView
41,offlineslideFullScreenViewActivity,null,android.widget.LinearLayout android.support.v4.view.ViewPager
42,favclickfromdashb,SEARCH DOCTOR,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.EditText
43,mapforplotteddoctor,null,android.widget.RelativeLayout
