id,label,text,view
0,MainActivity,freekodiaddons.com fahamin,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
1,web,null,android.widget.LinearLayout android.webkit.WebView com.google.android.gms.ads.AdView
2,EnglishLatin,freekodiaddons.com fahamin,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
3,ContextAddons,freekodiaddons.com fahamin,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
4,MusicAddons,freekodiaddons.com fahamin,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
5,M3uList,freekodiaddons.com fahamin,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
6,EnglishAddons,freekodiaddons.com fahamin,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
7,GameAddons,freekodiaddons.com fahamin,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
8,ABOUT,��Kodi (formerly XBMC) is a free and open source media player application developed by the XBMC/Kodi Foundation a non-profit technology consortium. Kodi is available for multiple operating-sy,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView
9,BuildsActivity,1501 ID: Admin freekodiaddons.com fahamin,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.support.v7.widget.CardView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
10,MAIN,null,null
11,Spalsh_screen,KODI ADDONS Text Here,android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.ImageView
