id,label,text,view
0,LoginActivity,Register Forgot MPIN Sign In Mpin Customer Id or User ID: Register Forgot MPIN Sign In Mpin Customer Id or User ID: Register Forgot MPIN Sign In Mpin Customer Id or User ID:,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.view.View android.widget.TextView android.widget.ImageButton android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.view.View android.widget.TextView android.widget.ImageButton android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.view.View android.widget.TextView android.widget.ImageButton android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.ImageView
1,SplashPage,Click To Continue! Session Timeout,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout mbLib.CusFntTextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView mbLib.CusFntTextView android.widget.ImageView android.widget.ImageView android.widget.ImageView
2,Register,Validate Registered Mobile No. Know Your Customer ID ? Customer Id or User ID: Register,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
3,ForgotPassword,Submit Answer Here Security Question 1 Proceed Enter Customer Id Reset MPIN,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView mbLib.CustomEditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout mbLib.CusFntTextView mbLib.CusFntTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView mbLib.CustomEditText android.widget.TextView android.widget.LinearLayout android.widget.TextView mbLib.CusFntTextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
4,ContactUs,Bank Web Url Bank Phone Number Bank Email Id Welcome!,android.widget.LinearLayout android.widget.LinearLayout mbLib.CusFntTextView mbLib.CusFntTextView mbLib.CusFntTextView mbLib.CusFntTextView mbLib.CusFntTextView mbLib.CusFntTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
5,LocateUs,Locate Us,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
6,MainActivity,null,android.support.v4.widget.DrawerLayout android.widget.FrameLayout
7,DashboardDesignActivity,Other Services Cheque Related Manage Beneficiary Fund Transfer Mini Statement Operative Loan Term Deposit Saving & Current,android.widget.LinearLayout adinath.mbank.DashboardLayout mbLib.CustomButton mbLib.CustomButton mbLib.CustomButton mbLib.CustomButton mbLib.CustomButton mbLib.CustomButton mbLib.CustomButton mbLib.CustomButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton
8,LoginActivity1,Forgot MPIN Sign In Customer Id or User ID: Enter MPIN Register Forgot MPIN Sign In Mpin Customer Id or User ID:,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout mbLib.CustomEditText mbLib.CusFntTextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.view.View android.widget.TextView android.widget.ImageButton android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.ImageView
9,ValidateSecQueActivity,Submit Answer Here Security Question: Security Question: Register Forgot MPIN Sign In Mpin Customer Id or User ID:,android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView mbLib.CustomEditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView mbLib.CusFntTextView android.widget.TextView mbLib.CusFntTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.view.View android.widget.TextView android.widget.ImageButton android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.LinearLayout mbLib.CustomEditText android.widget.ImageView android.widget.ImageView
