id,label,text,view
0,MainActivity,Units Converter Steel Weight Calculator Bricks/Blocks Wall Calculator Mix Concrete Calculator Foundation Concrete Calculator,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
1,Privacy_policy,If you have any questions or suggestions about my Privacy Policy do not hesitate to contact me. Contact Us I may update our Privacy Policy from time to time. Thus you are advised to review this page periodically for any changes. I will notify you of any changes by posting the new Privacy Policy on this page. These changes are effective immediately after they are posted on this page. Changes to This Privacy Policy These Services do not address anyone under the age of 13. I do not knowingly collect personally identifiable information from children under 13. In the case I discover that a child under 13 has provided me with personal information I immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information please contact me so that I will be able to do necessary actions. Children’s Privacy This Service may contain links to other sites. If you click on a third-party link you will be directed to that site. Note that these external sites are not operated by me. Therefore I strongly advise you to review the Privacy Policy of these websites. I have no control over and assume no responsibility for the content privacy policies or practices of any third-party sites or services. Links to Other Sites I value your trust in providing us your Personal Information thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet or method of electronic storage is 100% secure and reliable and I cannot guarantee its absolute security. Security I want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However they are obligated not to disclose or use the information for any other purpose. To assist us in analyzing how our Service is used. To perform Service-related services; or To provide the Service on our behalf; To facilitate our Service; I may employ third-party companies and individuals due to the following reasons: Service Providers <uses-permission android:name="android.permission.ACCESS_NETWORK_STATE" /> <uses-permission android:name="android.permission.INTERNET" /> Access Internet Permission Policy Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory. This Service does not use these “cookies” explicitly. However the app may use third party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies you may not be able to use some portions of this Service. Cookies I want to inform you that whenever you use my Service in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address device name operating system version the configuration of the app when utilizing my Service the time and date of your use of the Service and other statistics. Log Data AdMob Google Play Services For a better experience while using our Service I may require you to provide us with certain personally identifiable information including but not limited to Calculate Concrete Steel Bricks With Full Details. The information that I request will be retained on your device and is not collected by me in any way. The app does use third party services that may collect information used to identify you. Link to privacy policy of third party service providers used by the app Information Collection and Use Aink Studio built the Builder Calculator app as a Free app. This SERVICE is provided by Aink Studio at no cost and is intended for use as is. This page is used to inform visitors regarding my policies with the collection use and disclosure of Personal Information if anyone decided to use my Service. If you choose to use my Service then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy. The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions which is accessible at Builder Calculator unless otherwise defined in this Privacy Policy. Privacy Policy,android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
2,VIEW,null,null
3,Foundation_Concrete,null,android.widget.RelativeLayout
4,Strip_Foundation_three,Size (E) fill Thick (D) fill Cft )( Cft )( ( Cft ) Results : Strip Foundation Concrete Results : fill Quantity (nos) kg fill 1 Cement bag fill Dry volume fill 1 Cement bag price fill Height (C) fill Width (A) fill Length (B) Dimension of Three Strip Foundation Concrete fill Aggregate fill Sand fill Cement Concrete Ratio Calculate,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Spinner android.widget.EditText android.widget.TextView android.widget.Spinner android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.Spinner android.widget.Spinner android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button com.google.android.gms.ads.AdView
5,Strip_Foundation_Four,Thick (D) fill Cft )( Cft )( Cft )( Results : Strip Foundation Concrete Results : fill Quantity (nos) kg fill 1 Cement bag fill Dry volume fill 1 Cement bag price fill Height (C) fill Width (A) fill Length (B) Dimension of Four Strip Foundation Concrete fill Aggregate fill Sand fill Cement Concrete Ratio Calculate,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Spinner android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.Spinner android.widget.Spinner android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button com.google.android.gms.ads.AdView
6,Strip_Foundation,Thick (D) fill Cft )( ( Cft ) Cft )( Results : Strip Foundation Concrete Results : fill Quantity (nos) kg fill 1 Cement bag fill Dry volume fill 1 Cement bag price fill Height (C) fill Width (A) fill Length (B) Dimension of Strip Foundation Concrete fill Aggregate fill Sand fill Cement Concrete Ratio Calculate,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Spinner android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.Spinner android.widget.Spinner android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button com.google.android.gms.ads.AdView
7,Strip_Foundation_Two,Thick (D) fill ( Cft ) Cft )( ( Cft ) Results : Strip Foundation Concrete Results : fill Quantity (nos) kg fill 1 Cement bag fill Dry volume fill 1 Cement bag price fill Height (C) fill Width (A) fill Length (B) Dimension of two Strip Foundation Concrete fill Aggregate fill Sand fill Cement Concrete Ratio Calculate,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.widget.Spinner android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.Spinner android.widget.Spinner android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button com.google.android.gms.ads.AdView
8,Foundation_Concrete_Calculator,Four Section Strip Foundation Concrete Calculator Three Section Strip Foundation Concrete Calculator Two Section Strip Foundation Concrete Calculator Strip Foundation Concrete Calculator,android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
9,Mix_Concrete_Calculator,Round Column Concrete Calculator Square Column Concrete Calculator Slab Concrete Calculator,android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
