id,label,text,view
0,Splash,Nepali Constitution 2072,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView
1,MainActivity,Search Neary By Constitution (Draft-2072) Prime Ministers Constituent Assembly Treaty & Agreement Interim Constitution Constitution 2072(NEW) National Anthem Torch,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.TextView android.widget.ImageView
2,ContentList,Nepali English aaadadfadfafbakjfkjasdkjfasdjfkajdfkjadkfjakdjfa;kdjfakdjajdkfjakdjfak;djfkajdfkajdkfjakdfjakdjfkajdsfklajsdkjakfdja;fjdkajf;asdjf;kasjdfkjas;dfjas;kdfj title नयाँ संविधानकाे मस्याैदा,android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.FrameLayout com.twotoasters.jazzylistview.JazzyListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
3,AgreementList,Agreement Name aaaaaaaaaa aaaaaaaaaaaaaaaa bbbbbbbbbbbbbbbb aaaaaa ssssss aaaaaaa Nepali Treaty & Agreement,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
4,ConstituentMembers,Constituent Assembly 2070 Constituent Assembly 2064 Gorkha Communist Party of Nepal (Maoists) PR Hon. Baburam Bhattarai Enter Your Search Search By Know your CA Member,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView
5,PrimeMinister,Prime Ministers of the Federal Democratic Republic of Nepal (2008-Present) Prime Ministers during the Constitutional monarchy (1990-2008) Prime Ministers during the Absolute monarchy (1799-1990) 28-May-08 25-Apr-06 1925-2010 days Communist Party of Nepal (Maoists) Hon. Baburam Bhattarai (1) Prime Ministers Of Nepal,android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
6,SearchPlaces,null,null
7,NationalAnthem,abcdef National Anthem Of NEPAL,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
8,VIEW,null,null
9,ContentPage,interim constitution Constitution,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
10,AgreementContent,abcdef Nepali Politics Treaty & Constitution,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView
