id,label,text,view
0,AttachFile,There are no attachments. KB) ( KB) ( Attachments,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.support.v7.widget.Toolbar
1,IMAGE_CAPTURE,null,null
2,AdditionalFieldsActivity,There are no additional fields.,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ExpandableListView android.view.View android.support.v7.widget.Toolbar
3,CaseList,There are no cases at the moment. : State : State List of Tickets,android.widget.RelativeLayout com.melnykov.fab.FloatingActionButton android.widget.TextView android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
4,WelcomeInitial,Anonymous access Register Enter user information Scan QR code Select the authentication method Welcome,android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.ImageView
5,AnonymousFarewell,The case was successfully created thank you for using our service. You will be redirected to the Welcome screen.,android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView
6,CaseDetail,0 0 0 ADDITIONAL INFORMATION 0 0 CASE INFORMATION Valor del ci : CI : State Details,android.widget.RelativeLayout android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
7,Case,0 Service 3. ADDITIONAL INFORMATION 0 Service 0 Service 2. CASE INFORMATION Not selected 0 Service Not selected 0 Service Not selected 0 Service 1. CLASSIFICATION New Ticket,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView usdk.co.aranda.spinner.WheelVerticalView android.view.View aranda.co.usdk.gui.CaseData android.view.View aranda.co.usdk.gui.CaseData android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView usdk.co.aranda.spinner.WheelVerticalView android.view.View aranda.co.usdk.gui.CaseData android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
8,ResulText,...,android.widget.LinearLayout android.widget.EditText android.view.View android.support.v7.widget.Toolbar
9,ConfigurationElement,There are no items for this search Inventory label: Brand: Model: Serial: Configuration element,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.support.v7.widget.Toolbar
