id,label,text,view
0,splashscreenforparents,null,android.widget.LinearLayout arssteelsrep.com.GifImageView
1,VIEW,null,null
2,seetingdash,FETCHING DATA'S FOR DASHBOARD SEARCH,android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.EditText
3,NavigationActivity,PROJECT RETAIL,android.widget.LinearLayout android.support.v4.widget.DrawerLayout android.widget.ExpandableListView android.widget.FrameLayout android.widget.ImageView android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.ImageView
4,reportsshow,DEAL CANCELLED DEAL WON LEAD PENDING LEAD CANCELLED ASSIGNED BY OTHERS ASSIGNED BY ME CRS 500 QUOTATION ORDER CRS 500D 500 DEAL OFFER LEAD SEARCH,android.widget.LinearLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText
5,viewkmpage,DISPLAY KM,android.widget.LinearLayout android.widget.Button android.widget.TextView
6,addnewdoctorrr,FETCH ALL CUSTOMER referdr pinname No pincode selected SELECT CLIENT LEVEL CHOOSE ANNIVERSARY CHOOSE DOB ENTER EMAIL ID REGISTERATION NUMBER CORE BRAND ENTER ADDRESS Out station Local Ex Non prescriber Prescriber NEW EXISTING NON CORE CORE Demo Demo Demo COMPANY INDIVIDUAL ENGINNER DEALER TYPE WEBSITE TYPE EMAIL ID ENTER MOBILE NO TYPE AVERAGE PATIENT PER VISIT TYPE QUALIFICATION TYPE SPECIALITY ENTER CUSTOMER NAME TYPE OWNER NAME,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.TextView arssteelsrep.com.CustomAutoCompleteTextVieww android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.Spinner android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.LinearLayout android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.Button android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout arssteelsrep.com.CustomAutoCompleteTextView11 android.widget.LinearLayout android.widget.EditText
7,intimelocation,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.TextView
8,sectionMainActivity,Medium Text,android.widget.LinearLayout android.widget.ExpandableListView android.widget.LinearLayout android.widget.TextView android.widget.TextView
9,reportpageviewww,TextView Satisfaction Overall Customer/Dealer Satisfaction TextView Active Sales Head Active Dealer Product Placement in Tarpol Product Placement in Shed Dealer Dynamism TextView TextView Any Suggestions TextView Others Trusteel Brand Conversion TextView Dealer Meetings Engineer Meet Mason Meet Scheme Rating Mason Meet ARS as Preferred Brand Brand Pull Branding Material Quality Product Stand Dealer Certificate Newspaper Campaign TV Campaign Auto Branding Bus Branding Low Wall/High Wall painting In Shop Painting Flex Board/Glow Boards Marketing Support TextView Acceptability Awareness Discounts/Schemes TextView Customer Satifaction Resolution Quick Complaint Response Complaint Redressal TextView Remarks TextView Product Related Product Last Delivery,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.TextView
