id,label,text,view
0,Splash,null,android.widget.RelativeLayout
1,MainMenu,வெளியேறு ஸ்ரீமஹா பெரியவா அருள்வாக்கு,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
2,Chapter1,BACK விநாயகர்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
3,MainActivity,வெளியேறு மஹா பெரியவா அருள்வாக்கு,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
4,Chapter3,BACK அத்வைதம்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
5,Chapter4,BACK ஸ்வாமி நாமா? இல்லை என்றால்…?,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
6,Chapter5,BACK அதுவேதான் இது!,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
7,Chapter6,BACK ஸ்வாமி எதற்கு? அத்வைதம் அமைதிக்கே!,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
8,Chapter7,BACK அத்வைதமும் அணு விஞ்ஞானமும்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
9,Chapter8,BACK அழுக்கு நீங்க வழி,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
10,Chapter9,BACK கண்டமும் அகண்டமும்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
11,Chapter10,BACK நிறைந்த ஆனந்தம்!,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
12,Chapter11,BACK கண்ணன் சொன்னான் கம்பனும் சொன்னான்!,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
13,Chapter12,BACK ஆனந்தம் எங்கே?,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
14,Chapter13,BACK எதிர்கொண்டு அழைப்பான்!,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
15,Chapter14,BACK மாயை,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
16,Chapter15,BACK அகமும் புறமும்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
17,Chapter16,BACK துக்கச் சுமை குறைய வழி,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
18,Chapter17,BACK யோகி,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
19,Chapter18,BACK துக்க பரிகாரம்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
20,Chapter19,BACK த்வைதம் ÷ பெளத்தம் = அத்வைதம்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
21,Chapter20,BACK ஆசார்யர்களின் ஆக்ஞை,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
22,Chapter21,BACK மதம்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
23,Chapter22,BACK தர்மமே தலைகாக்கும்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
24,Chapter23,BACK பாப புண்ணியங்கள்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
25,Chapter24,BACK மதத்தின் பயன்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
26,Chapter25,BACK மனிதனும் மிருகமும்,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
27,Chapter26,BACK சகல மதங்களுக்கும் பொதுவான பக்தி,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.Button
