id,label,text,view
0,D0014142,Share App Audio Cutter More App Audio Cutter Rate App Audio Cutter Creation Audio Cutter Audio Extract Audio Cutter Audio Cutter Audio Cutter,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
1,D08524171,install Ad Audio Cutter Ad Reserve Space for admob_Ads %02d:%02d:%02d Medium Text Audio Cutter Audio Cutter Select Audio Audio Cutter,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout com.google.android.gms.ads.formats.UnifiedNativeAdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout com.google.android.gms.ads.formats.MediaView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RatingBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
2,D08522171,install Ad Audio Cutter Ad Reserve Space for admob_Ads time date 0 0 %02d:%02d:%02d Title Audio Cutter Audio Cutter Select Creation Audio Cutter,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout com.google.android.gms.ads.formats.UnifiedNativeAdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout com.google.android.gms.ads.formats.MediaView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RatingBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
3,D08524178,install Ad Audio Cutter Ad Reserve Space for admob_Ads 0 Select Video Audio Cutter Video Image,android.widget.LinearLayout android.widget.RelativeLayout android.widget.FrameLayout com.google.android.gms.ads.formats.UnifiedNativeAdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout com.google.android.gms.ads.formats.MediaView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RatingBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ViewFlipper android.widget.ListView android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button
4,D08524175,null,android.widget.RelativeLayout android.webkit.WebView android.widget.Button android.widget.Button
5,D08522179,%02d:%02d:%02d Name 00:00:00 00:00:00 Audio Video Mixer Audio Cutter,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout audio.editor.audio.cutter.videotomp3.free.RangeSeekBar com.videolib.libffmpeg.FFmpeg android.widget.SeekBar android.widget.ImageButton android.widget.RelativeLayout android.widget.FrameLayout android.widget.VideoView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageButton
6,D08523171,%02d:%02d:%02d Name %02d:%02d:%02d 00:00:00 00:00:00 Audio Extract Audio Cutter,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout com.videolib.libffmpeg.FFmpegLoadLibraryAsyncTask android.widget.SeekBar android.widget.ImageButton android.widget.RelativeLayout android.widget.FrameLayout android.widget.VideoView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageButton
7,D08524172,Reserve Space for admob_Ads %02d:%02d:%02d Medium Text Audio Cutter Audio Cutter Select Audio Audio Cutter,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
8,D08522172,%02d:%02d 00:00,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button com.google.android.gms.ads.AdView audio.editor.audio.cutter.videotomp3.free.D08524177 android.widget.RelativeLayout android.widget.SeekBar android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.view.SurfaceView android.widget.ProgressBar android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button
9,D08522178,Audio Cutter Audio Cutter Audio Cutter You do not have any Creation. Please Create by selecting Create Video. Your Creation Audio Cutter,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
