id,label,text,view
0,D00146,Share App Video Audio Cutter Creation Video Audio Cutter Audio Cutter Video Audio Cutter Audio Extract Video Audio Cutter Video Cutter Video Audio Cutter Audio Video Mixer Video Audio Cutter,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
1,D02513497,0 Select Video Video Audio Cutter Video Image,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ViewFlipper android.widget.ListView android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button
2,D0251342,Reserve Space for admob_Ads Ad Video Audio Cutter Video Audio Cutter Video Audio Cutter Select Creation Video Audio Cutter,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout com.google.android.gms.ads.formats.UnifiedNativeAdView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.formats.MediaView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RatingBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
3,D02513491,install Ad Video Audio Cutter Ad Reserve Space for admob_Ads %02d:%02d:%02d Medium Text Video Audio Cutter Video Audio Cutter Select Audio Video Audio Cutter,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout com.google.android.gms.ads.formats.UnifiedNativeAdView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout com.google.android.gms.ads.formats.MediaView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RatingBar android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
4,D02513495,null,android.widget.RelativeLayout android.webkit.WebView android.widget.Button android.widget.Button
5,D0251347,%02d:%02d:%02d Name dur 00:00:00 00:00:00 Audio Extract Video Audio Cutter,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.ImageButton android.widget.RelativeLayout android.widget.FrameLayout android.widget.VideoView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageButton
6,D02513443,%02d:%02d:%02d Name 00:00:00 00:00:00 Audio Extract Video Audio Cutter,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout com.videolib.libffmpeg.FFmpeg android.widget.SeekBar android.widget.ImageButton android.widget.RelativeLayout android.widget.FrameLayout android.widget.VideoView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageButton
7,D02513492,0 %02d:%02d:%02d Medium Text Video Audio Cutter Video Audio Cutter Select Audio Video Audio Cutter,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
8,D0251341,%d:%02d:%02d 00:00,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button com.google.android.gms.ads.AdView audio.video.mixer.video.editor.D02513496 android.view.SurfaceView android.widget.ProgressBar android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.SeekBar android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button
9,D0251346,Video Audio Cutter Video Audio Cutter Video Audio Cutter You do not have any Creation. Please Create by selecting Create Video. Your Creation Video Audio Cutter,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
