id,label,text,view
0,C0976654321,My Collage AD Photo Editor Circle Collage Collage Photo Frame,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
1,C0936654328123,null,android.widget.RelativeLayout android.widget.Button android.widget.Button android.webkit.WebView
2,C0976654329,Baby Photo Collage Loading Baby Photo Frame,android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.GridView android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.view.View android.widget.RelativeLayout android.widget.TextView
3,C091566543239,You have not Create Collage Photos yet.,android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView
4,C09126654328,AdChoices You do not have any collages. Please Create by selecting Collage style and Photos Saved Collage,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.facebook.ads.internal.view.bq android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView com.facebook.ads.MediaView com.facebook.ads.t com.facebook.ads.t com.facebook.ads.internal.view.g.d com.facebook.ads.internal.view.b.k android.widget.ImageView com.facebook.ads.internal.view.b.k android.widget.ImageView com.facebook.ads.internal.view.g.d android.widget.LinearLayout android.widget.LinearLayout com.facebook.ads.b android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.facebook.ads.AdIconView android.widget.ImageView android.widget.ImageView android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView
5,Ads,More App Share App Rate App,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout
6,PhotoEditor,Photo Editor Photo Mixer DSLR Insta Squre Text Collage Cascade,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
7,CircleCollage,6Photo Collage 5Photo Collage 4Photo Collage 3Photo Collage AdChoices,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.facebook.ads.internal.view.bq android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView com.facebook.ads.MediaView com.facebook.ads.t com.facebook.ads.t com.facebook.ads.internal.view.g.d com.facebook.ads.internal.view.b.k android.widget.ImageView com.facebook.ads.internal.view.b.k android.widget.ImageView com.facebook.ads.internal.view.g.d android.widget.LinearLayout android.widget.LinearLayout com.facebook.ads.b android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.facebook.ads.AdIconView android.widget.ImageView android.widget.ImageView
8,Collage,Mix Collage Dual Collage Cake Collage AdChoices,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout com.facebook.ads.internal.view.bq android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView com.facebook.ads.MediaView com.facebook.ads.t com.facebook.ads.t com.facebook.ads.internal.view.g.d com.facebook.ads.internal.view.b.k android.widget.ImageView com.facebook.ads.internal.view.b.k android.widget.ImageView com.facebook.ads.internal.view.g.d android.widget.LinearLayout android.widget.LinearLayout com.facebook.ads.b android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.facebook.ads.AdIconView android.widget.ImageView android.widget.ImageView
9,C0966654321,Type Here!!,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ScrollView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.SeekBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView baby.photo.frames.editor.baby.photo.collage.maker.collages.mixer.C0926654328
