id,label,text,view
0,Splashscreen,null,android.widget.LinearLayout android.widget.ImageView android.widget.ImageView
1,Menu,null,android.support.percent.PercentRelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.Button android.widget.ImageButton android.widget.ImageView com.example.user.blackdestiny2.Objects.MyGLSurfaceView
2,Scores,Your rank: Player Score Player Score Rank Local Global,android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.Button android.widget.Button
3,Level,/ / /,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageButton
4,Tuto,�HVoila you know everything. You are ready to play. Save the world in t Your score:,android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageButton android.widget.ImageButton android.widget.ProgressBar android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.GridLayout android.widget.ImageView com.example.user.blackdestiny2.Objects.MyGLSurfaceView
5,MAIN,null,null
6,Game,0:00 Pause,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.Button android.widget.ProgressBar android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView com.example.user.blackdestiny2.Objects.MyGLSurfaceView android.widget.GridLayout android.widget.ImageView android.widget.ImageView
7,Display_Stat,Score per minute Average score shm Longest survival time Best score Total score Games played shm Time played Blocks exploded Blocks destroyed () () Experience Grade Statistics Arsenal,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Button
8,Settings,Optimized performance Skin Player Username Sensibility Calibration Vibration Sound effect Music Settings,android.widget.RelativeLayout android.widget.ScrollView android.widget.TableLayout android.widget.TableRow android.widget.Switch android.widget.TextView android.widget.TableRow android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.Switch android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.TextView
9,Level_destroyer_abstract,null,null
10,Lvl_abstract,null,null
11,Lvl_or,15 14 13 11 12 10 9 8 7 6 5 4 3 2 1,android.support.percent.PercentRelativeLayout android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
12,Lvl_argent,15 14 13 11 12 10 9 8 7 6 5 4 3 2 1,android.support.percent.PercentRelativeLayout android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
13,Lvl_bronze,15 14 13 11 12 10 9 8 7 6 5 4 3 2 1,android.support.percent.PercentRelativeLayout android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.support.percent.PercentRelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
14,Level3,*** : Pause,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.Button android.widget.ProgressBar android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView com.example.user.blackdestiny2.Objects.MyGLSurfaceView android.widget.GridLayout android.widget.ImageView android.widget.ImageView
