id,label,text,view
0,SplashScreen,null,android.widget.LinearLayout android.widget.ImageView
1,FirstActivity,Direction Parent School staff SNV,android.support.percent.PercentRelativeLayout android.widget.TextView android.widget.Button android.widget.ImageView android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.view.View android.widget.Button android.widget.Button android.widget.TextView
2,MonthEvaluationFragment,null,null
3,EvaluationGraphActivity,No data to display evaluation chart Evolution Evaluation,android.widget.LinearLayout com.github.mikephil.charting.charts.LineChart android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
4,DirectionMsgsDetailsActivity,Added on Message details Messages,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
5,TeachersChatActivity,13 march 2016 L'école sera fermée le samedi prochain à l'occasion de l'indépendance Congé 13 march 2016 L'école sera fermée le samedi prochain à l'occasion de l'indépendance Congé 13 march 2016 L'école sera fermée le samedi prochain à l'occasion de l'indépendance Congé No messages found )Messages( Back,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
6,sondageDetailsActivity,Vote(s) (0%) item 1 Vote(s) (0%) 14h ︎ Vote(s) (0%) item 1 Vote(s) (0%) 14h ︎ Participant(s) Achieved survey Surveys Direction,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout com.github.mikephil.charting.charts.PieChart android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
7,newsDetailsActivity,Added on News details Direction,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
8,IntroActivity,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.support.v4.view.ViewPager
9,WebsiteActivity,School website Back,android.widget.LinearLayout android.webkit.WebView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
10,ContactActivity,Address Website Email Phone School Name School Contact Back,android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
11,SEND,null,null
12,PdfsActivity,No reports available Shared documents My space,android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
13,NewPdfActivity,Send Photo Enter title Title ()New Document Back,android.widget.LinearLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
14,download,view download,android.widget.LinearLayout android.widget.Button android.widget.Button
15,StudentReportActivity,null,android.widget.LinearLayout
16,ListOfReportsActivity,No reports available Reports My space,android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
17,BusTrackingActivity,phone driver since 2 mins name(number) Student not assigned to any bus Bus tracking map() Back,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.ProgressBar android.widget.Button android.widget.TextView android.widget.TextView beetech.schoolms.ui.backArrow
