id,label,text,view
0,Best_Photo_MyAppFirstActivity,Clone Camera,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
1,Best_Photo_MyWorkActivity,Clone Camera Multi Photo My Work,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
2,Best_Photo_HomeActivity,60 45 30 20 15 10 5 0 Clone Camera,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.view.SurfaceView android.view.SurfaceView
3,MAIN,null,null
4,Best_Photo_ShareDeleteActivity,0 Share Photo,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button
5,Best_Photo_Editing_For_ThreePicture,Clone Camera Multi Photo,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout bestphoto.freehandcut.Best_Photo_UndoRedoView bestphoto.freehandcut.Best_Photo_UndoRedoView bestphoto.freehandcut.Best_Photo_UndoRedoView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
6,Best_Photo_Editing_For_twoPicture,Clone Camera Multi Photo,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout bestphoto.freehandcut.Best_Photo_UndoRedoView bestphoto.freehandcut.Best_Photo_UndoRedoView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
7,Best_Photo_CloneImageEditor,Clone Camera Multi Photo,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout bestphoto.freehandcut.Best_Photo_UndoRedoView bestphoto.freehandcut.Best_Photo_UndoRedoView bestphoto.freehandcut.Best_Photo_UndoRedoView bestphoto.freehandcut.Best_Photo_UndoRedoView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
8,Best_Photo_ImageSaveShareActivity,0 Share Photo,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.FrameLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.TextView android.widget.Button
9,Best_Photo_AppSplashActivity,null,android.widget.LinearLayout
