id,label,text,view
0,MainActivity,null,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView android.widget.RelativeLayout com.google.android.gms.ads.AdView
1,HomeScreen,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
2,VIEW,null,null
3,BestList,null,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
4,LoveStatus,TextView,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
5,RomanticStatus,TextView,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
6,BreakStatus,TextView,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
7,BewafaStatus,TextView,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
8,DardStatus,TextView,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
9,DostiStatus,TextView,android.widget.LinearLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView android.widget.ListView android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
