id,label,text,view
0,SplashActivity,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView
1,HomeMenu,null,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.FrameLayout
2,LoginActivity,Or login with social network Register Login Forgot Password? This field is required This field is required Email,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.ImageView
3,ProviderMyRequest,Item not found,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
4,ProviderMyRequestDetail,Feedback New Status : Assign Reject Accept 9098887553 # 4/14IIT john fdgfd fgbjhfdg dfjgbndfg Lorem 8.20 PM Time : 12-3-1994 Dated : Owner details No.25 Lorem ipsum-uk Changing tire Lorem Service Center,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.maps.MapView
5,BaseActivity,null,null
6,ClaimNotificationsActivity,Item not found,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
7,ProviderNotification,Item not found,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
8,MechNotification,Item not found,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
9,VehicleReplacementNotification,Item not found,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
10,CustomerServiceNotification,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.support.v7.widget.RecyclerView
