id,label,text,view
0,MainActivity,× 09:37 Duration �जय जय जय साईं राम।। ओम साई मंगलमसाई नाम मंगलम। प� भजन 04:14 Duration ॐ साई ॐ ॐ साई ॐ .. साईं साधना 04:23 Duration ॐ ॐ ॐ ॐ ॐ श्री साई नाथाय नमः साई मंत्र 04:53 Duration �आरती श्री साई गुरुवर की परमानन्द सदा सुरवर की जा� श्री साँई आरती 10:50 Duration �श्री साँई के चरणों मेंअपना शीश नवाऊं मैंकैसे शि� श्री साँई चालीसा Sai Aarti HD,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.appbrain.AppBrainBanner android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.LinearLayout android.widget.ImageView android.view.View android.support.v7.widget.Toolbar android.widget.TextView
1,VIEW,null,null
2,FinalgodsoundActivity,×,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.appbrain.AppBrainBanner android.widget.FrameLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout bhakti.sagar.sai.aarti.BellImageView android.view.View android.view.View android.widget.LinearLayout bhakti.sagar.sai.aarti.IdolImageView android.view.View android.widget.FrameLayout com.plattysoft.leonids.ParticleField android.view.View android.widget.ImageView android.view.View android.support.v7.widget.Toolbar android.widget.TextView
3,OverlayActivity,×,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.startapp.android.publish.inappbrowser.AnimatingProgressBar
4,AppWallActivity,null,null
5,ReadActivity,× Start Arti,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.appbrain.AppBrainBanner android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.TextView android.view.View android.support.v7.widget.Toolbar android.widget.TextView
6,Flower_Select_Activity,× Rose Marigold Pink lily Red lily Sun flower Repeat Aarti Settings,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.appbrain.AppBrainBanner android.widget.ImageButton android.widget.SeekBar android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.view.View android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageView android.view.View android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageView android.view.View android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageView android.view.View android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageView android.view.View android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageView android.view.View android.view.View android.widget.LinearLayout android.widget.CheckBox android.widget.TextView android.widget.ImageView android.view.View android.view.View android.support.v7.widget.Toolbar android.widget.TextView
7,List3DActivity,StartApp Ad × Powered By Open x x info,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView com.startapp.android.publish.ads.list3d.c android.widget.RelativeLayout com.startapp.android.publish.a.b android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView com.startapp.android.publish.adsCommon.adinformation.d android.widget.RelativeLayout android.widget.ImageView
8,FullScreenActivity,×,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.startapp.android.publish.inappbrowser.AnimatingProgressBar
9,AppBrainActivity,×,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout com.appbrain.c.v android.widget.TextView android.view.View android.widget.FrameLayout com.appbrain.c.v android.widget.TextView android.view.View android.widget.TextView android.view.View
