id,label,text,view
0,MainActivity,null,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ImageView com.google.android.gms.ads.AdView android.widget.RelativeLayout com.google.android.gms.ads.AdView
1,BharatList,Bharat Darshan,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
2,BharatDisplay,This beautiful place bears a very striking resemblance to Switzerland’s topography the well known romanticizing location. Khajjiar is located at the foot of Dhauladkar in the lap of Himalayas and is 2000 meters above sea level.A beautiful panoramic view of the densely populated forests and the meadows and snowy peaks of Himalayas can be captured. Summer months are the best to visit this place as it wouldn’t be too cold and the hill station would be laden with beautiful flowers which makes it one of the most beautiful place in India. Khajjiar,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
3,Manali,Circled by towering peaks in the rich verdant valley of the Beas River with mountain ventures waving from all directions Manali is a year-round attraction. Travelers assemble here to hang out in the hippie villages around the main town; adventure seekers come for trekking climbing mountain biking canyoning paragliding rafting and skiing; and much more.There are plenty tourist attractions surrounding the town like Rohtang Pass Solang Valley Beas Kund (Chandratal Lake) Chandrakhani Pass Pandoh Dam in Kullu Great Himalayan National Park and much more which would be an ideal for Indian families and honeymooners to experience the cool mountain air and a taste of snow. Manali,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
4,Shimlaa,Chained along a 12km hill with sheer forested hills dropping away in all directions the Himachal capital is a good appetite for an inspiring mountain vacation. Shimla is one of renowned Indian tourist place whirring with a sparkling flow of Indian tourists and full of reverberations of its former role as the summer capital of British India. As the city is surrounded with stunning views of the majestic Himalayan mountain and popular attractions like Summer Hills Indian Institute of Advanced Studies Annandale. The Scandal Point Ridge The Shimla State Museum Naldehra and Shaily Peak Chadwick falls Kufri Chail and much more. Shimlaa,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
5,Kasola,Spread along the beautiful Parvati River and with mountain panoramas to the northeast Kasol is the main traveler destination in the valley. It’s a small hamlet but almost infested with bakeries reggae bars and affordable guesthouses catering to a wide hipster Israeli crowd. It’s also a venue for trance parties emigrated from Goa and at any time an easy base for traversing the forested valley or just hanging out. Picturesque spots around this surreal town have some delightful tourist destinations like Kullu Parvati River Malana Village Kheer Ganga Peak Bhuntar Town Manali and these are considered as the best tourist places in India. Kasola,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
6,Dalhouse,With its deceiving pine-clad canyons and scattered mountain panoramas Dalhousie is another of those excellent hill destinations forgotten behind by the British. Dalhousie has never more been truly the same again. Still it is a relatively steady getaway for honeymooners and families from the plains. Notably one of the best tourist attractions in India famous for its sightseeing places like Panch Pulla Satdhara Falls Khajjiar Kalatop wildlife sanctuary Subhash Baoli Daikund Peak Chamunda Devi Temple St. John Church and much more. Dal House,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
7,Dharamshala,null,null
8,Bir,Bir is a tiny mountain hamlet in northern Himachal Pradesh with a massive well-settled Tibetan community. Set facing the backdrop of the Dhauladhar Range of the Indian Himalayas the town is charming despite the debris scattered on the roadsides and streams of the Tibetan Colony are an unfortunate adverse to its golden-roofed temples and to the greenery of Upper Bir and the neighboring villages. The Tibetan Colony is actually in the village of Chowgan. There are tons of activities and sightseeing spots like Sherab Ling Monastery Bir Tea Factory Chokling monastery Deer Park Institute Dharmalaya Institute Tibetan Colony and Bir Road. Bir,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
9,Kashmir,Kashmir valley is no doubt the most beautiful tourist places in India. The heaven on earth tag is always linked to Kashmir for its evergreen landscapes and snow-filled mountains.A visit to Kashmir should definitely be included in your bucket list of every nature lover. The Shalimar gardens the Dal Lake and the shikaras and gulmarg are the utmost attractions here.If you are an adrenaline junkie and want to explore the thrilling nature then mountaineering and river rafting are good adventure activities in Kashmir. The perfect time to visit the Kashmir valley is between the months of March and October. Kashmir,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView com.google.android.gms.ads.AdView
