id,label,text,view
0,ActivitySplash,null,android.widget.LinearLayout android.widget.ImageView
1,ActivitySetupMeeting,Unavaible Time Meeting Location Meeting Description Objectives* Choose Customer* End Time* Start Time* 12-Oct-2017,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.support.v7.widget.CardView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.RelativeLayout com.toptoche.searchablespinnerlibrary.SearchableSpinner android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.support.v7.widget.Toolbar
2,ActivityViewCart,Check Out No Content Products Product Category Customer Address: Customer Phone: Choose Customer*,android.widget.LinearLayout android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.RecyclerView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout com.toptoche.searchablespinnerlibrary.SearchableSpinner android.widget.TextView android.support.v7.widget.Toolbar
3,ActivitySearchProduct,No Content,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.support.v7.widget.Toolbar
4,ActivityFilterProduct,No Content No Content,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout com.toptoche.searchablespinnerlibrary.SearchableSpinner android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.support.v7.widget.Toolbar
5,ActivityLogin,Forgot password? LOG IN Password,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.support.design.widget.TextInputLayout android.widget.EditText android.support.design.widget.TextInputLayout android.widget.EditText android.widget.ImageView
6,ActivityViewProduct,No Content,android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout com.github.clans.fab.FloatingActionMenu com.github.clans.fab.FloatingActionButton android.widget.ImageView com.github.clans.fab.FloatingActionButton com.github.clans.fab.FloatingActionButton android.widget.TextView android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
7,ActivityViewTarget,No Content History: End Date Start Date $101000 Earned,android.widget.LinearLayout android.widget.RelativeLayout android.support.v4.widget.SwipeRefreshLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.github.lzyzsd.circleprogress.DonutProgress android.widget.TextView android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
8,ActivityPinCode,Forget Pin? 0 Cancel 9 8 7 6 5 4 3 2 1 Input Pin Code PIN CODE,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.view.View android.view.View android.view.View android.widget.TextView android.widget.TextView
9,ActivitySearchCustomer,No Content,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.support.v7.widget.Toolbar
10,ActivityViewSaleOrder,No Content,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.support.design.widget.TabLayout android.support.v7.widget.Toolbar
11,ActivityViewProfile,Set Pin Code Change Password Email Mobile,android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout biz.bizsolution.ggearwholesale.mylib.RoundImageView android.support.v7.widget.Toolbar
12,ActivityViewProfileImage,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout biz.bizsolution.ggearwholesale.mylib.TouchImageView android.support.v7.widget.Toolbar
