id,label,text,view
0,VideoGateLauncherActivity,null,android.widget.FrameLayout android.widget.ProgressBar android.widget.ImageView
1,VIEW,null,null
2,VideoGateActivity,About Chat About,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
3,InCallActivity,0 0 0 Alto-Falante Microfone 0 # 0+ * 9 8 7 6 5 4 3 2 1 Chamando… Conference,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView org.linphone.ui.Numpad android.widget.TableLayout android.widget.TableRow org.linphone.ui.Digit org.linphone.ui.Digit org.linphone.ui.Digit android.widget.TableRow org.linphone.ui.Digit org.linphone.ui.Digit org.linphone.ui.Digit android.widget.TableRow org.linphone.ui.Digit org.linphone.ui.Digit org.linphone.ui.Digit android.widget.TableRow org.linphone.ui.Digit org.linphone.ui.Digit org.linphone.ui.Digit android.widget.FrameLayout android.widget.TableLayout android.widget.TableRow android.widget.Chronometer android.widget.ImageView android.widget.TextView android.widget.TableRow android.widget.Chronometer android.widget.ImageView android.widget.TextView android.widget.TableRow android.widget.RelativeLayout android.widget.TextView org.linphone.ui.AvatarWithShadow android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout
4,IncomingCallActivity,Recebendo chamada…,android.widget.RelativeLayout org.linphone.ui.LinphoneSliders android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView org.linphone.ui.AvatarWithShadow android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
5,SetupActivity,Back Let's go Cancel,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView
6,TutorialBuddyStatusActivity,STOP Debug my password enter my sip identity (sip:[user@]host) Call sip:,android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText
7,TutorialChatRoomActivity,STOP Debug my password enter my sip identity (sip:[user@]host) Call sip:,android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText
8,TutorialHelloWorldActivity,STOP Debug my password enter my sip identity (sip:[user@]host) Call sip:,android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText
9,TutorialRegistrationActivity,STOP Debug enter my sip identity (sip:[user@]host) Register sip: STOP Debug enter my sip identity (sip:[user@]host) Register sip:,android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.EditText
