id,label,text,view
0,ListarClientesActivity,- N/A Sem Atendimento: Código:,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
1,ClienteDetalhesActivity,S/I Transmitido: S/I Salvo: R$ Total: | Cod.: Large Text Valor em atraso: Titulos em atraso: Data da Ultima Compra: Ultima Compra: Data Maior Compra: Maior Compra: Saldo de Credito: Limite de Credito: Referência: Contato: Tel.: CEP: UF: Cidade: Bairro: End.: Inscrição Estadual: CPF: Nome Fantasia: R$ Total: Status: S/I Data: Cod.:,android.widget.RelativeLayout android.widget.TabHost android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.HorizontalScrollView android.widget.TabWidget android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
2,PedidoActivity,Salvar Observações: Qtd. de Itens: Produtos: Saldo CC: Total Com Imposto: Total Pedido: Qtd: Cód.: Promoção: Ref.: Qtd: Cód.: Promoção: Ref.: Natureza da Movimentação: Tipo de Venda: Pagamento: Condição de Venda:,android.widget.RelativeLayout android.widget.TabHost android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.Spinner android.widget.Spinner android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.EditText android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.HorizontalScrollView android.widget.TabWidget android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
3,VisualizarPedidoActivity,Qtd: Cód.: Promoção: Ref.: Qtd: Cód.: Promoção: Ref.: Voltar Observações: Qtd. de Itens: Produtos: Total Pedido: Natureza do Pedido: Tipo de Venda: Pagamento: Condição de Venda:,android.widget.RelativeLayout android.widget.TabHost android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TabWidget android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
4,MercadoriasActivity,R$ Est.: Cód.:,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
5,MercadoriaDetalhesAcitivty,null,android.widget.RelativeLayout android.widget.TabHost android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.TabWidget android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
6,MercadoriaImagensActivity,null,android.widget.LinearLayout android.widget.ImageView android.widget.Gallery android.widget.RelativeLayout android.widget.ImageView
7,PedidosActivity,R$ Total: Status: S/I Data: Cod.: R$ Total: Status: S/I Data: Cod.:,android.widget.RelativeLayout android.widget.TabHost android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TabWidget android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
8,FaltasActivity,32 Data: Cod. Pedido:,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView
9,MenuActivity,NX-Vendas V1.0a - 10/12/2011 Retornos,android.widget.LinearLayout android.widget.TextView android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
10,UltimasEntradasActivity,Continuar,android.widget.RelativeLayout android.widget.Button android.widget.ListView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
11,NovosClientesActivity,- Código:,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
12,NovoClienteActivity,Telefone Referência Comercial 2 Telefone Referência Comercial 1 Home Page Email Telefone 2 Telefone 1 Contato 2 Contato 1 Ponto de Referência CEP Estado Cidade Complemento Bairro Endereço Observação Região Condição de Venda Segmento Inscrição Estadual CNPJ Nome Fantasia Razão Social Salvar,android.widget.RelativeLayout android.widget.TabHost android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.HorizontalScrollView android.widget.TabWidget android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
