id,label,text,view
0,MainActivity,Exit Exit Exit,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.ImageView
1,Configuracoes,Order option screen: Disable account at closing Type 3 Type 2 Type 1 Salve Cancel :Currency Symbols Disable product group Settings,android.widget.RelativeLayout android.widget.TextView android.widget.CheckBox android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.Button android.view.View android.widget.Button android.widget.TextView android.widget.TextView android.widget.CheckBox requestFocus android.view.View android.widget.TextView
2,SalvaLicenca,Paste Id device Copy email: prbaplicativos@gmail.com License key Cancel Salve Release constraint,android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.Button android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.TextView android.widget.EditText android.view.View android.widget.TextView
3,Contas,Exit Exit,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.EditText android.view.View android.widget.TextView
4,Caixa,Debit Card: Cancel Cash Withdraw Total: Others: Food Voucher Card: Credit Card: Cash: Acumulated cash,android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.EditText android.view.View android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.EditText requestFocus android.widget.TextView android.view.View android.widget.TextView
5,Cadastros,Exit Exit Exit,android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
6,Outros,null,android.widget.RelativeLayout android.widget.TextView android.widget.ListView
7,ShowAjuda,��Application developed for use in Android smartphones for control of small bars lounges restaurants coffee shops bakery pizzeria and similar ones. 1) Order: Select the account select the product group select the product press the bu,android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView
8,Grupos,Exit Exit /,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.TextView
9,Produtos,Exit Exit /,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.EditText android.view.View android.widget.TextView
10,ContasAtivas,Account name:,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.TextView
11,AtivarConta,Exit Exit to activate,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.EditText android.view.View android.widget.TextView
12,AbrirBluetooth,Send Bluetooth Fechado. Open Printer Name Close,android.widget.RelativeLayout android.widget.Button android.view.View android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView android.widget.Button
13,AlteraConta,Disable account Service taxes %: Account name: Salve Cancel %02d %02d,android.widget.RelativeLayout android.view.View android.widget.CheckBox android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button android.widget.TextView android.widget.EditText requestFocus android.widget.EditText android.view.View android.widget.TextView
