id,label,text,view
0,InitActivity,null,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar android.widget.ImageView
1,LoginActivity,Efetuar Autenticação Senha Usuário Imagem de Autenticação,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.ImageView
2,MainActivity,Consulta de Produtos FlexApp,android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
3,ConfSyncActivity,FlexApp FlexApp,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.CheckBox android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.CheckBox
4,EstruturaActivity,Verificar Estrutura Utilizar SD Card 0.4 Versão DB /data/data/br.com.rpinfo.flex/databases/ Local Data Base FlexApp.db Base de Dados,android.widget.LinearLayout android.widget.Button android.widget.CheckBox android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView
5,Configuracoes,FlexApp FlexApp,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
6,PesquisaActivity,Confirmar Classificação de Grupo FlexApp FlexApp Pesq. FlexApp FlexApp FlexApp Pesq. FlexApp Código: Código do Produto,android.widget.FrameLayout android.widget.SlidingDrawer android.widget.LinearLayout android.widget.Button android.widget.Spinner android.widget.Spinner android.widget.AutoCompleteTextView android.widget.LinearLayout android.widget.Spinner android.widget.Spinner android.widget.LinearLayout android.widget.Spinner android.widget.Spinner android.widget.Spinner android.widget.Spinner android.widget.ImageView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.EditText
7,LctoPesquisaActivity,Cancelar Confirmar Valor: Não Loc. Oferta Código de barras inválido 7891234567891,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
8,ConfConnFlexActivity,Cancelar Salvar Porta Base de Dados Endereco Sec Endereco Prim Senha Usuário Externo Porta http://192.168.1.3 Endereço Tipo Servidor,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.Spinner android.widget.TextView
9,SyncActivity,Executar 0 / 0 Registros: 0 / 0 Sincronizando Tabela: Desconectado,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ToggleButton
10,AutUsuaActivity,Gerar Autorização Motivo Senha ID,android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.ImageView android.widget.EditText android.widget.ImageView
11,ImageViewActivity,FlexApp Back Image Back Image,android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
