id,label,text,view
0,AberturaController,null,android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.widget.ImageView
1,PublicidadeController,Publicidade 5 segundos PULAR ANÚNCIO,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageView android.widget.ProgressBar android.widget.ImageView
2,LoginController,Recuperar senha Senha CPF / CNPJ,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.EditText android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
3,WebController,null,android.widget.RelativeLayout android.widget.ImageButton android.widget.ProgressBar android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.webkit.WebView
4,DetalhesLeilaoController,00 de Mês 00h até 00 de Mês 00h LOTES DESTE LEILÃO TÍTULO DA MATÉRIA LEILÃO,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView it.sephiroth.android.library.widget.HListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton
5,DetalhesLoteController,R$ 0.000.00 X Informe o valor do seu lance -- Dados da localização indisponíveis -- R$ 0.000.000.00 LANCE ATUAL Campo para especificar as condições de pagamento CONDIÇÕES COMERCIAIS VER COMENTÁRIOS ATESTADO VETERINÁRIO HISTÓRICO VETERINÁRIO GENEALOGIA INFORMAÇÕES SOBRE O ANIMAL -- CRIADOR -- VENDEDOR -- ALTURA -- RAÇA -- PELAGEM -- SEXO -- NASCIMENTO -- LOCALIZAÇÃO -- REGISTRO NOME ANIMAL ANIMAL A LOTE,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageButton android.widget.ImageButton android.widget.Button android.widget.ImageButton android.widget.TextView android.widget.FrameLayout android.widget.ImageButton android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.webkit.WebView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView
6,HomeController,MEU FINANCEIRO MEU PERFIL CADASTRE-SE COMO FUNCIONA AGENDA DE LEILÕES A SMART AGRO INÍCIO MENU O novo jeito de fazer negócios no campo,android.widget.RelativeLayout com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.widget.FrameLayout com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.FrameLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.ImageView android.widget.ImageButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.FrameLayout it.sephiroth.android.library.widget.HListView android.widget.ImageView
7,AgendaLeiloesController,AGENDA DE LEILÕES,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.FrameLayout android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView
8,DialogConfirmation,Cadastre-se para dar lances nos leilões. Você será encaminhado para o cadastro da Smart Agro para realizar seu registro. Confirmação de lance,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
9,DialogLogin,-- Alerta!,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.FrameLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
