id,label,text,view
0,LoginActivity,Esqueci minha senha Acessar SKP SKT Selecione o ponto de venda,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.ImageView android.widget.ProgressBar
1,UsuarioSenhaRecuperarActivity,Solicitar Nova Senha Informe o token de segurança Informe a sua data de nascimento Informe seu CPF Informe o seu usuário Para receber nova senha em seu e-mail informe os dados abaixo: Esqueci minha senha,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView
2,LauncherActivity,null,android.widget.RelativeLayout
3,MainActivity,Sair do aplicativo Chat Senha de Emergência (24 horas) Filas Painel de alertas Aéreo E-tickets Reservas Localizar reserva / e-ticket Gerenciar Identificação Agência Agência Unidade Olá Elton Garcia,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.ImageButton
4,ReservaActivity,MENU PRINCIPAL Emitir Reserva Cancelar Reserva Enviar Comprovante %s TOTAL %s TOTAL TARIFA %s TOTAL TAXAS %s TEB SkyTeam %s TEB Agência %s Taxa de serviço %s Taxa de embarque %s - Tarifa Unitária %s TOTAL %s TOTAL TARIFA %s TOTAL TAXAS %s TEB SkyTeam %s TEB Agência %s Taxa de serviço %s Taxa de embarque %s - Tarifa Unitária %s TOTAL %s TOTAL TARIFA %s TOTAL TAXAS %s TEB SkyTeam %s TEB Agência %s Taxa de serviço %s Taxa de embarque %s - Tarifa Unitária Valores: ASSENTO PASSAGEIRO Bagagem: Familia: - BSB - Brasilia DF DESTINO / DESEMBARQUE - BSB - Brasilia DF ORIGEM / EMBARQUE: 0 PARADAS: TAM CIA: JJ 1234 VOO: Resumo dos Voos: MARCAR ASSENTOS Abrir Bilhete 12345678954 Bilhete: %s %s (%s) Passageiros: PRAZO: Cancelado STATUS: CRIAÇÃO: AMADEUS SISTEMA: FERNANDO ALVES USUÁRIO: WOOBA TURISMO TESTE AGÊNCIA: NOME DA UNIDADE UNIDADE: XYZ12345 LOC: Emitir Reserva Cancelar Reserva Enviar Comprovante %s TOTAL %s TOTAL TARIFA %s TOTAL TAXAS %s TEB SkyTeam %s TEB Agência %s Taxa de serviço %s Taxa de embarque %s - Tarifa Unitária %s TOTAL %s TOTAL TARIFA %s TOTAL TAXAS %s TEB SkyTeam %s TEB Agência %s Taxa de serviço %s Taxa de embarque %s - Tarifa Unitária %s TOTAL %s TOTAL TARIFA %s TOTAL TAXAS %s TEB SkyTeam %s TEB Agência %s Taxa de serviço %s Taxa de embarque %s - Tarifa Unitária Valores: ASSENTO PASSAGEIRO Bagagem: Familia: - BSB - Brasilia DF DESTINO / DESEMBARQUE - BSB - Brasilia DF ORIGEM / EMBARQUE: 0 PARADAS: TAM CIA: JJ 1234 VOO: Resumo dos Voos: MARCAR ASSENTOS Abrir Bilhete 12345678954 Bilhete: %s %s (%s) Passageiros: PRAZO: Cancelado STATUS: CRIAÇÃO: AMADEUS SISTEMA: FERNANDO ALVES USUÁRIO: WOOBA TURISMO TESTE AGÊNCIA: NOME DA UNIDADE UNIDADE: XYZ12345 LOC:,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.view.View android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.TextView
5,GerenciarIdentificacaoActivity,Confirmar e prosseguir,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.ProgressBar br.com.wooba.skyteam.Components.ClearableAutoCompleteTextView android.widget.LinearLayout android.widget.ProgressBar br.com.wooba.skyteam.Components.ClearableAutoCompleteTextView android.widget.LinearLayout android.widget.ProgressBar br.com.wooba.skyteam.Components.ClearableAutoCompleteTextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
6,ListagemDeReservasActivity,Limpar filtros Filtrar reservas Ordenar por ST VALOR INFO LOC / PASSAGEIRO / PRAZO CIA EXIBIR SOMENTE AS MINHAS Buscar Localizador Filtrar por prazo Filtrar por data de criação,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.widget.ScrollView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView
7,ETicketsActivity,Limpar filtros Filtrar E-Tickets Ordenar por ST VALOR INFO LOC / PASSAGEIRO / BILHETE CIA EXIBIR SOMENTE AS MINHAS Buscar E-ticket,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.widget.ScrollView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.EditText
8,PesquisaActivity,Pesquisar CABINE 0 - 2 anos BEBÊ 0 2 - 11 anos CRIANÇA 0 +11 anos ADULTO 1 DATA DE RETORNO DATA DE SAÍDA DESTINO ORIGEM SÓ IDA IDA E VOLTA,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.ImageButton android.widget.RadioGroup android.widget.RadioButton android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.AutoCompleteTextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.AutoCompleteTextView android.widget.TextView android.support.design.widget.TabLayout android.support.design.widget.TabItem android.support.design.widget.TabItem
9,NotificacoesActivity,Buscar remetente,android.widget.LinearLayout android.widget.LinearLayout android.widget.ScrollView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.EditText
