id,label,text,view
0,MainPages,KALENDAR MALAYSIA 2019,android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout com.google.android.gms.ads.AdView com.google.android.gms.ads.AdView
1,January,Share JANUARY Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
2,February,Share FEBRUARY Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
3,Mac,Share MARCH Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
4,April,Share APRIL Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
5,May,Share MAY Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
6,Jun,Share JUNE Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
7,July,Share JULY Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
8,Ogos,Share AUGUST Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
9,September,Share SEPTEMBER Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
10,Oktober,Share OCTOBER Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
11,November,Share NOVEMBER Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
12,Disember,Share DECEMBER Event Copyright © 2019 Calendar Kuda YEAR 2019 < < Swipe Left or Right > > YEAR 2019,android.widget.RelativeLayout android.widget.ImageButton android.widget.Button android.widget.TextView calendar.kuda.com.ExtendedViewPager android.widget.TextView android.widget.TextView android.widget.ImageView
13,Bonus,YEAR 2019 YEAR 2019,android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
