id,label,text,view
0,LogoActivity,0,android.widget.RelativeLayout android.widget.ImageView
1,MainActivity,Mine Snack Trip Nearby 0 Audio Guide Navigation Address: Price: Name: Play Audio 0 00:00 00:00 Buffering... 0 Input the scenic area name,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.AbsoluteLayout cn.zzx.cmyy.eng.android.common.MapInfoWindowManager android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.AutoCompleteTextView
2,WebActivity,0,android.widget.LinearLayout android.webkit.WebView android.widget.FrameLayout android.widget.ProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
3,NearbySearchActivity,0 Clear Search History Nearby 0,android.widget.LinearLayout android.view.View android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.HorizontalScrollView cn.zzx.cmyy.eng.android.widget.HSListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout cn.zzx.cmyy.eng.android.widget.CustomEditText android.widget.ImageView
4,TripPlanActivity,Scenic Spots Travel Tips,android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.webkit.WebView android.widget.FrameLayout android.widget.ProgressBar
5,SettingsActivity,0 About Etuor 0 Shared 0 Check for Updates 0 B 0 Clear Cache 0 Feedback Mine 0,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
6,VIEW,null,null
7,TestMainActivity,Mine Snack Trip Nearby 0 Audio Guide Navigation Address: Price: Name: Play Audio 0 00:00 00:00 Buffering... 0 Enter Input the scenic area name,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.AbsoluteLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.SeekBar android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.AutoCompleteTextView
8,FunActivity,Shopping Snack,android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.webkit.WebView android.widget.FrameLayout android.widget.ProgressBar
9,TripDetailActivity,0 0 0 0,android.widget.RelativeLayout cn.zzx.cmyy.eng.android.dslv.DragSortListView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView cn.zzx.cmyy.eng.android.dslv.DragSortItemView cn.zzx.cmyy.eng.android.dslv.DragSortItemViewCheckable android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
10,TripMapActivity,0,android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView
11,FeedbackActivity,Your suggestions 4. We do appreciate your suggestions: Bad So so Very good 3. Do you think our App is easy to operate? Travel Tips Food Hotel Ticket Scenic Spot 2. Which information is helpful to you. Search Info Snack Schedule Audio Guide 1. Which function is helpful to you. Confirm Feedback 0,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.TextView android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView
12,AboutActivity,CMEtour 0,android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView
