id,label,text,view
0,LoginActivity,Forgot your password? Login Password REG_IDEXPIRATION_TIMESESSIONIDLASTLOGGEDUSErNameSERVICESHOSTUSERIDAPP_VERSION,android.widget.RelativeLayout android.widget.ImageView android.widget.Button android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.Spinner android.widget.ImageView
1,ListIssue,% Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero imageView Tickets,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
2,IssueDetail,Signature Tasks Attach Additional fields Historic Solution Description Subject aqui toy Cause: The ticket is not a known error Known error: SLA: SLA: New Reason: State: State: Category: Category: Specialist: Specialist: Urgency: Urgency: Service: Service: CI: Project: Project: Progress: Vote Service call Tickets Detail,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.Button android.view.View android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ProgressBar android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar
3,SearchActivity,You can search by a particular state and by case id Search by id ID State Type Project Case search,android.widget.RelativeLayout android.widget.TableLayout android.widget.TableRow android.widget.Space android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.Spinner android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TableRow android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.Toolbar
4,CreateCase,Please enter here the ticket description Description: Please enter here the case for the creation of the case Subject Select Specialist: Select Specialist group: Select Urgency: Select State: Select SLA: Select Service: Select a category Category: Select a CI CI: Select a customer Customer: Project: Type Ticket creation Ticket creation,android.widget.RelativeLayout android.widget.LinearLayout requestFocus android.widget.ScrollView android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Button android.widget.EditText android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Button android.widget.EditText android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Button android.widget.EditText android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.Spinner android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.Toolbar
5,ListApprovals,% Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero imageView REQUEST FOR APPROVAL,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
6,ListTaks,15% imageView typo caso You must select a project cliente 2131493024 Aranda ASDK fecha numero 15% imageView typo caso You must select a project cliente 2131493024 Aranda ASDK fecha numero 15% imageView typo caso You must select a project cliente 2131493024 Aranda ASDK fecha numero 15% imageView typo caso You must select a project cliente 2131493024 Aranda ASDK fecha numero 15% imageView typo caso You must select a project cliente 2131493024 Aranda ASDK fecha numero imageView Tasks,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
7,VotingActivity,null,android.widget.RelativeLayout android.webkit.WebView
8,ListFindedIssue,% Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero % Progress: Vote imageView typo caso You must select a project estado fecha numero imageView Case search,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
9,ListCategory,Category selection,android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
