id,label,text,view
0,LauncherActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
1,VIEW,null,null
2,CBImpressionActivity,×,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView
3,AppBrainActivity,×,android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.webkit.WebView android.view.View
4,AudienceNetworkActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
5,AppLovinInterstitialActivity,× ×,android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView
6,AdBuddizActivity,× × × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
7,AdColonyOverlay,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
8,AdColonyBrowser,null,android.widget.RelativeLayout
9,AdColonyFullscreen,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
10,AdColonyActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
11,List3DActivity,null,null
12,OverlayActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
13,FullScreenActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
14,AdinCubeActivity,× × × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
15,ChartboostActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
16,AdUnitActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
17,AdUnitSoftwareActivity,× × ×,android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.ViewGroup android.widget.LinearLayout android.widget.TextView android.widget.TextView
