id,label,text,view
0,Splash,null,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
1,CobhamMurphyActivity,null,android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageView android.widget.ImageView
2,news,News,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
3,services,Services,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
4,taxsavings,Tax Savings,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
5,contact,Contact Us,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.TextView
6,taxtables,Tax Tables,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
7,taxcalculators,Tax Calculators,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
8,story,Services,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.TextView
9,Blog,Our Blog,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
