id,label,text,view
0,MainActivity,Search Here...... Select SMS Category Ramdan SMS,android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
1,SEND,null,null
2,Ramadan,Click here to continue.......... Press Sms To Share Ramadan SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
3,Angry,Click here to continue.......... Press Sms To Share Angry SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
4,Anniversary,Click here to continue.......... Press Sms To Share Anniversaries SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,April_Fool,Click here to continue.......... Press Sms To Share April Foll SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
6,Barish,Click here to continue.......... Press Sms To Share Barish/Rainy SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
7,Bengali,Click here to continue.......... Press Sms To Share Bengali SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
8,BestWishes,Click here to continue.......... Press Sms To Share Best Wishes SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
9,Bewafa_Shayari,Click here to continue.......... Press Sms To Share Bewafa Shayari SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
10,BirthDay,Click here to continue.......... Press Sms To Share BirthDay SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
11,Breakup,Click here to continue.......... Press Sms To Share Breakup SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
12,Broken_Heart,Click here to continue.......... Press Sms To Share Broken Heart SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
13,Christmas,Click here to continue.......... Press Sms To Share Christmas SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
14,Commedy,Click here to continue.......... Press Sms To Share Commedy SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
15,Cool,Click here to continue.......... Press Sms To Share Cool SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
16,Cute,Click here to continue.......... Press Sms To Share Cute SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
17,Dill,Click here to continue.......... Press Sms To Share Dill SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
18,Diwali,Click here to continue.......... Press Sms To Share Diwali SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
19,Dua,Click here to continue.......... Press Sms To Share Dua/Prayer SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
20,Eid,Click here to continue.......... Press Sms To Share Eid Mubarak SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
21,Emotional,Click here to continue.......... Press Sms To Share Emotional SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
22,English,Click here to continue.......... Press Sms To Share English SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
23,Exam,Click here to continue.......... Press Sms To Share Exam SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
24,FareWell,Click here to continue.......... Press Sms To Share FareWell SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
25,FriendShip,Click here to continue.......... Press Sms To Share Friend Ship SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
26,Funny,Click here to continue.......... Press Sms To Share Funny SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
27,GetWellSoon,Click here to continue.......... Press Sms To Share Get-Well Soon SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
28,Ghazal,Click here to continue.......... Press Sms To Share Ghazal SMS,android.widget.RelativeLayout android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
