id,label,text,view
0,MainActivity,Fuel Details My Profile,android.widget.RelativeLayout com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.RelativeLayout android.widget.ListView android.widget.FrameLayout com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.view.View android.widget.FrameLayout android.view.ViewGroup android.widget.GridView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView
1,WebActivity,null,android.widget.RelativeLayout com.jeremyfeinstein.slidingmenu.lib.SlidingMenu com.jeremyfeinstein.slidingmenu.lib.CustomViewBehind android.widget.RelativeLayout android.widget.ListView android.widget.FrameLayout com.jeremyfeinstein.slidingmenu.lib.CustomViewAbove android.view.View android.widget.FrameLayout android.view.ViewGroup android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button com.example.classes.ScaleImageViewSpash android.widget.ProgressBar android.webkit.WebView
2,VerifyActivity,Remember Me GO Password : Client Code :,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.ProgressBar android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView
3,Activity_Profile,Change Password PAN No. : Telephone : E-Mail : Country : State : Address : Name : Name : Your Details as Registered with us :,android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView
4,LedgerListActivity,Closing Balance Credit Debit Opening Balance Exchange Ledger Balance,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView
5,Holding_Activity,Name DP / BO ID Records Holding Summary,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
6,Collateral_Activity,Net Value ValueHairCut QuantityRate Scrip Collateral,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView
7,MarginShortfall_Activity,Shortfall Total Collected Additional Initial Premium Exposure SPAN ExchSeg Margin ShortFall,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
8,Outstanding_Actvity,Records Exch/Seg Type Outstanding Summary,android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView
9,Transaction_Filter,Deliveries Commodities Derivatives Cash Segment Trades Bills Other Debit / Credit Payments (Pay-out) Receipts (Pay-in) Accounting Deliveries Commodities Derivatives Cash Segment Trades Bills Other Debit / Credit Payments (Pay-out) Receipts (Pay-in) Accounting Deliveries Commodities Derivatives Cash Segment Trades Security Date,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.ProgressBar
