id,label,text,view
0,Act_Auto_Blur_Slash,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView
1,Act_Auto_Blur_Exit,DSLR Camera : Blur Background More Apps From Developers DSLR Camera : Blur Background,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.webkit.WebView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
2,Act_Auto_Insta_ScrapBook,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.view.View android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout com.dslr.camerablur.stickerview.scrapbook.StickerView android.widget.ImageView
3,Act_Auto_Insta_Square,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.view.View android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout com.dslr.camerablur.stickerview.scrapbook.StickerView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout com.dslr.camerablur.stickerview.scrapbook.Item_22 android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView
4,Act_Auto_Blur_Creation,Please save some image first. My Creation,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView
5,Act_Auto_Blur_Gallery,Folder is empty. Large Text DSLR Camera : Blur Background,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageView
6,Act_Auto_Blur_Select_Shape,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.TextView
7,Act_Auto_Blur,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background Blur,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.SeekBar android.widget.TextView com.dslr.camerablur.stickerview.Item_StickerView
8,Act_Auto_Share_Image,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background Share Image,android.widget.RelativeLayout android.webkit.WebView android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.google.android.gms.ads.AdView android.view.View android.widget.LinearLayout android.widget.TextView
9,Act_Auto_Blur_Brush,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background Size Intensity,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.LinearLayout android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout com.dslr.camerablur.stickerview.blur.brush.elements.Item_Img_Touch2 com.dslr.camerablur.stickerview.blur.brush.elements.Item_Img_Touch2
10,Act_Auto_Blur_Share_Delete,DSLR Camera : Blur Background DSLR Camera : Blur Background DSLR Camera : Blur Background,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.view.View android.widget.ImageView
