id,label,text,view
0,MainActivity,Rate Info 1 problem found In Danger You are protected Run first analysis to check threats App Lock Apps & System Scan,android.widget.RelativeLayout com.mikepenz.crossfadedrawerlayout.view.CrossfadeDrawerLayout com.mikepenz.materialize.view.ScrimInsetsRelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.support.v4.widget.DrawerLayout com.mikepenz.materialize.view.ScrimInsetsRelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.support.v4.widget.DrawerLayout com.mikepenz.materialize.view.ScrimInsetsRelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View com.mikepenz.crossfadedrawerlayout.view.CrossfadeDrawerLayout com.mikepenz.materialize.view.ScrimInsetsRelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.support.v4.widget.DrawerLayout com.mikepenz.materialize.view.ScrimInsetsRelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.support.v4.widget.DrawerLayout com.mikepenz.materialize.view.ScrimInsetsRelativeLayout android.view.View android.support.v7.widget.RecyclerView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.FrameLayout android.widget.ImageView com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar
1,ResultActivity,SKIP ALL Found 2 issues,android.widget.LinearLayout android.widget.FrameLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.support.v7.widget.RecyclerView android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView
2,IgnoredListActivity,null,android.widget.LinearLayout android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView
3,PhoneInfoActivity,Rooted Root State Unknow IMEI Android System OS Version Basic Information GB External Storage 8GB SD Card GB RAM CPU Phone Info,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.liulishuo.magicprogresswidget.MagicProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout com.liulishuo.magicprogresswidget.MagicProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout com.liulishuo.magicprogresswidget.MagicProgressBar android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView
4,privacy,�UPrivacy PolicyNew PlusBy installing using registering or accessing other serv,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
5,SEND,null,null
6,AppLockHomeActivity,Apps,android.widget.LinearLayout android.widget.RelativeLayout android.support.v7.widget.RecyclerView android.widget.TextView android.support.v7.widget.Toolbar android.widget.TextView
7,SafeActivity,Recommended App You are protected,android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.support.v7.widget.CardView android.widget.LinearLayout android.view.View android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.FrameLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView
8,AppLockScreenActivity,Forgot Password?,android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout com.takwolf.android.lock9.Lock9View com.takwolf.android.lock9.Lock9View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.v7.widget.Toolbar android.widget.TextView
9,AppLockForgotPasswordActivity,Enter password again Set a new password Please select and answer your security questions DONE Enter your answer Reset your password,android.widget.LinearLayout android.support.v7.widget.Toolbar android.widget.TextView android.widget.RelativeLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.FrameLayout com.takwolf.android.lock9.Lock9View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout com.takwolf.android.lock9.Lock9View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.Spinner android.widget.TextView
