id,label,text,view
0,aCurrency,Loading…,androidx.constraintlayout.widget.ConstraintLayout android.widget.TextView android.widget.ProgressBar android.widget.Space
1,SimpleWnd,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.NativeExpressAdView com.google.android.gms.ads.AdView android.widget.TextView android.widget.LinearLayout android.widget.TextView com.a0soft.gphone.aCurrency.History.CurveView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.google.android.gms.ads.NativeExpressAdView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.AdView android.widget.TextView androidx.appcompat.widget.Toolbar
2,CardFlowWnd,- none - Last update: Tap me to get more free apps! Tap me to get more free apps! Last update: Tap me to get more free apps! Tap me to get more free apps! - none - Last update: Tap me to get more free apps! Tap me to get more free apps! Last update: Tap me to get more free apps! Tap me to get more free apps! Last update: Tap me to get more free apps! Tap me to get more free apps! (PRO) (PRO) (PRO) (PRO) Last update: Tap me to get more free apps! Tap me to get more free apps! Last update: Tap me to get more free apps! Tap me to get more free apps! Last update: Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.NativeExpressAdView com.google.android.gms.ads.AdView android.widget.TextView android.widget.LinearLayout hja android.widget.ImageView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.google.android.gms.ads.NativeExpressAdView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.AdView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.ListView android.widget.LinearLayout android.widget.TextView com.a0soft.gphone.base.widget.blTintImageView android.widget.LinearLayout android.widget.TextView com.a0soft.gphone.base.widget.blTintImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar
3,CurrencyListWnd,- none - Last update: Tap me to get more free apps! Add currency… %s/%s = 1 % %s/%s = 1 % %s/%s = 1 % is equal to %s/%s = 1 % %s/%s = 1 % %s/%s = 1 % Tap me to get more free apps! Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps! Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps! Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps! Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps! (PRO) (PRO) (PRO) (PRO) Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps! Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps! Last update: Tap me to get more free apps! Add currency… is equal to Tap me to get more free apps!,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.NativeExpressAdView com.google.android.gms.ads.AdView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.google.android.gms.ads.NativeExpressAdView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.AdView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.ListView android.widget.LinearLayout android.widget.TextView com.a0soft.gphone.base.widget.blTintImageView android.widget.LinearLayout android.widget.TextView com.a0soft.gphone.base.widget.blTintImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ListView android.widget.TextView android.widget.ListView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar
4,HistoryWnd,Tap me to get more free apps! Upgrade to full version Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.aCurrency.Util.HorzAutoScrollView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton com.a0soft.gphone.base.ad.blAdMobContainerView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.NativeExpressAdView com.google.android.gms.ads.AdView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView com.a0soft.gphone.aCurrency.History.CurveView android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.google.android.gms.ads.NativeExpressAdView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.AdView android.widget.TextView androidx.appcompat.widget.Toolbar
5,PrefActivity,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.NativeExpressAdView com.google.android.gms.ads.AdView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView com.google.android.gms.ads.NativeExpressAdView com.a0soft.gphone.base.NativeAds.NativeBanner.blAdMobNativeBannerAdView com.google.android.gms.ads.AdView android.widget.TextView androidx.appcompat.widget.Toolbar
6,VIEW,null,null
7,WidgetMainWnd,(PRO),android.widget.LinearLayout android.widget.TextView android.widget.ListView android.widget.TextView android.widget.TextView
8,Configure2x2,Color OK Shows percentage change since yesterday Full version only Theme Target Base,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.FrameLayout android.widget.TextView android.widget.Gallery android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView androidx.appcompat.widget.Toolbar
9,Configure1x1,Color OK Shows percentage change since yesterday Full version only Theme Target Base,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.FrameLayout android.widget.TextView android.widget.Gallery android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.TextView android.widget.TextView androidx.appcompat.widget.Toolbar
