id,label,text,view
0,DashboardWnd,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.coordinatorlayout.widget.CoordinatorLayout androidx.core.widget.NestedScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout com.google.android.material.appbar.AppBarLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout
1,InstallLogWnd,Tap me to get more free apps! Tap me to get more free apps!,com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar
2,NotyCountLogWnd,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout
3,UsageLogDailyWnd,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout
4,UsageLogWeeklyWnd,Tap me to get more free apps! Tap me to get more free apps!,com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar
5,CheckyLogWnd,Tap me to get more free apps! Tap me to get more free apps!,com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar
6,AppListWnd,Uninstall %d apps 17039360 Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button com.a0soft.gphone.uninstaller.widget.MemInfoView com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout
7,BatteryUsageLogWnd,Tap me to get more free apps! Tap me to get more free apps!,com.a0soft.gphone.base.appdrawer.blBaseDrawerLayout com.google.android.material.navigation.NavigationView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.coordinatorlayout.widget.CoordinatorLayout com.a0soft.gphone.base.widget.blForegroundLinearLayout android.widget.TextView com.google.android.material.appbar.AppBarLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView androidx.appcompat.widget.Toolbar
8,UsageLogOfDayWnd,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar
9,UsageLogOfWeekWnd,Tap me to get more free apps! Tap me to get more free apps!,android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView android.widget.FrameLayout com.a0soft.gphone.uninstaller.widget.MyViewPager android.widget.LinearLayout com.a0soft.gphone.base.ad.blAdMobContainerView android.widget.TextView com.a0soft.gphone.uninstaller.widget.MyPagerSlidingTabStrip androidx.appcompat.widget.Toolbar
