id,label,text,view
0,SplashScreenActivity,null,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView
1,HomePageActivity,Developed by AAG Stucchi Add Network Edit Network Select Network,android.widget.RelativeLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView
2,LogicalGroupListActivityCtrl,OK Item Add group Group management,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.SeekBar android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
3,LogicalGroupEditActivity,OK Name Modify group,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.widget.RelativeLayout com.aag.stucchi.customswitch.CustomSwitch android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
4,NetworkListActivity,TextView TextView Saved networks list,android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
5,selectFixtureNetworkActivity,Create new network,android.widget.LinearLayout android.widget.ListView android.view.View android.widget.RelativeLayout android.widget.ProgressBar android.widget.TextView android.widget.ImageView
6,ModifyNetworkListActivity,TextView Saved networks list,android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView
7,ModuleSettingsActivity,Clone module Clone module Clone module Clone module Sensor setup Sensor setup Sensor setup Sensor setup Dimming on Switch On Dimming on Switch On Dimming on Switch On Dimming on Switch On Update firmware Update firmware Update firmware Update firmware Module information Module information Module information Module information Module setup Module setup Module setup,android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.ImageView
8,BootLoaderDirectActivity,Firmware Decouple module Download 0% Firmware Connecting to BootLoader.... Upgrade Firmware,android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.widget.TextView
9,BootLoaderActivity,Firmware Decouple module Download 0% Firmware Connecting to BootLoader.... Upgrade Firmware,android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.SeekBar android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.ProgressBar android.widget.TextView
10,TutorialActivity,Tutorial 01 Skip,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView
11,AboutActivity,www.aagstucchi.it Version: XXX Light Control App Description,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.ImageView
12,REQUEST_ENABLE,null,null
13,selectCloneFixtureNetworkActivity,Create new network,android.widget.LinearLayout android.widget.ListView android.view.View android.widget.RelativeLayout android.widget.ProgressBar android.widget.TextView android.widget.ImageView
14,selectModifyFixtureNetworkActivity,Module,android.widget.LinearLayout android.widget.ListView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
15,ImportNetworkActivity,Network Import Network Import Network Import,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout com.d.a.a.b.a android.widget.RelativeLayout android.widget.ProgressBar android.view.View android.widget.TextView android.widget.ImageView
16,NetworkControlActivity,Circadian Scenes Modules 0%,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.RelativeLayout com.aag.stucchi.customswitch.CustomSwitch android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView com.aag.stucchi.flowlayout.ExpandablePanelLayout com.aag.stucchi.flowlayout.FlowLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.SeekBar android.widget.ImageView
