id,label,text,view
0,MainActivity,Arrastre para recargar noticias nombre_seccion Escuchá Radio,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView
1,SeccionesActivity,Noticias de Tucumán y el Mundo SECCIONES Escuchá Radio,android.widget.RelativeLayout android.widget.LinearLayout android.widget.GridView android.widget.FrameLayout android.support.v7.widget.CardView android.widget.TextView com.abanicosa.lv12.utilities.SquareImageView android.widget.TextView android.widget.TextView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView
2,RadioActivity,Error intentando cargar..: Redes Sociales 0381-4313800 Laprida 560,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.SeekBar android.widget.ImageView android.support.design.widget.FloatingActionButton android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
3,AlarmActivity,Guardar Hora Despertador Hora Despertador Fecha Despertador Fecha Despertador Despertador Radio,android.widget.RelativeLayout android.widget.ScrollView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
4,ClimaActivity,Clima de Tucumán,android.widget.RelativeLayout android.widget.ScrollView android.widget.FrameLayout android.support.v7.widget.CardView android.webkit.WebView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
5,NumerosUtilesActivity,0381-435-3637 Canal 10 0381-410-4000 Canal 8 0381-426-5072 Aeropuerto Tucumán (B.M.) 0381-430-0452 Terminal de Colectivos Tucumán 0381-450-1500 SAT 0810-777-1234 EDET 0810-444-1444 Gasnor 0381-431-3800 Radio LV12 Útiles 107 Emergencia Médica 105 Emergencia Ambiental 103 Defensa Civil 101 Policía 100 Bomberos Emergencias Números Útiles,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
6,SettingsActivity,Activar modo listado Configuración,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Switch android.widget.TextView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
7,SorteosActivity,Enviar Cancelar Dirección Ciudad Celular Email DNI Nombre Para participar del Sorteo de hoy tenés que ingresar todos estos datos. Escuchá Radio,android.support.design.widget.CoordinatorLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView
8,ListadoTelevisionActivity,CANALES DE NOTICIAS,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
9,DetailTelevisionActivity,Streaming TV Streaming provisto por Youtube,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView
