id,label,text,view
0,SplashScreen,null,android.widget.LinearLayout android.widget.ImageView
1,WelcomeActivity,Enter Both Bottle Feed Breastfeed How Do You Feed Your Baby? summary title summary title summary title summary title Child Image Welcome,android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView com.abbott.babyjournal.tableview.widget.UITableView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
2,RegistrationActivity,*Offers May Vary Join now and get emails about baby's growth and development and up to $329* in offers. I'm already a member Remind me later Join Now Are you a SimilacStrongMoms member? Child Image,android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
3,BabyJournalTabActivity,null,android.widget.TabHost android.widget.LinearLayout android.widget.TabWidget android.widget.FrameLayout
4,VIEW,null,null
5,ImageCroppingActivity,Drag up/down to select Thumbnail Choose Cancel Move and Scale,android.widget.RelativeLayout android.widget.RelativeLayout com.abbott.babyjournal.activity.profile.imagecrop.CropImageView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.ImageView
6,ChildDetailEditActivity,Done Child Image Gender,android.widget.LinearLayout android.widget.Button android.widget.Spinner android.widget.EditText android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
7,AdviceActivity,Call for live expert feeding help. FeedingExpert Live: Phone Image: call feeding expert Visit Similac.com summary title summary title summary title summary title Child Image,android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button com.abbott.babyjournal.tableview.widget.UITableView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
8,AdviceDetailActivity,Visit Similac.com Child Image Sleeping,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.webkit.WebView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
9,TrendsActivityGroup,null,null
