id,label,text,view
0,SplashActivity,Easy on Book,android.widget.LinearLayout com.wang.avi.AVLoadingIndicatorView android.widget.TextView android.widget.ImageView
1,LoginActivity,Forgot your password? LOGIN Company code Password Email Easy On Books,android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.ImageView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.support.design.widget.TextInputLayout android.widget.EditText android.support.design.widget.TextInputLayout android.widget.EditText android.support.design.widget.TextInputLayout android.widget.EditText com.wang.avi.AVLoadingIndicatorView android.widget.TextView android.widget.ImageView
2,HomeNew,Bill Received Log Book Bills Payment Payment Received Revenue Expense Invoice Customer Easy On Books Work Order Trucking Log Book Banking Financial Reports Revenue Expense Taxation Agencies Log Book Easy On Books Log Book Work Orders Expense Easy On Books,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.widget.RelativeLayout android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
3,StartActivity,End Now Start Now View Trips Enter odometer Start Odometer Enter from location From Location Enter purpose here Purpose Select Asset Assets * To From End Trip Start Trip Start Trip,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.Button com.account.app.manager.TypefaceTextView android.widget.ImageView android.widget.RelativeLayout
4,EndTripActivity,End Now Start Now View Trips Enter odometer Start Odometer Enter from location From Location Enter purpose here Purpose Select Asset Assets * To From End Trip Start Trip Start Trip,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.Button com.account.app.manager.TypefaceTextView android.widget.ImageView android.widget.RelativeLayout
5,Home,Bill Received Log Book Bills Payment Payment Received Revenue Expense Invoice Customer Easy On Books,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.widget.RelativeLayout android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar android.widget.TextView
6,EditProfile,user_idlast_namefrom_latitudefirst_nameimageisStartuser_phonefromPlacefrom_longitudeuser_namedashMsgnoaddress user_idlast_namefrom_latitudefirst_nameimageisStartuser_phonefromPlacefrom_longitudeuser_namedashMsgnoaddress user_idlast_namefrom_latitudefirst_nameimageisStartuser_phonefromPlacefrom_longitudeuser_namedashMsgnoaddress Address Line 2 Address Female Male Gender D.O.B D.O.B Phone Last Name First Name * user_idlast_namefrom_latitudefirst_nameimageisStartuser_phonefromPlacefrom_longitudeuser_namedashMsgnoaddress SAVE EDIT PROFILE CANCEL,android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText com.account.app.manager.TypefaceTextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton com.account.app.manager.TypefaceTextView android.widget.EditText com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.ImageView de.hdodenhof.circleimageview.CircleImageView android.widget.RelativeLayout com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView
7,Banking,Search MM/DD/YY To: MM/DD/YY From: Transaction Date: Banking,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.wang.avi.AVLoadingIndicatorView android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.view.View android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.ImageView com.account.app.manager.TypefaceTextView android.widget.ImageView
8,RevenueActivity,Amount Date Paid By Search Select Asset Assets : MM/DD/YY To: MM/DD/YY From: Transaction Date: Revenue,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.wang.avi.AVLoadingIndicatorView android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.LinearLayout com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView android.view.View android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.ImageView com.account.app.manager.TypefaceTextView android.widget.ImageView
9,ExpenseActivity,Amount Date Paid To Search Select Asset Assets : MM/DD/YY To: MM/DD/YY From: Transaction Date: Expense,android.support.design.widget.CoordinatorLayout android.widget.RelativeLayout com.wang.avi.AVLoadingIndicatorView android.widget.ImageView android.support.v7.widget.RecyclerView android.widget.LinearLayout com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView android.view.View android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView android.widget.RelativeLayout com.account.app.manager.TypefaceEditText com.account.app.manager.TypefaceTextView com.account.app.manager.TypefaceTextView android.widget.RelativeLayout android.widget.ImageView com.account.app.manager.TypefaceTextView android.widget.ImageView
