id,label,text,view
0,MainActivity,অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন.... অপেক্ষা করুন....,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
1,b3,Wreck – রীক – ধ্বংশ Wrath – র্যাথ – রাগ Write – রাইট – লেখা Writhe – রীদ – বাঁকার্নো Wrest – রেস্ট – নিংরানো Wrong – রংগ – ভুল Answer – আনসার – উত্তর Wrestle – রেসল – কুস্তি Sword – সোর্ড – তলোয়ার Wrapper – র্যাপার – মোড়ক Writ – রীট – তলব Wrist – রিষ্ট – কবজি Wriggle – রিগল – নড়াচড়া Wristlet – রিস্টলেট – চ্যুরি Wrinkle – রিংকেল – ভাঁজ Wring – রিং – সংকোচন Aurora(অরোরা) – মেরুপ্রভা Anchor (এ্যা ঙ্কর) – নোঙ্গর Antimony (এ্যান্টিমোনি) – সুরমা Arsenic (আর্সেনিক) – সেঁকোবিষ Antimony (এ্যান্টিমোনি) – সুরমা Arsenic (আর্সেনিক) – সেঁকোবিষ Admire (এ্যাডমায়ার) – প্রসংসা করা Allot (এ্যালট) – বরাদ্দ করা Astral(এ্যাস্ট্রাল) – তারকাসন্ধীয় Aggression(এ্যাগরেশন) – জবর দখল। Armour (আর্মার) – বর্ম Author (অথার) – গ্রন্থকার Atmosphere (অ্যাটমোস্ফেয়ার) – বায়ুমন্ডল Appetite (এ্যাপেটাইট) – রুচি Befall (বিফল) – ঘটা Butcher(বাচার) – কসাই Beaten paddy(বিটেন প্যাডি) – চিড়া Ban(ব্যান) – প্রতিবন্ধ Banish(ব্যানিশ) – তাড়ানো Blister(বিস্টার) – ফোস্কা Bargain(বার্গেইন) – চুক্তি করা Bait(বেইট) – টোপ,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
2,b2,Parliament – পার্লামেন্ট – সংসদ Palm – পাম – তালু Could – কুড – পারা Half – হাফ – অর্ধেক Calf – কাফ – বাছুর Walk – ওয়াক – হাটা Folk – ফোক – লোকগীতি Qualm – কোয়াম – ভুল ধারণা Chalk – চক – চক Talk – টক – কথাবলা Should – সুড – উচিৎ Autumn – অটাম – হেমন্ত Damn – ড্যাম – অগ্রায্য করা Solemn – সলেম – একাগ্রতা Column – কলাম – সংবাদপত্রের কলাম Pneumonia – নিউমোনীয়া – নিউমোনীয়া Psychology – সাইকোলজী – মন্সতত্ব Psychiatry – সাইকাট্রি – মন সমন্ধীয় Psyche – সাইকী – মন Island – আইল্যান্ড – দ্বীপ Isle – আইল – দুই সাড়ির মাঝের অংশ Listen – লিসেন – শোনা Depot – ডিপো – ডিপো Buquet – বুকেই – ফুলের তোড়া Snatch – স্নেচ – ছিনিয়ে নেয়া Batch – ব্যাচ – ব্যাচ Match – ম্যাচ – প্রতিযোগিতা Catch – ক্যাচ – ধরা Debut – ডেব্যু – অভিষেক Catchup – কেচআপ – কেচআপ Castle – ক্যাসেল – দূর্গ Hasten – হেসেন – তাড়াতাড়ি Sigh – সাঈ – দীর্ঘশ্বাস Thigh – থাই – উরু Though – দৌও – যদিও Through – থ্রো – মধ্য দিয়ে High – হাই – উচ্চ Height – হাইট – উচ্চতা Fright – ফ্রাইট – ভয় Frieght – ফ্রেইট – মাল Guest – গেষ্ট – অতিথি Guard – গার্ড – পাহাড়া Guess – গেস – অনুমান করা Guiter – গীটার – গীটার,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
3,b13,1. পড়া পড়া পড়া: পড়ার কোন বিকল্প নেই। যে যত বেশি পড়বে সে তত বেশি শিখবে এটাই স্বাভাবিক। কাজেই English Vocabulary বাড়াতে পড়ার কোন বিকল্প নেই। সময় পেলেই পড়তে বসে যান। আসলে এটাই ইংরেজি শেখার সহজ উপায়! বড়জোড় পড়ার মাঝে কিছু নিয়ম ফলো করতে পারেন। 2. কন্টেন্ট : আসলে আপনি সারাদিন Vocabulary Builder নিয়ে বসে থেকে (পড়ে) যে পরিমাণ শব্দভান্ডার বাড়াতে পারবেন তার চেয়ে অনেক বেশি শব্দার্থ শিখতে পারবেন যদি আপনি কোন গল্প কিংবা উপন্যাস পড়েন। এত ধৈর্য্য না থাকলে টেক্সট বইয়ের গল্পগুলো পড়তে শুরু করে দিন। ছোট ছোট আছে আবার আপনার পরীক্ষার ক্ষেত্রেও কাজে লাগবে। সেখানে যে সকল নতুন শব্দ দেখবেন তা ভালকরে লক্ষ্য করুন। এবার পুরো বাক্যটা আবার পড়ুন। আপনাকে খুব বেশি কাঠ-খোর পোড়াতে হবে না দ্রুতই ইংরেজি ভোকাবুলারি বাড়াতে পারবেন। 3. অনুশীলন: বাহ! বেশতো ইংরেজি শব্দ শিখলেন। এবার কি করবেন? অবশ্যই ভুলে যাবেন! উপায়? আছে। ইংরেজি শব্দ যেমন শিখেছেন তেমন ব্যবহার করতে হবে। তাছাড়া সেই আগের অবস্থায় ফিরে যাবেন। তাই বাস্তব ক্ষেত্রে কাজে-কর্মে ব্যবহার করুন আপনার জানা শব্দগুলো। English Vocabulary বাড়বেই। 4. পথ তৈরী করুন: অবাক হবেন নাহ আমি আপনাকে গাড়ি চলাচলের রাস্তা তৈরী করতে বলছি নাহ! তবে শব্দ চলাচলের রাস্তা তৈরী করুন। একটা ইংরেজি শব্দ শেখার পর ঐ শব্দের উদাহরণ দেখুন। এবার নিজেই কিছু উদাহরণ তৈরী করুন। এর চেয়ে ভাল উপায় আর কি হতে পারে ! একটা শব্দের কাছাকাছি আর কোন শব্দ জানা থাকলে সেটাকে মাথায় একই সাথে রেখে দিন। কাজে লাগবে। 5. মনে রাখার কৌশল: শব্দ শেখাতো ভালই লাগে তাই না? আসলে শব্দ মনে রাখাই কঠিন। তারচেয়ে কঠিন কথা হল আপনাকে কেউ শব্দ মনে রাখার কৌশল শেখাতে পারবে না। একেকজনের কৌশল একেক রকম। কাজেই বুঝতেই পারছেন আপনার কৌশল আপনাকেই খুঁজে বের করতে হবে। যেমন-আমি একটা খাতা বানিয়েছি যেখানে আমার শেখা নতুন শব্দগুলো আছে। আবার সেগুলো মনে রাখার জন্য নিজেই কিছু লিখে রেখেছি যেমন-Abate মানে কমানো আমি ওখানে লিখে রেখেছি বেঁটে শব্দের সাথে মিল রেখেছি আবার উচ্চারণের সাথেও। 6. ফ্ল্যাশ কার্ড: ইংরেজি শিখবেন আর একটু কষ্ট করবেন না-তাতো হতে পারে নাহ :p। প্রতিদিনের শেখা নতুন শব্দগুলো একটা কাগজে লিখে রাখুন। একপিঠে শব্দ অন্য পিঠে তার অর্থ। এবার এটা মানি - ব্যাগে কিংবা পকেটে রেখে দিন। অবসর পেলেই এক ঝলক দেখে নিন। 7. ডিকশনারি: ভয় নেই ভয় নেই! ডিকশনারি অনেকেই পড়তে কিংবা মুখস্ত করতে বলে আমি বলব না। জাস্ট যে শব্দ গুলোর মুখোমুখি হচ্ছেন ঐ শব্দগুলো দেখে নিন আলসেমি না করে। আস্তে আস্তে কিন্তু সত্যি আপনার ইংরেজিতে দক্ষতা বাড়তে বাধ্য। 8. শব্দ নিয়ে খেলুন: ঐ যে অনেকে খেলে গান নিয়ে! গানের যেখানে শেষ হবে সেখানের শেষ বর্ণ দিয়ে একটা গান বলা লাগবে। আপনি খেলুন এরকম তবে শব্দ নিয়ে যেমন- একটা শব্দ যা দিয়ে শেষ হবে পরের শব্দ তাই দিয়ে শুরু হবে Take থেকে Eat থেকে Turn থেকে Night থেকে.... চলতে থাকুক। 9. ইংলিশ-ই: ইংলিশ যখন শিখতেই চাচ্ছেন ভাল করেই শিখুন। কাজেই খবর দেখুন ইংরেজিতে খবর পড়ুন ইংরেজিতে কর্মক্ষেত্রে ইংলিশ ব্যবহার করুন। 10. লজ্জ্বা: আহ! এতক্ষনে বুঝি কাজের কথা এল! 'লজ্জ্বা করে' এই কথা কত জনই না আমাকে বলল। এই যে এত কিছু করতে আপনার লজ্জ্বা করে। এর চেয়ে কিন্তু লজ্জ্বার ব্যপার ঐ টা কারো সাথে ইংরেজিতে কথা বলতে না পারা কিংবা ইংরেজি একটা বাক্য গঠন করতে গিয়ে আটকে পরা। তাই লেগে থাকুন। বিজয় আসবেই।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
4,b11,Moral (মোরাল) - নৈতিক Immoral (ইম্মোরাল) - অবনৈতিক Always(অলওয়েজ) - সবসময় Never(নেভার) - কখনও না Grateful(গ্রেটফুল) - কৃতজ্ঞ Ungrateful (আনগ্রেটফুল)-অকৃতজ্ঞ Pleased(প্লিজড) - খুশী হওয়া Displeased (ডিসপ্লিজড) - অখুশী হওয়া Real(রিয়েল) - আসল Unreal (আনরিয়েল) - নকল Solvent (সলভেন্ট) - ঋণমুক্ত Insolvent (ইনসলভেন্ট) - দেউলিয়া Honour (অনার) - মর্যাদা Dishonour (ডিসঅনার) - অমর্যাদা Wise (ওয়াইজ) - জ্ঞানী Unwise(আনওয়াইজ) – মূর্খ Literate(লিটারেট) - শিক্ষিত Illiterate (ইললিটারেট) - নিরক্ষর Willing (উইলিং) - ইচ্ছাকৃতভাবে Unwilling (আনউইলিং)-অনিচ্ছাকৃতভাবে Guide(গাইড) - ঠিকভাবে পরিচালনা করা Misguide (মিসগাইড) - ভুলভাবে পরিচালনা করা Barren (ব্যারেন) - অনুর্বর Fertile(ফার্টাইল) - উর্বর Blunt (বান্ট) - ভোঁতা Sharp (শার্প) - তীক্ষ্ম Bright (ব্রাইট) - উজ্জ্বল Dim (ডিম) - স্তিমিত Care(কেয়ার) - যত্ন Neglect (নেগলেক্ট) - অবহেলা Confess(কনফেস) - স্বীকার করা Deny(ডেনাই) - অস্বীকার করা Admire(অ্যাডমায়ার) - প্রশংসা করা Despise (ডেসপাইস) - ঘৃণা করা Humble(হাম্বল) - নম্র Proud (প্রাউড) - গর্বিত Fine(ফাইন) - সূক্ষ Coarse(কোয়ার্স) - মোটা Superior (সুপেরিয়র) - উচ্চস্তরের Inferior (ইনফেরিয়র) - নিচুস্তরের Rough (রাফ) - খসখসে Smooth (স্মুথ) - মসৃণ Optimist(অপটিমিস্ট) - আশাবাদী Pessimist(পেসিমিস্ট) -নিরাশাবাদী Affected(অ্যাফেকটেড) - আক্রান্ত Unaffected(আনঅ্যাফেকটেড)- অনাক্রান্ত Convenient(কনভেনিয়েন্ট) - সুবিধাজনক Inconvenient(ইনকনভেনিয়েন্ট) অসুবিধাজনক Prepared(প্রিপেয়ার্ড) - তৈরী Unprepared(আনপ্রিপেয়ার্ড)- অপ্রস্তুতকৃত Fortunately(ফরচুনেটলি)- সৌভাগ্যবশত Unfortunately(আনফরচুনেটলি) - দূর্ভাগ্যবশত Happy(হ্যাপি) - সুখী Unhappy(আনহ্যাপি) - অসুখী Dependent (ডিপেন্ডেন্ট) - পরনির্ভর Independent(ইনডিপেন্ডেন্ট) - স্বনির্ভর Earthy(আর্দি) - পাথিব Unearthy (আনআর্দি) - অপার্থিব Worthy (ওর্দি) - যোগ্য,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
5,b5,Battle(ব্যাটেল) – যুদ্ধ Brook (ব্রুক) – ছোট নদী Beckon(বেকন) – হাত দিয়ে ইশারা করা Bow (বো) – ঝুঁকা Bribe(ব্রাইব) – ঘুষ Bury(বারি) – কবরস্থ করা Bend(বেন্ড) – নোয়ানো Claim(ক্লেইম) – দাবী Commodity (কমোডিটি) – পণ্য Compensation (কম্পেনসেশন) – ক্ষতিপূরণ Clutch(ক্লাচ) – আঁকড়িয়ে ধরা Chide (চাইড) – তিরস্কার করা Cast(কাস্ট) – নিক্ষেপ করা Cassia(ক্যাসিয়া) – তেজপাতা Cumin seed(কিউমিনসিড) – জিরা Coriander seed(করিয়ান্ডারসিড) – ধনিয়া Cinnamon (সিনামন) – দারচিনি Currant (কারেন্ট) – কিসমিস Comment(কমেন্ট) – মন্তব্য Comedy (কমেডি) – মিলনান্ত Condolence(কনডোলেন্স) – সমবেদনা Condemn(কনডেম) – নিন্দাকরা Chase(চেজ) – তাড়াকরা Consent (কনসেন্ট) – সুতি Collapse (কলাপ্স) – ধ্বসেপড়া Dynasty(ডিন্যাসটি)- রাজবংশ Dogma (ডগমা) – মতবাদ Divine(ডিভাইন) – স্বর্গীয় Dowry(ডাউরি) – পন Drench(ড্রেঞ্চ) – ভিজানো Densorotinous(ডেন্সোরোটিনাস) – আক্কেল দাঁত Dowry(ডাউরি) – পন Drench(ড্রেঞ্চ) – ভিজানো Densorotinous(ডেন্সোরোটিনাস) – আক্কেল দাঁত Dwell(ডোয়েল) – বাস করা Dispute (ডিসপিউট) – ঝগড়া করা Danger (ডেনজার) – বিপদ Diversity (ডাইভারসিটি) – পার্থক্য Damsel (ড্যামসেল) – অবিবাহিত মেয়ে Damage (ড্যামেজ) – আঘাত Dappled (ড্যাপেলড্) – নানা রঙে রঙিন Delicious (ডেলিশিয়াস) – মজাদার Defend (ডিফেন্ড) – আত্মরক্ষা করা Delete (ডিলেট) – মুছে ফেলা Destroy (ডিস্ট্রয়) – ধ্বংস করা Dawn (ডন) – ভোর Dwelling (ডোয়েলিং) – বাসগৃহ Enviously (এনভিয়াসলি) – ঈর্ষান্বিতভাবে Ephemeral (এফিমেরাল) – অবিনশ্বর Eunuch (ইউনাক) – খাজা Exchange (এক্সচেন্জ) – বদল Element (এলেমেন্ট) – উপাদান Excavate (এক্সক্যাভেট) – খনন করা Echo (ইকো) – প্রতিধ্বনি Eligible (এলিজিবল) – নির্বাচনের যোগ্য Entity (এনটিটি) – সত্তা Erase (ইরেজ) – মুছে ফেলা Epitaph (এপিট্যাফ) – স্মৃতিস্তম্ভের উপর ক্ষোদিত লিপি Elect (ইলেক্ট) – বাছাই করা Edible (এডিবল) – খাওয়ার যোগ্য Embarrass (এমব্যারাস) – অপ্রিতীকর অবস্থা Evoke (এভোক) – ধরে রাখা Envy (ইনভে) – হিংসা Fabric (ফ্যাবরিক) – কাপড় Fin (ফিন) – মাছের ডানা Flesh (ফ্লেশ) – মাংস Famine (ফ্যামিন) – দূর্ভিক্ষ Familiar (ফ্যামিলিয়ার) – চেনা Flee (ফ্লি) – পালিয়ে যাওয়া Float (ফ্লোট) – ভাসা Fog (ফগ) – কুয়াশা Fragment (ফ্র্যাগমেন্ট) – ভাঙ্গা অংশ Fortune (ফরচ্নু) – ভাগ্য Fury (ফিউরি) – ক্রোধ Flicker (ফ্লিকার) – অসমভাবে জলন্ত Garland (গারল্যান্ড) – ফুলের মালা Gnat (ন্যাট) – কীট Gruel (গ্রুয়েল) – ভাতের ফেন Glamour (গামার) – সোন্দর্য Gossip (গসিপ) – গল্প করা Gnarled (নার্ল্ড) – বাঁকানো Gruel (গ্রুয়েল) – ভাতের ফেন Glamour (গামার) – সোন্দর্য Gossip (গসিপ) – গল্প করা Gnarled (নার্ল্ড) – বাঁকানো Goblet (গবলেট) – হাতল ছাড়া বড় এক ধরনের গাস Grotto (গ্রোটো) – গুহা Gust (গাস্ট) – জোরে ধাক্কা,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
6,b4,Juvenile (জুভেনাইল) – অল্পবয়সী Jot (জট) – তাড়াতাড়ি লেখা Jockey (জোকি) – ঘোড়সওয়ার Jaw (জও) – চোয়াল Knob (নব) – হাতল Knot (নট) – জট Knock (নক) – টোকা দেওয়া Kinsfolk (কিনসফোক) – আত্ত্বীয় Lap (ল্যাপ) – কোল Layer (লেয়ার) – স্তর Larva (লার্ভা) – সদ্যজাত পোকামাকড় Legend (লেজেন্ড) – পুরানো কাহিনী Luminate(লুমিনেট) – আলো ছড়ানো Limit (লিমিট) – সীমা Livid (লিভিড) – নীলাভ রং Lure (লিউর) – টোপ Luxury (লাক্সারী) – অপ্রয়োজনীয় বিলাস দ্রব্য Loyal (লয়াল) – বিশ্বাসী Lynx (লিংক্স) – ব্যগ্রশ্রেনীর একধরনের পশু Middleman (মিডলম্যান) – ঘটক Monument (মনুমেন্ট) – মিনার Middleman (মিডলম্যান) – ঘটক Monument (মনুমেন্ট) – মিনার Meteor (মিটিওর) – উল্কা Mansion (ম্যানশন) – বৃহদাকার বাড়ি Mare (মেয়ার) – ঘোটকী Meditation (মেডিটেশন) – ধ্যান Mason (ম্যাশন) – রাজমিস্ত্রী Molasses (মোলাসিস) – গুড় Moustache (মোস্ট্যাচ) – গোঁফ Mercy (মারসি) – দয়া Modern (মর্ডান) – আধুনিক Modern (মর্ডান) – আধুনিক Motive (মোটিভ) – কারন Mute (মিউট) – শব্দহীনতা Mutton (মাটন) – ভেড়ার মাংস Mutter (মাটার) – আস্তে কথা বলা/ বিড়বিড় করা,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
7,b8,Aurora(অরোরা) – মেরুপ্রভা Anchor (এ্যা ঙ্কর) – নোঙ্গর Antimony (এ্যান্টিমোনি) – সুরমা Arsenic (আর্সেনিক) – সেঁকোবিষ Admire (এ্যাডমায়ার) – প্রসংসা করা Allot (এ্যালট) – বরাদ্দ করা Astral(এ্যাস্ট্রাল) – তারকাসন্ধীয় Aggression(এ্যাগরেশন) – জবর দখল। Armour (আর্মার) – বর্ম Author (অথার) – গ্রন্থকার Atmosphere (অ্যাটমোস্ফেয়ার) – বায়ুমন্ডল Appetite (এ্যাপেটাইট) – রুচি Befall (বিফল) – ঘটা Butcher(বাচার) – কসাই Beaten paddy(বিটেন প্যাডি) – চিড়া Ban(ব্যান) – প্রতিবন্ধ Banish(ব্যানিশ) – তাড়ানো Blister(বিস্টার) – ফোস্কা Bargain(বার্গেইন) – চুক্তি করা Atmosphere (অ্যাটমোস্ফেয়ার) – বায়ুমন্ডল Appetite (এ্যাপেটাইট) – রুচি Befall (বিফল) – ঘটা Butcher(বাচার) – কসাই Beaten paddy(বিটেন প্যাডি) – চিড়া Ban(ব্যান) – প্রতিবন্ধ Banish(ব্যানিশ) – তাড়ানো Blister(বিস্টার) – ফোস্কা Bargain(বার্গেইন) – চুক্তি করা Bait(বেইট) – টোপ Battle(ব্যাটেল) – যুদ্ধ Brook (ব্রুক) – ছোট নদী Beckon(বেকন) – হাত দিয়ে ইশারা করা Bow (বো) – ঝুঁকা Bribe(ব্রাইব) – ঘুষ Bury(বারি) – কবরস্থ করা Bend(বেন্ড) – নোয়ানো Claim(ক্লেইম) – দাবী Commodity (কমোডিটি) – পণ্য Compensation (কম্পেনসেশন) – ক্ষতিপূরণ Clutch(ক্লাচ) – আঁকড়িয়ে ধরা Chide (চাইড) – তিরস্কার করা Cast(কাস্ট) – নিক্ষেপ করা Cassia(ক্যাসিয়া) – তেজপাতা Cumin seed(কিউমিনসিড) – জিরা Coriander seed(করিয়ান্ডারসিড) – ধনিয়া Cinnamon (সিনামন) – দারচিনি Currant (কারেন্ট) – কিসমিস Comment(কমেন্ট) – মন্তব্য Comedy (কমেডি) – মিলনান্ত Condolence(কনডোলেন্স) – সমবেদনা Condemn(কনডেম) – নিন্দাকরা Chase(চেজ) – তাড়াকরা Consent (কনসেন্ট) – সুতি Collapse (কলাপ্স) – ধ্বসেপড়া,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
8,b1,Lamb – ল্যাম – ভেড়া Tomb – টৌম – সমাধি Thumb – থাম – বৃদ্ধাঙ্গুল Bomb – বম – বোমা Limb – লিম – অঙ্গ–প্রত্যঙ্গ Debt – ডেট – দেনা Doubt – ডাউট – সন্দেহ Beckon – বেকন – সংকেত Scent – সেন্ট – সুগন্ধি Scent – সেন্ট – সুগন্ধি Scene – সিন – দৃশ্য Science – সাইন্স – বিজ্ঞান Scenery – সীনারি – প্রাকৃতিক দৃশ্য Handsome – হ্যানসাম – সুদর্শন Budget – বাজেট – বাজেট Ridge – রিজ – পাহাড়ের কিনারা Fridge – ফ্রিজ – ফ্রিজ Sandwich – সেনউইচ – সেনউইচ Wednesday – ওয়েনেসডে – বুধবার Edge – এজ – কিনারা Edge – এজ – কিনারা Knowledge – নলেজ – জ্ঞান Sign – সাইন – দস্তখত Gnaw – নঅ – চোষা Reign – রেন – শাসনকাল Foreign – ফরেন – বিদেশ Honour – অনার – সম্মান Hour – আওয়ার – ঘন্টা Honorable – অনারেবেল – সম্মানীয় Honest – অনেষ্ট – সৎ Hosnesty – অনেষ্টি – সততা Knock – নক – টোকা Knife – নাইফ – ছুরি Knack – ন্যাক – দক্ষতা Knead – নীড – মালিশ Know – নৌও – জানা Knowledge – নলেজ – জ্ঞান Knot – নট – গিট্টু Knitting – নীটিং – বোনা Knee – নী – হাটু Kneel – নীল – ঝোকা,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
9,b6,Gambler (গ্যামব্লার) – জুয়াড়ী Generous (জেনেরাস) – দয়াবান Garret (গ্যারেট) – চিলেকোঠা Goldsmith (গোডস্মিথ) – স্বর্ণকার Hawk (হক) – বাজপাখী Hymn (হীম) – স্ত্রোতি Helot (হিলট) – ক্রীতদাস Hasten (হেসন) – তাড়াতাড়ি Heinous (হেনাস) – ভয়ানক Hail (হেইল) – বর্ষন Heinous (হেনাস) – ভয়ানক Hail (হেইল) – বর্ষন Hemisphere (হেমিস্ফেয়ার) – অর্ধগোলক Harass (হ্যারেস) – বিরক্ত করা Hornet (হর্নেট) – ভিমরুল Hollow (হলোউ) – ফাঁপা Hamper (হ্যমপার) – ক্ষতি Harbor (হারবোর) – বন্দর Haste (হেষ্ট) – দ্রুত Hammock (হ্যামক) – এক ধরনের ঝুলন্ত বিছানা Hue (হিউ) – রং Heinous (হেনাস) – ভয়ানক Hail (হেইল) – বর্ষন Hemisphere (হেমিস্ফেয়ার) – অর্ধগোলক Harass (হ্যারেস) – বিরক্ত করা Hornet (হর্নেট) – ভিমরুল Hollow (হলোউ) – ফাঁপা Hamper (হ্যমপার) – ক্ষতি Harbor (হারবোর) – বন্দর Haste (হেষ্ট) – দ্রুত Hammock (হ্যামক) – এক ধরনের ঝুলন্ত বিছানা Hue (হিউ) – রং Hue (হিউ) – রং Harmony (হারমোনি) – একতান Husky (হাসকি) – কর্কশ Hysteria (হিসটেরিয়া) – উত্তেজনা Hood (হুড) – সাপের ফনা Heel (হিল) – গোড়ালি Heir (এয়ার) – উত্তরাধিকারী Hump (হাম্প) – কুজ Horizon (হরিজন) – দিক চক্রবাল Heaven (হ্যাভেন) – স্বর্গ Hell (হেল) – নরক Holiness (হলিনেস) – পবিত্রতা Inspiration (ইনশপিরেশন) – প্রেরনা Imitate (ইমিটেট) – অনুকরন করা Idol (আইডল) – মূর্তি Iguana (ইগুয়ানা) – এক ধরনের গেছো টিকটিকি Immense (ইম্মেন্স) – বিরাট Itch (ইচ) – চুলকানি Ivy (আইভি) – এক ধরনের সবুজ পরগাছা Intensely (ইনটেন্সলি) – তীব্রভাবে Juvenile (জুভেনাইল) – অল্পবয়সী Intensely (ইনটেন্সলি) – তীব্রভাবে Juvenile (জুভেনাইল) – অল্পবয়সী Jot (জট) – তাড়াতাড়ি লেখা Jockey (জোকি) – ঘোড়সওয়ার Jaw (জও) – চোয়াল Knob (নব) – হাতল Knot (নট) – জট Knock (নক) – টোকা দেওয়া Kinsfolk (কিনসফোক) – আত্ত্বীয় Lap (ল্যাপ) – কোল Layer (লেয়ার) – স্তর Larva (লার্ভা) – সদ্যজাত পোকামাকড় Legend (লেজেন্ড) – পুরানো কাহিনী Luminate(লুমিনেট) – আলো ছড়ানো Limit (লিমিট) – সীমা Livid (লিভিড) – নীলাভ রং Lure (লিউর) – টোপ Luxury (লাক্সারী) – অপ্রয়োজনীয় বিলাস দ্রব্য Loyal (লয়াল) – বিশ্বাসী Lynx (লিংক্স) – ব্যগ্রশ্রেনীর একধরনের পশু Middleman (মিডলম্যান) – ঘটক Lynx (লিংক্স) – ব্যগ্রশ্রেনীর একধরনের পশু Middleman (মিডলম্যান) – ঘটক Monument (মনুমেন্ট) – মিনার Meteor (মিটিওর) – উল্কা Mansion (ম্যানশন) – বৃহদাকার বাড়ি Mare (মেয়ার) – ঘোটকী Meditation (মেডিটেশন) – ধ্যান Mason (ম্যাশন) – রাজমিস্ত্রী Molasses (মোলাসিস) – গুড় Moustache (মোস্ট্যাচ) – গোঁফ Mercy (মারসি) – দয়া Modern (মর্ডান) – আধুনিক Motive (মোটিভ) – কারন Mute (মিউট) – শব্দহীনতা Mutton (মাটন) – ভেড়ার মাংস Mutter (মাটার) – আস্তে কথা বলা/ বিড়বিড় করা Nod (নড) – মাথা নাড়ানো Nook (নুক) – কোনা Novel (নোভেল) – উপন্যাস Notify (নোটিফাই) – জানানো Noxious(নোক্সিয়াস) – ক্ষতিকর Nocturnal (নকটারনাল) – নিশাচর Native (নেটিভ) – নিজদেশীয় Neglect (নেগলেক্ট) – অবহেলা করা Nature (ন্যাচার) – প্রকৃতি Naval (ন্যাভাল) – নাভি Nostrils(নোসট্রিল্স) – নাকের ছিদ্র Novelist(নভেলিষ্ট) – ঔপন্যাসিক Oath(ওথ) – শপথ Oasis(ওয়াসিস) – মরুদ্যান Odour (ওডোর) – গন্ধ Optimist (অপটিমিষ্ট) – আশাবাদি Oral (ওরাল) – মৌখিক Overthrow(ওভারথ্রো) – পরাজিত করা Octagon(ওক্টাগন) – আট বাহু বিশিষ্ট আক…তি Provoke (প্রোভোক) – কুপিত Presage (প্রিসেজ) – পূর্বাভাস দেয়া Petal (পেটাল) – ফুলের পাপড়ি ) Purchase (পারচেস) – কেনা কাটা Purification (পিউরিফিকেশন) – শুদ্ধি করণ Presage (প্রিসেজ) – পূর্বাভাস দেয়া Petal (পেটাল) – ফুলের পাপড়ি ) Purchase (পারচেস) – কেনা কাটা Purification (পিউরিফিকেশন) – শুদ্ধি করণ Palate(প্যালেট) – তাল Pore (পেয়ার) – লোমকূপ,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
