id,label,text,view
0,SetupActivity,start game,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
1,SENDTO,null,null
2,SettingsActivity,Email AD s2dios Restore Purchases Remove Ads When playing in a dark room Black and White SETTINGS,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.Switch android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ProgressBar
3,RevealActivity,Next The Spies Are Adriel Pass Device To,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.ScrollView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.TextView android.widget.TextView
4,MainActivity,Youtube Tutorial New Game Resistance,android.widget.FrameLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ProgressBar
5,GameActivity,Confirm Check role would fail this missionJust sabotage sabotages Just players for this missionPick QQQQQQQQ Mission Leader,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.ListView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton com.google.android.gms.ads.AdView
6,MissionActivity,Confirm Adriel (Tap icon to change)Pass device to,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.FrameLayout android.widget.ImageButton android.widget.TextView android.widget.TextView
7,ResultActivity,New Game Reveal Roles Won This Round Spies ? ?,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton
8,MDSetupActivity,new game Minimum 5 players Other Devices On My Device - -,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.ListView android.widget.TextView android.widget.ListView android.widget.TextView android.widget.ProgressBar android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
9,SplashActivity,null,android.view.ViewGroup
10,MDGameActivity,Confirm Check role Pick 2 people for this mission QQQQQQQQ Mission Leader,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.ListView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ProgressBar com.google.android.gms.ads.AdView
