id,label,text,view
0,password,KELUAR REGISTRASI,android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.EditText android.widget.EditText android.widget.EditText android.widget.ImageView
1,Daftar,KELUAR ULANG REGISTRASI LANJUT TOKEN USER SERVER,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.TextView
2,Main,Koordinator Member Histori & KomplainTransaksi DepositSaldo BPJS &Gas Negara VoucherGame Multifinance TV Kabel GO-PAY PDAM Telkom &Pasca Bayar PLN Token & Tagihan Pulsa,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button
3,Signup,KELUAR DAFTAR Masukan kode Referensi jika ada Ulangi Pin Baru Masukan PIN Baru Masukan Nomor HP SERVER,android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView
4,Topup,CEK 10 08991023627 SUKSES Transfer Saldo 2017-10-18 00:00:00 CARI Cari Phonebook pilih Harga: Pulsa reguler 5000 TELKOMSEL N5 Kembali Proses Nomor Tujuan :,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageButton android.widget.AutoCompleteTextView android.widget.TextView
5,ppob,BELI Harga: RB TELKOMSEL N5 : : : TAGIHAN : HARGA BAYAR/BELI BELI Harga: RB TELKOMSEL N5 CEK 10 08991023627 SUKSES Transfer Saldo 2017-10-18 00:00:00 pilih Harga: Pulsa reguler 5000 TELKOMSEL N5 CARI Cari Phonebook Kembali Proses No.Hp baru Nominal Transfer : ID Pelanggan :,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.AutoCompleteTextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.AutoCompleteTextView android.widget.TextView
6,dialogTopup,Input Jumlah Pembelian BELI BATAL harga : Apakah Anda ingin Membeli produk ini?jumlah :,android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ScrollView android.widget.TextView android.widget.TextView
7,dialogDetail,YA TIDAK Apakah anda ingin menghapus data ini? Konfimasi Hapus OK BAYAR HAPUS :,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ScrollView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView
8,Zbarcode,Keluar,android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.FrameLayout com.ais.buanaambarawa.CameraPreview
9,ppobBayar,Keluar Bayar,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView
