id,label,text,view
0,AddCameraActivity,WiFi Search Scan for your camera on the network Camera Scan Password: UID: admin Username: Camera Name: Device Settings Done Add Camera,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.TextView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
1,QRCodeCaptureActivity,Done Scanning QR Code,android.widget.FrameLayout android.widget.RelativeLayout com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button com.thecamhi.zxing.ViewfinderView android.view.SurfaceView
2,WifiOneKeySettingActivity,< Back Before tap the set button please make the volume of your phone to maximum and place it close to the camera. Set Password: SSID Step Done Add Camera,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
3,AddCameraStep3Activity,Retry No camera is found on the network. ��Please select your camera. If your camera is not displaying on this list please make sure it is powered on and connected to your network via an Ethernet cable and also your phone need be connected to the same network via WiF < Back Camera List Step Done Add Camera,android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ProgressBar android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
4,MainActivity,null,android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.support.v4.app.FragmentTabHost android.widget.FrameLayout
5,LiveViewActivity,x REC... x REC...,android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView com.thecamhi.base.MyLiveViewGLMonitor android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView com.thecamhi.base.MyLiveViewGLMonitor
6,EditDeviceActivity,Device Information System Settings FTP Settings Email Settings Device Time Settings SD Card Settings WiFi Settings Video Settings Audio Settings Scheduled Recording Settings Alert Settings Motion Detection Edit Password 444444444444444 1111111333333333333 222222222222222 Done Camera setup,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
7,AliveSettingActivity,Device Information System Settings FTP Settings Email Settings Device Time Settings SD Card Settings WiFi Settings Video Settings Audio Settings Scheduled Recording Settings Alert Settings Motion Detection Edit Password 0 Done Camera setup,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
8,PasswordSettingActivity,Edit Password Confirm: New: Old: Done Edit Password,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.CheckBox android.widget.EditText android.widget.TextView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
9,AlarmSettingActivity,Apply Sensitivity 0 Motion Detection Done Motion Detection,android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.RelativeLayout android.widget.ToggleButton android.widget.TextView com.thecamhi.base.TitleView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.Button
