id,label,text,view
0,MainActivity,Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.support.design.widget.FloatingActionButton android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.support.design.widget.AppBarLayout android.support.v7.widget.Toolbar
1,SaveActivity,Starred Remarks: New Number Medium Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
2,RemarksActivity,Starred Remarks: Medium Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
3,TODOActivity,null,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView
4,SearchActivity,Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text Starred Remarks: New Number Medium Text Saved Recordings Recording List,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageButton android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton
5,SettingsActivity,Medium Text Large Text Medium Text Large Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.SwitchCompat android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.SwitchCompat android.widget.TextView android.widget.TextView
6,CloudActivity,Large Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.ImageButton
7,StorageActivity,Share All Unsaved Recordings Share All Saved Recordings Share All Recordings Share Recordings(PRO) Save All Recordings Save Recordings (PRO) Delete All Saved Recordings Delete All UnSaved Recordings Delete All Recordings Delete Recordings (PRO) : Available SpaceKB Total File sizeKB: : No of Files Voice Recorder// Storage Path,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.Button android.widget.TextView android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.TextView
8,StarredActivity,Starred Remarks: New Number Medium Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
9,ScheduleListActivity,To To,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView
10,VoiceRecActivity,00:00:00,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ImageButton android.widget.ImageView android.widget.TextView
11,MediaActivity,: Remarks : File SizeGB New Number Medium Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView
12,AddRemarksActivity,Add remarks here,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.EditText
13,AddTodoActivity,10 Notify Me Date Please Enter Description Please Enter Title,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ScrollView android.widget.RelativeLayout android.support.design.widget.TextInputLayout android.widget.EditText android.widget.CheckBox android.widget.Button android.widget.Button android.support.design.widget.TextInputLayout android.widget.EditText android.support.design.widget.TextInputLayout android.widget.EditText
14,CloudSettings,Medium Text Large Text Medium Text Large Text,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.SwitchCompat android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.SwitchCompat android.widget.TextView android.widget.TextView
15,LoginActivity,Login Please enter the password Version: Voice Recorder,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.support.design.widget.TextInputLayout android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView
16,AuthActivity,null,android.view.ViewGroup
17,RecordHistoryActivity,Starred Remarks: Medium Text Medium Text Record History Medium Text New Number,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ListView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
18,ScheduleAddActivity,10 Date Please Enter Description,android.widget.RelativeLayout com.google.android.gms.ads.g android.widget.ScrollView android.widget.RelativeLayout android.support.design.widget.TextInputLayout android.widget.EditText android.widget.Button android.widget.Button android.support.design.widget.TextInputLayout android.widget.EditText android.support.design.widget.TextInputLayout android.widget.EditText
