id,label,text,view
0,LaunchActivity,Face Beauty Editor Face Beauty Editor Face Beauty Editor Face Beauty Editor Privacy Policy Rate Us My Work Start Face Beauty Editor Face Beauty Editor,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView
1,VIEW,null,null
2,CategoryActivity,Face Beauty Editor Face Beauty Editor Face Beauty Editor Face Beauty Editor Face Beauty Editor,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView
3,ViewActivity,No Creation 0,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.support.v7.widget.Toolbar
4,SaveActivity,Face Beauty Editor Face Beauty Editor Face Beauty Editor My Creation Face Beauty Editor,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView
5,FaceTuneEditor,Blur Face Beauty Editor Whitten Face Beauty Editor Accessories Face Beauty Editor Foundation Face Beauty Editor Blush Face Beauty Editor Eyes Face Beauty Editor Lips Face Beauty Editor Blemish Face Beauty Editor Face Beauty Editor Done Editor,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
6,AccessoriesActivity,Face Beauty Editor Color Pattern Necklace Face Beauty Editor Crown Face Beauty Editor Hair Face Beauty Editor EarRings Face Beauty Editor HairBand Face Beauty Editor Glasses Face Beauty Editor Done Accessories,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.view.View android.support.v7.widget.RecyclerView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
7,BlemishActivity,Face Beauty Editor Face Beauty Editor Face Beauty Editor Manual Auto Done Blemish,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout com.outthinking.beautyselfiecamera.beautylib.CircleView android.widget.LinearLayout com.outthinking.beautyselfiecamera.beautylib.CircleView android.widget.LinearLayout com.outthinking.beautyselfiecamera.beautylib.CircleView android.widget.LinearLayout com.outthinking.beautyselfiecamera.beautylib.CircleView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout com.outthinking.beautyselfiecamera.beautylib.ImageViewSpotSingleTap android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
8,LipColorActivity,Face Beauty Editor Done Blush,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.RelativeLayout android.widget.LinearLayout android.widget.SeekBar android.support.v7.widget.RecyclerView android.widget.ImageView android.widget.LinearLayout com.outthinking.beautyselfiecamera.beautylib.MakeUpView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
9,EyeColorActivity,DarkCircle Face Beauty Editor Brighten Face Beauty Editor Enlarge Face Beauty Editor Color Face Beauty Editor Face Beauty Editor Face Beauty Editor Face Beauty Editor Done Eye Color,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.view.View android.widget.LinearLayout android.widget.SeekBar android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.ImageView android.widget.LinearLayout com.outthinking.beautyselfiecamera.beautylib.MakeUpView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView
