id,label,text,view
0,Splash,Loading...,android.widget.RelativeLayout android.widget.TextView
1,Books,Mwandishi FREE COPY Lesoni Recharge,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ProgressBar
2,AccountLogin,Reset Password Not Now Create Account Login password mobile no,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.EditText android.widget.LinearLayout android.widget.RelativeLayout android.widget.ProgressBar
3,Download,Mwandishi Tshs Lesoni Recharge,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ListView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ProgressBar
4,ShowTag,Kwa mawasiliano Kwa Ufupi,android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView
5,Info,Wasiliana nasi Ibada ni programu tumishi inayokuwezesha kusoma neno la Mungu na kukusogeza karibu na Mungu wako kupitia kesha la AsubuhiMuongozo wa kujifunza BibliaRoho ya Unabii na Usomaji wa Biblia kwa mpango,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView
6,ReadBook,Nenda Mbele Rudi Nyuma Nenda Ruka kurasa: -,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.ScrollView android.widget.RelativeLayout android.widget.TextView android.view.View android.view.View android.widget.TextView android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.TextView android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.TextView android.view.View android.widget.TextView android.widget.TextView com.android.volley.toolbox.NetworkImageView android.widget.ProgressBar android.widget.RelativeLayout android.widget.Button android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TextView
7,ResetPass,Password yako imetumwa kwenye Email yako. Asante sana Reset Password enter your mobile no Ingiza namba yako ya simu kisha gonga RESET PASSWORD. Password mpya itatumwa kwenye EMAIL uliyosajilia.,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.Button android.widget.EditText android.widget.TextView
8,Signup,Signup password Password Email mobile name Full Name,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ProgressBar android.widget.ProgressBar
9,Duma,100000 50000 20000 NO 5000 ) You are about to pay for the document.Are you sure you want to continue with this transaction?,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
10,All,Update SMS Balance password Password Email mobile name Full Name name User code,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.ProgressBar android.widget.ProgressBar
11,Subscribe,100000 50000 20000 10000 5000 1000 Select Subscription Packages,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
12,Web,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.webkit.WebView android.widget.ProgressBar
13,WebSubScribe,null,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.webkit.WebView android.widget.ProgressBar
