id,label,text,view
0,SplashScreen1,null,android.widget.LinearLayout android.widget.ProgressBar android.widget.ImageView
1,MainActivity,Keluar/Exit Lagu/Songs Sejarah SLANK,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.Button android.widget.ImageView android.widget.Button android.widget.Button
2,customlistview12,With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
3,TesIntentActivity,null,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ListView android.widget.TextView
4,customlistview2,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
5,customlistview3,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
6,customlistview4,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
7,customlistview5,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
8,customlistview6,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
9,customlistview7,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
10,customlistview8,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
11,customlistview9,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
12,customlistview10,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
13,customlistview11,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
14,customlistview13,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
15,customlistview14,Silahkan klik tombol With tint mode,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
