id,label,text,view
0,MainActivity,আরও অ্যাপ ৫ স্টার দিন ব্রণ ও মেছতা দূর করার উপায়,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ImageView
1,Bronermain,Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading.... Loading....,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
2,B5,ত্রিফলার মিশ্রণের একটি অংশ (যাতে অন্তত ১ টি হরিতকি১ টি বিভিতকি ও ২ টি আমলকি থাকে) গুড়া করে রাতে পানিতে ভিজিয়ে রাখতে হবে এবং সকালে খালি পেটে রস টি ছেকে খেয়ে নিতে হবে।খাওয়ার পর অন্তত ১০ মিনিট অপেক্ষা করতে হবে নাস্তা করার জন্য। ব্রণের দাগ থেকে মুক্তি- ব্রণের দাগ ও ব্রণের উপর লবঙ্গ বেটে ৩০ মিনিট লাগিয়ে রাখবেন। ১ দিন পর পর টানা ১ মাস এভাবে লাগালে দাগ কমে যাবে। লবঙ্গে ঝাঁঝ থাকে বলে লাগানোর প্রথম ৫-৭ মিনিট ত্বক জ্বলবে কিন্তু এতে ঘাবড়িয়ে যাবেন না । কিছুক্ষণ পর জ্বলা ঠিক হয়ে যাবে। প্রতিবার ই এমন হবে। লবঙ্গ বাটার সময় এতে একটু পানি মিশিয়ে নিবেন।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
3,B2,- কমলা লেবুর খোসা শুকিয়ে গুঁড়ো করে নিন। মসুরির ডাল আর চাল ভিজিয়ে ভালো করে পিষে নিন। ওই পেস্টের মধ্যে চন্দন পাউডার মুলতানি মাটি কমলালেবুর খোসার গুঁড়ো মিশিয়ে ভালো করে মিলিয়ে নিন। এই মিশ্রণের মধ্যে দুই চামচ দুধও মিশিয়ে নিতে পারেন। মুখে লাগিয়ে কিছুক্ষণ রাখার পর ধুয়ে নিন। এই প্যাকটা নিয়মিত মুখে লাগান। ত্বকের উজ্জ্বলতা বাড়বে। ব্রণের দাগও দূর হয়ে যাবে। - চার-পাঁচটা নিম পাতা ভালো করে ধুয়ে পিষে নিন। এর মধ্যে এক চামচ মুলতানি মাটি অল্প গোলাপ জল মিশিয়ে প্যাক তৈরি করুন। প্যাকটা যদি গাঢ় হয়ে যায় তাহলে এর মধ্যে গোলাপ জল মিশিয়ে নিন। মুখে লাগিয়ে বেশ কিছুক্ষণ রেখে দিন। প্যাকটা মুখে শুকিয়ে গেলে হালকা পানি দিয়ে মুখটা ধুয়ে ফেলুন।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
4,B1,দুটো বাদাম পিষে তার মধ্যে দুধ ও এক চামচ শুকনো কমলা লেবুর গুড়ো মিশিয়ে আস্তে আস্তে মুখে ঐ পেস্টটা লাগান৷ বেশ কিছুক্ষণ রাখার পর ঐ প্যাকটা যখন মুখে শুকিয়ে যাবে তখন পানি দিয়ে ধুয়ে ফেলুন৷ অল্প দিনের মধ্যেই আপনার মুখের সব দাগ দূর হযে যাবে৷ - মুসুর ডাল গুড়ো করে তার মধ্যে ডিমের হলুদ অংশটা মেশান৷ রোদের মধ্যে এই পেস্টটা শুকিয়ে শিশির মধ্যে ভরে রেখে দিন৷ প্রতিদিন রাতে শোবার আগে ২ ফোটা লেবুর রসের সঙ্গে ১ চামচ দুধ মিশিয়ে মুখে লাগান৷ আধ ঘন্টা রাখার পরে মুখটা ধুয়ে ফেলুন৷ এতে আপনার মুখের রঙ ফর্সা হয়ে যাবে৷ - ত্বক ভালো রাখার একমাত্র উপাদান হল পানি। প্রচুর পানি খেলে শরীর এর টক্সিন বের হয়ে যায়। রুক্ষতা থাকে না। ত্বক সতেজ থাকে। ত্বকের যত্নে প্রাকৃতিক নানা জিনিস ই ব্যবহার করা হয়ে থাকে। ফলের রস শরবতের মতো তরল জাতীয় খাবার বেশি খাবেন। কোন ধরনের দুশ্চিন্তা করবেন না। মুখের কালো ছাপ দূর করতে হলে দুধের স্বরের মধ্যে লেবুর রস মিশিয়ে মুখে লাগান৷ কিছুক্ষন রাখার পরে গরম পানি দিয়ে মুখ ধুয়ে নিন৷,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
5,B9,মেছতা প্রতিরোধক মাস্ক : ১. ডিম ও লেবু রস- কিছু লেবু রস এবং একটি ডিমের সঙ্গে মিশিয়ে করুন তার পর চেহারায় রেখে দেন । অর্ধেক ঘন্টা পর পানি দিয়ে তা ধুয়ে ফেলুন । অব্যাহতভাবে দু’সপ্তাহ ব্যবহার করলে আপনার ত্বকের সূক্ষ্মরন্ধ্র ছোট হয়ে যাবে ফুস্কুড়িও কমে যাবে এবং চামরা আরো নরম ও ফর্সা হবে । ২.ঘৃতকুমারী পাতার রস শসা ও মধু: ঘৃতকুমারী পাতার রস বিষাক্ত উপাদানের প্রতি বিশেষ ভুমিকা পালন করতে পারে । এ জন্য চেহারা মেছতার ওপর কিছু ঘৃতকুমারী পাতার রস রেখে দেয় চেহারার ত্বকের নরম হবে এবং কিছু ক্ষতচিহ্ন দেখা যায় না । যদি আপনার মুখের মেছতা খুব গুরুতর তাহলে ঘৃত কুমারী পাতার রস পানির সঙ্গে মিশিয়ে খান প্রতিদিন দু’বারপ্রত্যেকবার ১০ মিলি লিটারকার্যকরভাবে মেছতা প্রতিরোধ করা যায় । ঘৃতকুমারীর একটি পাতা মধু এ একটি ছোট শসা ছোট করে মিশিয়ে মাস্ক করে এবং মেছতার ওপর রেখে দিন চামড়ার ফুস্কুড়িও প্রতিরোধ করতে পারে । উল্লেখ্য যে মুখে যদি মেছতা থাকে তাহলে মেক-আপ না করা ভালো । কারণ মেক-আপ ক্রিম ত্বকের সূক্ষ্মরন্ধ্রের স্বাভাবিক রূপান্তর বাধা দেবে এবং মুখের মেছতা গুরুতর হবে ।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
6,B7,ব্রণ থেকে মুক্তির উপায় : কিছু নিয়ম অবলম্বন করলেই ব্রণ থেকে রক্ষা পাওয়া সম্ভব। অনেকের ধারণা কোনো বিশেষ খাবার খেলেই ব্রণ হয়ে থাকে। আসলে এটি ঠিক নয়। কোনো খাবার খেলে যদি ব্রণের সংখ্যা বৃদ্ধি পেতে থাকে তবে সে খাবারটি বাদ দিতে হবে। তবে প্রচুর ফলমূল ও পানি খেতে হবে। মুখে বেশি ব্রণ থাকলে রাসায়নিক কোনো উপাদান বা কসমেটিক ব্যবহার করা ঠিক নয় যথাসম্ভব প্রাকৃতিক বা হারবাল জিনিস ব্যবহার করা ভালো কারণ এতে কোনো পার্শ্বপ্রতিক্রিয়া নেই। বেশির ভাগ ব্রণ নিজস্ব পরীক্ষার মাধ্যমে সেরে ফেলা সম্ভব। ব্রণ প্রতিরোধে কিছু উপায় : মূলত ব্রণের জন্য সবচেয়ে বড় ওষুধ হলো অপেক্ষা করা। ব্রণ নিয়ে কখনোই বেশি চিন্তা করবেন না। ব্রণ দু-একটা হবে আবার একাই চলে যাবে। অতিরিক্ত ব্রণ হলে এটি চিন্তার বিষয়। তবে নিচের পরামর্শগুলো অবশ্যই মনে রাখা প্রয়োজন।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
7,B4,১. ব্রনের দাগ দূর করতে মধু একটি কার্যকারি উপাদান। রাতে ঘুমানোর আগে মুখ ভালো করে ধুয়ে মধু লাগান। সারারাত তা রেখে সকালে ঘুম থেকে উঠে তা ধুয়ে ফেলুন। ২. মধুর সাথে দারুচিনি গুঁড়া মিশিয়ে শুধুমাত্র দাগের উপর লাগিয়ে ১ ঘণ্টা পর ধুয়ে ফেলুন। চাইলে সারারাতও রাখতে পারেন। দেখবেন কিছুদিনের মধ্যেই আপনার মুখের দাগ দূর হয়ে গোছে। ৩. ২-৩ টি এস্পিরিন ট্যাবলেট এর সাথে ২ চামচ মধু ও ২-৩ ফোঁটা পানি মিশিয়ে ফেসপ্যাক তৈরি করুন। এস্পিরিন এর স্যালিসাইলিক এসিড ব্রণের দাগ দূরের জন্য খুবই সহায়ক। ৪. ২ টেবিল চামচ বেকিং সোডা ও সামান্য পানি একসাথে মিশিয়ে মুখে ২-৩ মিনিট ঘষুন এবং শুকানোর জন্য কয়েক মিনিট অপেক্ষা করুন। এরপর মুখ ধুয়ে এর উপর কোনও ময়েশ্চারাইজার ক্রিম বা অলিভ অয়েল লাগান। সপ্তাহে অন্তত দু'দিন এটি ব্যাবহার করুন ভালো ফল পাবেন। ৫. দিনে দুইবার অ্যালোভেরা জেল মুখে লাগান এবং ৩০ মিনিট পর ধুয়ে ফেলুন। এটি শুধুমাত্র ব্রণের দাগই দূর করবে না বরং আপনার ত্বকের উজ্জ্বলতা বৃদ্ধি পাবে এবং টানটান হবে।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
8,B12,লেবু ত্বককে উজ্জ্বল করতে ত্বকের কালো দাগ দূর করতে লেবুর জুড়ি নেই। এটি ব্লিচের কাজ করে। লেবুর রসের উচ্চমাত্রার সাইট্রিক এসিড ত্বকের অধিক তেল শোষণ করে ব্যাকটেরিয়া সংক্রমণ থেকে ত্বককে রক্ষা করে। তাজা লেবুর রস ত্বকে লাগিয়ে রাখুন ১৫ থেকে ২০ মিনিট। এটি প্রতিদিন অথবা সপ্তাহে একদিন ব্যবহার করুন। এক চা চামচ লেবুর রসের সঙ্গে এক চা চামচ টমেটোর রস মিশিয়ে এটি ত্বকে লাগিয়ে হালকাভাবে ম্যাসাজ করুন এবং ১৫ থেকে ২০ মিনিট পর ধুয়ে ফেলুন। এক মাস এটি করলে ত্বকের মেচতা দূর হবে। টমেটো টমেটোর রস ভিটামিন সি সমৃদ্ধ। এটি ত্বকের কালো দাগ দূর করে ত্বকেরউজ্জ্বলতা বৃদ্ধি করে। টমেটোর পাল্প ত্বকে ম্যাসাজ করে ১০ থেকে ১৫ মিনিট এবং ঠাণ্ডা পানি দিয়ে মুখ ধুয়ে ফেলুন। এটি প্রতিদিন অথবা সপ্তাহে তিন- চার দিন ব্যবহার করুন। এটি ত্বককে পরিষ্কার ও সজীব করে। আলু আলুর রস মেচতার দাগ দূর করতে সাহায্য করে। এটি চোখের চার পাশে জমে থাকা কালো দাগ (ডার্ক সার্কেল) দূর করতে সাহায্য করে। মুলতানি মাটি মুলতানি মাটি ত্বকের মরা কোষ পরিষ্কার করে এবং ত্বকের উজ্জ্বলতা বৃদ্ধিতে সাহায্য করে।এটি ত্বকের এক্সট্রা অয়েল শুষে নিয়ে ত্বককে পরিষ্কার ও উজ্জ্বল করে। গোলাপজল সবুজ চা শসার রস লেবুর রস এবং পানি ও মুলতানি মাটির মিশ্রণটি তৈরি করে ত্বকে লাগিয়ে রাখুন। ১৫ থেকে ২০ মিনিট পর পানি দিয়ে ধুয়ে ফেলুন। এক চা চামচ টমেটোর রস এবং চন্দন গুঁড়া দুই চা চামচ মুলতানি মাটি একসাথে মিশিয়ে ত্বকে লাগিয়ে রাখুন ২০ মিনিট পর ধুয়ে ফেলুন। এটা সপ্তাহে দুই দিন ব্যবহার করতে পারেন। অ্যালোভেরা অ্যালোভেরা জেল ত্বকে লাগিয়ে রাখুন। সম্পূর্ণ জেল ত্বকে শুকিয়ে গেলে পানি দিয়ে ধুয়ে ফেলুন। এটি সপ্তাহে দু’বার ব্যবহার করতে পারেন। অ্যালোভেরা জেল দুই চা চামচ এক চা চামচ লেবুর রস এবং চিনি একসাথে মিশিয়ে হালকা ভাবে ত্বকে ঘষুন। ১৫ মিনিট পর পানি দিয়ে ধুয়ে ফেলুন। সপ্তাহে দুই থেকে তিন দিন এটি ব্যবহার করুন। স্ট্রবেরি স্ট্রবেরি উচ্চমাত্রার ভিটামিন সি হাইড্রোক্সি এসিড স্যালিলিক এসিড অ্যালিজিক এসিড সমৃদ্ধ। এটি ত্বকের মরা কোষ দূর করে দাগ একনে এবং ত্বক ফাটা থেকে রক্ষা করে। দুই থেকে তিনটি স্ট্রবেরি চটকে নিন। দুই চা চামচ দই এবং মধু মিশিয়ে নিন। হালকাভাবে ত্বকে ম্যাসাজ করুন ১০ থেকে ১৫ মিনিট পর এটি পানি দিয়ে ধুয়ে ফেলুন।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
9,B3,- চিনি দিয়ে স্ক্রাব যাঁদের ত্বকে ব্রনের অনেক ক্ষত দাগ রয়েছে তারা চিনি ব্যবহার করতে পারেন দাগ রোধ করতে। পরিমাণ মতো চিনি নিয়ে তাতে সামান্য অলিভ ওয়েল ও লেবুর রস মিশিয়ে পেস্ট বানিয়ে নিন। তারপর ত্বকে ম্যাসেজ করুন। ১০/১৫ মিনিট পর ধুয়ে ফেলুন। ভালো ফলাফল পেতে সপ্তাহে ২/৩ বার ত্বকে চিনির এই পেস্ট ব্যবহার করুন। কিন্তু ত্বক পরিষ্কার করে ফেলার পর ময়শ্চার লাগাতে ভুলবেন না। ভিটামিন ই ক্যাপসুল ত্বকে ব্রণের ক্ষত রোধ করতে সবচেয়ে সহজ উপায় হল ভিটামিন ই। ভিটামিন ই ক্যাপসুল ব্রণের ক্ষত দাগা সারাতে খুব ভালো কাজ করে। প্রতিদিন ময়শ্চারাইযার হিসেবে ভিটামিন ই ক্যাপসুল ত্বকে ব্যবহার করুন। ভিটামিন ই ক্যাপসুল ত্বকের ক্ষত দাগ তো রোধ করেই সাথে ব্রণও রোধ করে।,android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.TextView
