id,label,text,view
0,MainActivity,Contact us Privacy Policy Gifts and Offers Consult our Dietician Order Diet Chart Amazing Apps Stop Ads Best Non Vegetarian iron rich foods Best Vegetarian iron rich foods Yoga Poses for Healing Anemia Home Remedies for Anemia Tips to Prevent Anemia Foods to Avoid Foods to Eat 7 Days Diet Plan for Anemia Patient Diet Plan for Patient having Anemia Risk Factors of Anemia Causes of Anemia Important Herbs for Anemia Foods to Increase Blood Platelets Low Platelets Count Anemia Diet Prevention of Anemia Anemia Treatment Anemia Symptoms Types of Anemia Anemia Causes What is Anemia? PRO Features Ideal Weight BMI Calculator Anemia Care Foods & Diet Tips,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.TextView
1,Order,info1 diet.chart Once you have made the payment send us your Order number to get the Personalized Diet Chart. Press “Order Diet Chart” Button to Order your Personalized Diet Chart. Nutritionist / Dietician KAVERI TYAGI,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView
2,ProFeatures,आशीष सिकरवार Contact PRO Features Technical Support PRO Features,android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
3,Vegeterian_pro,Iron in broccoli: 0.3 mg in ½ cup ��Classified under cruciferous veggies broccoli is a rich source of vitamin C. It helps the body to absorb as well as easily digest the required iron quantit Anemia Care Foods & Diet Tips Broccoli: Iron in oatmeal: 1.7 mg in ½ cup ��Including oatmeal in your diet can drastically improve iron deficiency in the body. It also comes with other essential nutrients and can be a very healthy breakfas Anemia Care Foods & Diet Tips Oatmeal: Iron in brown rice: 0.8 mg in 1 cup �A staple food among diffe Anemia Care Foods & Diet Tips Brown Rice: Baked potato iron: 3.2 mg in 1 medium potato (with skin) ��Besides being easily available potatoes are regarded to be the most versatile food options. High in Vitamin C makes it pretty easy for the body to absorb iron from the bod Anemia Care Foods & Diet Tips Medium baked potato: Dried apricots iron: 2 mg in ½ cup ��High in Iron apricots are available in canned dried cooked or even raw states. However dried apricots offer the best benefits to the body and have the most iron content. Even having ½ cup of dried apricots will take care of the 35% daily iron nee Anemia Care Foods & Diet Tips Apricots: Pinto beans iron: 3.6 mg in 1 cup �OStuffed with essential minerals and vitamins pinto beans is another high iro Anemia Care Foods & Diet Tips Pinto Beans: Iron in sesame butter (Tahini): 0.4 mg in 1 tablespoon ��Mostly used with hummus it contains high levels of iron. It will definitely be an excellent addition to your regular diet pla Anemia Care Foods & Diet Tips Sesame Butter (Tahini): Iron in tofu - 3.4 mg in ½ cup �0Although popular in Asian countries it has fo Anemia Care Foods & Diet Tips Tofu: Iron in Brussels Sprouts - 0.9 mg in ½ cup � These veggies are both tast Anemia Care Foods & Diet Tips Brussels Sprouts: Iron in Pumpkin Seeds - 0.9 mg per 1 ounce ��On an average a handful of pumpkin seeds (about one ounce) will provide roughly 5% iron needed by the body. It is recommended to eat them raw but you do have an option to roast the Anemia Care Foods & Diet Tips Pumpkin Seeds: Best Vegetarian iron rich foods PRO Features,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
4,Activity8,Dates too are rich in iron and other nutrients that will help to increase the platelet counts naturally. Anemia Care Foods & Diet Tips Dates ��As far as papaya is concerned recently a pill made of papaya leaf extract has been found to be effective in treating dengue patient Anemia Care Foods & Diet Tips Papaya Leaves While goat milk is believed to help in increasing platelet counts there is no scientific proof yet to back this evidence. Anemia Care Foods & Diet Tips Goat Milk �eSimply you wrap about 10-15 raisins with some honey and then mix them with some warm milk before y Anemia Care Foods & Diet Tips Raisins with Honey �Milk Anemia Care Foods & Diet Tips Milk and Milk Products ��Sesame oil is produced by cold-pressing method and is amazingly helpful in inducing the production of blood platelets. It reduces Anemia Care Foods & Diet Tips Sesame Oil ��Beetroot is often recommended for anemic patients. According to studies one bowl of carrot and beets if taken twice a week helps to increase the blood platelet count. You can drink juices of beetroot eat it as a salad or even prepare a beetroot sou Anemia Care Foods & Diet Tips Beetroot �Indian goosebe Anemia Care Foods & Diet Tips Indian Gooseberries ��Leafy greens such as spinach kale and fenugreek leaves are high in vitamin K and hence you should consume them when your platelet Anemia Care Foods & Diet Tips Leafy Greens �FAscorbic acid popularly known as vitamin C helps to increase the Anemia Care Foods & Diet Tips Vitamin C �qJust like papaya another orange colored food pumpkin is also known to be good at improving platelet count. Pu Anemia Care Foods & Diet Tips Pumpkin �The red diamond like s Anemia Care Foods & Diet Tips Pomegranate � Anemia Care Foods & Diet Tips Wheatgrass ��Papaya is the highly recommended fruit to be consumed when the blood platelets are at low levels. Apart from eating the ripe papaya fruit you can also drink the concoction made from the papaya leaves that is equally hel Anemia Care Foods & Diet Tips Papaya Foods to Increase Blood Platelets,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
5,Activity1,��• Red blood cells live about 100 days so the body is constantly trying to replace them. In adults red blood cell production occurs in the bone marrow. Doctors try to determin �&Red blood cells are produced through Red blood cells ��Blood is comprised of two parts: a liquid called the plasma and a cellular part. The cellular part contains several different cell types. One of the most important and the How does the body make blood? ��Anemia describes the condition in which the number of red blood cells or Hemoglobin in the blood is low. For this reason doctors sometimes describe someone with anemia as having a low blood count. A person who h Anemia:- What is Anemia?,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
6,Aboutus,Enter Tech Support Code http://www.onelife2care.com Website: support@onelife2care.com Contact us: ©Copyright 2018DRPU Software Pvt Ltd Version: 3.3 Anemia Care Foods & Diet Tips About Us,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.AdView android.widget.TextView
7,Activity5,� Managing hemolytic anemia i • Hemolytic anemia : Treatment of these various diseases can include medication chemotherapy or bone marrow transplantation. • Anemia associated with bone marrow disease : ��Treatment for this anemia may include blood transfusions to boost levels of red blood cells. You may need a bone marrow transplant if your bone marrow is diseased and can not make healthy blood cell • Aplastic anemia : �/There is no specific treatment for this type • Anemia of chronic disease : ��Treatment for folic acid and B-12 deficiency involves dietary supplements and increasing these nutrients in your diet.If your digestive s • Vitamin deficiency anemia : Anemia Care Foods & Diet Tips � Treatment for this form • Iron deficiency anemia : Anemia treatment depends on the cause. ��Treating anemia entails treating the condition of low hemoglobin and red blood cells in blood as well as detecting and treating Treatment of anemia Anemia Treatment,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
8,Activity2,�dBoth acquired and inherited conditions and factors can cause your body to destroy too many red blo High Rates of Red Blood Cell Destruction �tSome infants are born without the ability to make enough red blood cells. This condition is called aplastic anemia Aplastic Anemia � Anemia can occur during pregn Pregnancy ��Chronic diseases like kidney disease and cancer can make it hard for your body to make enough red blood cells.Some cancer treatments may damage the bone marrow or damage the red bloo Diseases and Disease Treatments ��Your body needs the hormone erythropoietin (eh-rith-ro-POY-eh-tin) to make red blood cells. This hormone stimulates the bone marrow to make these cells. A low level of this hormone can lead to anemi Hormones �SA diet that lacks iron folic acid (folate) or vitamin B12 can prevent your body Diet ��Both acquired and inherited conditions and factors can prevent your body from making enough red blood cells. Acquired means you are not born wi Lack of Red Blood Cell Production �iBlood loss is the most common cause of anemia especially iron-deficiency anemia. Blood loss can be sho Blood Loss The main causes of anemia are: Anemia Causes,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
9,Activity3,��Fanconi anemia or FA is a rare inherited blood disorder that leads to bone marrow failure. FA is a type of aplastic anaemia that pre Fanconi Anemia ��Pernicious anemia is a condition in which the body can not make enough healthy red blood cells because it does not have enough vi Pernicious Anemia ��Sickle cell anemia is a serious disease in which the body makes sickle-shaped red blood cells. Normal red blood cells are disk-shaped and move easily through your bl Sickle Cell Anemia ��Thalassemias are inherited blood disorders which cause the body to make fewer healthy red blood cells and less hemoglobin (an iron-rich protein in red blood cells) Thalassemia �iHemolytic anemia is a condition in which red blood cells are destroyed and removed from the bloodstream Hemolytic Anemia ��Aplastic anemia is a blood disorder in which the bodys bone marrow does not make enough new blood cells. This may result in a n Aplastic Anemia �3The most common form of anemia is iron deficiency Iron Deficiency Anemia • Fanconi anemia. • Pernicious anemia. • Sickle cell anemia. • Hemolytic anemia. • Aplastic anemia. • Thalassemia. • Iron deficiency anemia. The most common types of anemia are : Types of Anemia,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.TextView
