id,label,text,view
0,SplashScreen,null,android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView
1,MainActivity,Kerahasiaan ada ditangan anda ! Login Password Nomor HP,android.widget.LinearLayout android.widget.TextView android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.EditText android.widget.ImageView
2,MainFragment,null,android.widget.RelativeLayout android.support.design.widget.BottomNavigationView android.widget.FrameLayout
3,MenuActivity,Logout Info Topup Saldo Ganti PIN Simulasi Mutasi Pinj. Mutasi Simp. Saldo Profil Nomor Anggota no_anggota Selamat Datang nama CU ARTHA MANDIRI,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView com.daimajia.slider.library.SliderLayout android.widget.RelativeLayout com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Indicators.PagerIndicator com.daimajia.slider.library.Tricks.InfiniteViewPager android.widget.TextView
4,Pulsa,Beli PIN Jaringan Jaringan Jaringan Pilih Operator : Phone :,android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView
5,PaketData,Beli PIN Jaringan Jaringan Jaringan Pilih Operator : Phone,android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView
6,VoucherGame,Beli PIN Nomor HP Jaringan Jaringan Jaringan Pilih Operator :,android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.EditText android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.TextView
7,TokenPLN,Beli PIN No HP Pelanggan No. Meter/ID Pel. Jaringan Jaringan Jaringan,android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.EditText android.widget.EditText android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView
8,SaldoOjol,Beli PIN Nomor HP Jaringan Jaringan Jaringan Pilih Operator :,android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.EditText android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.TextView
9,PLNPasca,Cek Tagihan PIN No. Rekening/ID Pelanggan Phone : Jaringan,android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.support.v7.widget.AppCompatButton android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.Spinner android.widget.LinearLayout android.widget.TextView
