id,label,text,view
0,MaSplashActivity,null,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout
1,MaMainActivity,null,android.widget.LinearLayout android.widget.TabHost android.widget.LinearLayout android.widget.TabWidget android.widget.LinearLayout android.widget.FrameLayout
2,MaLoginActivity,Login wifi Account ANT connect ANT connect,android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.Button android.view.View android.widget.RelativeLayout android.widget.Button android.widget.Button android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.EditText android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ImageView android.view.View
3,MaSettingActivity,Quit Version Reboot the device Device info Alarm sound Alarm: Gesture password Pictures Local Video,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.view.SlipButton android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View
4,MaLocalReplayActivity,0 0 00:00:00 00:00:00 Save Local Video,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.LinearLayout com.view.RealView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView com.view.PlaySeekBar android.widget.TextView android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.ProgressBar android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button android.view.View
5,MaImageGridViewActivity,0 0 Save Pictures,android.widget.LinearLayout android.widget.GridView android.widget.FrameLayout android.widget.ImageView android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button android.view.View
6,MaGestureLockManageActivity,Change password Setting Save Gesture password,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.view.SlipButton android.widget.TextView android.widget.TextView android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button android.view.View
7,MaSettingAlarmSoundActivity,SP_ALARM_SOUND: Save,android.widget.LinearLayout android.widget.RelativeLayout com.tech.custom.PopupListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ListView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ListView android.view.View android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button android.view.View
8,SettingAboutVersionActivity,0 0 . 0 Save,android.widget.RelativeLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.ListView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button android.view.View
9,MaAccountActivity,Save Account Management,android.widget.LinearLayout android.widget.ListView android.view.View android.widget.LinearLayout android.view.View android.widget.RelativeLayout android.widget.FrameLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.Button android.view.View
