id,label,text,view
0,Splash_Activity,null,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView android.widget.ImageView
1,SignIn_Activity,226704 REGISTERED USERS Register Now Not a Member ? Login Forgot Password ? ******* Password Daewoo Miles / Cell number Daewoo Miles/ Cell Number Daewoo Express - The only transport company to have nationwide network.,android.widget.FrameLayout android.widget.RelativeLayout android.widget.ProgressBar android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout com.balysv.materialripple.MaterialRippleLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View
2,SignUp_And_SignIn_Activity,Register New User Or Sign In REGISTERED USERS,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
3,MainHomeActivity,.00 PKR Current Balance Umer Waqas 192120 REGISTERED USERS,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.support.design.widget.AppBarLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.support.v7.widget.Toolbar android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout com.daewoo.zia.xx.activities.utils.HorizontalDottedProgress android.widget.TextView android.widget.TextView android.support.v7.widget.RecyclerView
4,Complain_Fragment,null,null
5,App_Base_Activity,New Refund New Refund New Refund New Refund New Refund New Refund New Refund New Refund New Refund New Refund New Refund New Refund,it.neokree.materialnavigationdrawer.util.MaterialDrawerLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.balysv.materialripple.MaterialRippleLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.balysv.materialripple.MaterialRippleLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.balysv.materialripple.MaterialRippleLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.ImageView it.neokree.materialnavigationdrawer.util.MaterialDrawerLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.balysv.materialripple.MaterialRippleLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.balysv.materialripple.MaterialRippleLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView com.balysv.materialripple.MaterialRippleLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.FrameLayout android.support.v7.widget.Toolbar android.widget.ImageView
6,WIRELESS_SETTINGS,null,null
7,Daewoo_Miles_Activity,Forgot Password ? ***** Password Daewoo miles/ Cell number # Daewoo miles/ Cell number #,android.widget.RelativeLayout android.widget.LinearLayout com.daewoo.zia.xx.activities.progress_in_button.ProgressButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView
8,Daewoo_Miles_SignUp_Activity,Pay Enter Confirm Password (required) Confirm Password Enter Your Password (required) Password Choose Password Enter Address (required postal address) Address Enter Email (required) Email Miles User Miles User Standard User Standard User Other Information Enter Date Of Birth (required) Date Of Birth Enter Cnic (required) Cnic Enter Phone Number (required) Phone Number Enter Your Name (required) Your Name All data entered shall be confidential and under the law will not be shared. User Information Create Account,android.widget.RelativeLayout android.widget.LinearLayout com.balysv.materialripple.MaterialRippleLayout android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.support.v7.widget.AppCompatRadioButton android.widget.LinearLayout android.widget.TextView android.support.v7.widget.AppCompatRadioButton android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.Spinner android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.TextView android.widget.ImageView
9,PaymentOptionActivity,Add Payment Method Type Numbers Default Payment Options,android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout com.baoyz.widget.PullRefreshLayout android.widget.ListView android.view.View android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.support.v7.widget.Toolbar android.widget.LinearLayout android.widget.TextView android.widget.ImageView
