id,label,text,view
0,ExamTimetableActivity,** Swipe left to umark a candidate absent * Swipe right to mark a candidate absent Exam completed Candidate absent Exam referred Image R Status Product Duration Start Time Exam Date ID Number ID Type Candidate ID Candidate Name SI Centre Name : Search Candidate Image Image Image Image Image userId firstName token lastName lastResetDate Date | Time Image Image Exam Timetable,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.ImageButton android.widget.EditText android.widget.TextView android.view.View com.app.trinity.utility.SidePanel android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
1,LoginActivity,Trinity Examiner Forgot PIN ? Login New User Login PIN PIN * User ID User ID * Image,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.TableRow android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.ImageView
2,CalendarActivity,Sunday Saturday Friday Thursday Wednesday Tuesday Monday Prev Next CALENDAR,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.TextView
3,ReportFormActivityForISE,Finish 00:00 Recording in progress... Total Overall Result : Select Reason for Referral : YES Referral : ID Confirmed : ID Number : ID Type : Confirm Photo : Candidate Photo Independent Listening Integrated Speaking & Listening R userId firstName token lastName lastResetDate Image Image Candidate Exam,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.Switch android.widget.TextView android.widget.TableRow android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TableRow android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
4,ReportFormActivity,Legend Finish YES ID Seen Key Areas For Improvement Overall Result : Task Fulfillment YES Confirm Photo : Candidate Photo userId firstName token lastName lastResetDate Image Image Candidate Exam,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.Switch android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
5,SplashActivity,null,android.widget.LinearLayout android.widget.TextView
6,FirstTimeLoginActivity,Login Trinity Examiner Login Default PIN Default PIN * Password Password * User ID User ID * Image,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.ImageView
7,ForgotPinActivity,Mother's Maiden Name Mother's Maiden Name * User ID User ID * Retrieve PIN Image Forgot PIN,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
8,ContentDownloadActivity,Privacy Policy Update Time Zone Image Upload Exam Results Image Image Sync Content & Downloads Image Image Sync Itinerary & Timetable Image Image Image Image Image Image userId firstName token lastName lastResetDate Date | Time Image Image Synchronise with Server,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.view.View com.app.trinity.utility.SidePanel android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
9,GroupCandidateTimeTableActivity,Start Exam Image Candidate ID Candidate Name Image Candidate ID Candidate Name Status Candidate ID Candidate Name SI,android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
10,GroupExamConfiguration,External Mic External Audio Stop Recording Image Review Result Reset General Feedback Marks Programme Notes& Presentation Skills Communication Technique Accuracy and Fluency Summary Performance : FirstName LastName (ID: 12345) userId firstName token lastName lastResetDate Date | Time Image Image Group Exam Configuration,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Switch android.widget.TextView android.widget.LinearLayout android.widget.Switch android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
11,ExamGroupReviewActivity,Referral Finish Feedback Total Communication & Style Technical Control Fluency &Musical Details 3 2 1 Programme Summary Performance Score Parameter SI Total Score : Grade 1 : Rock & Pop Drums FirstName LastName (ID: 12345) Hello Date | Time Image Group Exam Review Image,android.widget.RelativeLayout android.widget.LinearLayout android.widget.Switch android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.widget.EditText android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.LinearLayout android.widget.EditText android.view.View android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView
12,ReferralActivity,Finish Please enter referral comment Additional Comments Reason for Referral Grade 1 : Rock & Pop Drums FirstName LastName (ID: 12345) Hello Date | Time Image Image Referral Group,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.Spinner android.widget.TextView android.widget.TextView android.widget.TextView android.view.View com.app.trinity.utility.SidePanel android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
13,LoginDialogActivity,Forgot Password ? Cancel Login Password Password * userIdfirstNametokenlastNamelastResetDate User ID *,android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TableLayout android.widget.TableRow android.widget.EditText android.widget.TextView android.widget.TableRow android.widget.EditText android.widget.TextView
14,DATE_SETTINGS,null,null
15,VIEW,null,null
16,ExamItineraryActivity,Image Image Image Image Image Image Image Image Image Image Image userId firstName token lastName lastResetDate Date | Time Image Image Exam Itinerary,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.view.View android.widget.ListView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.view.View com.app.trinity.utility.SidePanel android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.TextView
