id,label,text,view
0,MainActivity,click to rate five star to improve app Share APP Business World India Telangana Andhra Cricket V6 Live Abnlive Ntv Live Tv9live SakshiLive,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.LinearLayout
1,Pirvacypolicy1,Privacy Policy,android.widget.RelativeLayout android.widget.TextView android.widget.ProgressBar android.webkit.WebView
2,Main2Activity,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
3,Main3Activity,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
4,Main4Activity,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
5,Main5Activity,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
6,Main6Activity,Home Share app,android.widget.RelativeLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View
7,Main7Activity,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.LinearLayout
8,Main8Activity,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.LinearLayout
9,Main9Activity,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.LinearLayout
10,Main10Activity,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.LinearLayout
11,Main11,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.LinearLayout
12,Main12,Home Share app,android.widget.RelativeLayout android.widget.LinearLayout android.widget.ProgressBar android.webkit.WebView android.widget.LinearLayout android.widget.Button android.view.View android.widget.Button android.view.View android.widget.LinearLayout
