id,label,text,view
0,DashboardActivity,Boys photo editor new Ad. My Photo Clock Live Wallpaper Ad. Rose clock live wallpaper Ad. MORE APP (Advt) SETTING SHARE RATE START,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout views.infiniteviewpager.InfiniteViewPager android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View views.CTextView android.view.View android.widget.FrameLayout android.widget.ImageView android.widget.ImageView android.widget.FrameLayout android.widget.ImageView views.SqureLinearView android.widget.LinearLayout android.widget.LinearLayout views.CTextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout views.CTextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout views.SqureLinearView android.widget.ImageView android.widget.LinearLayout views.CTextView views.SqureLinearView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout views.CTextView views.SqureLinearView android.widget.ImageView android.view.View android.widget.FrameLayout android.widget.FrameLayout
1,CHANGE_LIVE_WALLPAPER,null,null
2,SettingActivity,MORE APP SHARE RATE RESET SET Vertical Horizontal Random Direction Speed Size Background SETTING My Work Create New Style My Name Style SETTING,android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.support.material.RadioButton com.support.material.RadioButton com.support.material.RadioButton views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout com.support.material.Slider views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout com.support.material.Slider views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.FrameLayout views.CTextView
3,SplashActivity,My Name Cubelive wallpaper,android.widget.LinearLayout android.widget.LinearLayout views.CTextView views.SqureImageView
4,LetterActivity,Boys photo editor new Ad. My Photo Clock Live Wallpaper Ad. Rose clock live wallpaper Ad. MORE APP (Advt) GO Enter Your Name Enter Name,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.g android.view.View android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.view.View views.CTextView android.view.View android.widget.LinearLayout views.CBTextView views.CEditTextView android.widget.FrameLayout android.widget.ImageView views.CTextView
5,MyWorkActivity,Your saved image will be shown here MY WORK,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.g android.view.View android.widget.FrameLayout android.widget.GridView android.support.v7.widget.CardView android.widget.LinearLayout android.widget.FrameLayout views.ProportionalImageView views.CBTextView android.widget.FrameLayout android.widget.ImageView views.CTextView
6,BackgroundActivity,SELECTED SELECTED Background,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.g android.view.View android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout views.CTextView views.ProportionalImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout views.CTextView views.ProportionalImageView android.widget.FrameLayout views.CBTextView
7,TextActivity,Style Shadow T.Color Text Edit Bold Italic Bold Italic Normal Shadow Color Secondary Primary MultiColor Background Secondary Primary MultiColor Letter Style Create Name My Name,android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.LinearLayout android.widget.LinearLayout views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView views.SqureLinearView views.CTextView android.widget.ImageView android.widget.LinearLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.support.material.RadioButton com.support.material.RadioButton android.widget.LinearLayout com.support.material.RadioButton com.support.material.RadioButton android.widget.LinearLayout android.widget.LinearLayout com.support.material.Slider android.widget.LinearLayout com.support.material.Slider android.widget.LinearLayout android.widget.FrameLayout views.CTextView android.widget.LinearLayout android.widget.LinearLayout com.support.material.Slider android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout views.CTextView android.widget.FrameLayout views.CTextView com.support.material.CheckBox android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.widget.ImageView views.CTextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout views.CTextView android.widget.FrameLayout views.CTextView com.support.material.CheckBox android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView views.CTextView android.widget.ImageView android.view.View com.support.material.Slider android.view.View android.widget.LinearLayout android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView views.CTextView android.widget.FrameLayout android.widget.TextView android.widget.ImageView
8,EditorActivity,CROP FILTER STICKER GALLERY TCOLOR BG TEXT Secondary Primary MultiColor BG Color,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.g android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.FrameLayout android.widget.FrameLayout views.HorizontalListView android.support.v7.widget.CardView android.widget.FrameLayout views.SqureImageView android.support.v7.widget.CardView android.widget.FrameLayout views.SqureImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.FrameLayout android.widget.LinearLayout views.CTextView android.widget.FrameLayout com.support.material.CheckBox android.widget.LinearLayout views.HorizontalListView android.support.v7.widget.CardView android.widget.FrameLayout views.SqureImageView android.support.v7.widget.CardView android.widget.FrameLayout views.SqureImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView views.SqureFrameLayoutView com.support.editor.c.a android.widget.FrameLayout android.widget.ImageView
9,MyWorkViewActivity,Set As Set Wallpaper Share MY WORK,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.g android.view.View android.widget.LinearLayout android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.LinearLayout views.CTextView android.widget.ImageView android.widget.FrameLayout android.widget.FrameLayout android.widget.LinearLayout android.widget.ImageView android.widget.ImageView views.CTextView views.CustomViewPager
