id,label,text,view
0,VisualAnatomy,TextView TextView Full Anatomy AppMob Plus TextView TextView Full Anatomy AppMob Plus TextView TextView Full Anatomy AppMob Plus,android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageButton android.widget.ImageButton
1,InteractiveOrgFullRot,Detail information is here Detail information is here,android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView com.appmobplus.anatomylearning.ImageAreaView3D android.widget.LinearLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView com.appmobplus.anatomylearning.ImageAreaView3D com.google.android.gms.ads.AdView
2,Bones,TextView,android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
3,SearchTerm,Search Search,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView com.appmobplus.anatomylearning.SearchImageTextView android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.LinearLayout com.appmobplus.anatomylearning.SearchImageTextView android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.TextView
4,Muscles,TextView,android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
5,VIEW,null,null
6,FigureList,null,android.view.ViewGroup
7,Quiz,Blue Red Blue Red Question / Blue Red Blue Red Question /,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
8,Nervous,TextView,android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
9,Circulation,TextView,android.widget.LinearLayout android.widget.GridView android.widget.LinearLayout android.widget.TextView android.widget.ImageView com.google.android.gms.ads.AdView
10,LanguageSetting,Deutsch (German) Español (Spanish) Français (French) English Language Setting,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.LinearLayout android.widget.TextView
11,HelpActivity,Next More Apps Back,android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.Button android.widget.Button
12,DisplayImage,Text Hidden Text Hided,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView android.widget.ImageView
13,InteractiveCirculation,Detail is not available. Detail is not available.,android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.TextView com.appmobplus.anatomylearning.MyImageTextView com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.ImageButton android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView com.appmobplus.anatomylearning.MyImageTextView com.google.android.gms.ads.AdView
