id,label,text,view
0,LST,Share App Rate App Notification Post Tips Market News Analyst Watchlist Top Analyst Stock Watchlist Live Tips,android.support.v4.widget.DrawerLayout android.support.design.widget.NavigationView android.support.design.widget.CoordinatorLayout android.widget.LinearLayout android.widget.FrameLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
1,Watchlist,#TIPS STOCKS Analysts Stocks Watchlist,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
2,TopAnalyst,Top Analysts,android.widget.RelativeLayout android.widget.RelativeLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ListView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
3,Analyst_watchlist,Analysts Stocks Watchlist,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.view.View android.widget.TextView android.view.View android.widget.LinearLayout android.view.View android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
4,NewsActivity,News,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.support.design.widget.TabLayout android.support.design.widget.AppBarLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
5,LoginAccess,Logout My Account,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.support.design.widget.TabLayout android.support.design.widget.AppBarLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView
6,UserProcess,As Tips Adviser,android.support.v4.widget.DrawerLayout android.widget.RelativeLayout android.widget.LinearLayout android.support.v4.view.ViewPager android.support.design.widget.TabLayout android.support.design.widget.AppBarLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
7,Notification,Get notifications of performance of all tips added to analyst watchlist For Favourite Analysts Get notifications of performance of all tips added to stock watchlist For Favourite Stock Tips Get notifications of all tips' performance For All Tips Tips Performance Notification Get notifications of all tips added to analyst watchlist For Favourite Analysts Get notifications of all tips added to stock watchlist For Favourite Stock Tips Get notifications of all tips For All Tips Tips Notification Off Notification Settings,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.CheckBox android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ToggleButton android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
8,NewsDetail,Back,android.widget.FrameLayout android.widget.LinearLayout android.webkit.WebView android.widget.ProgressBar android.widget.LinearLayout android.widget.TextView android.widget.ImageButton
9,Detail_page,ANALYST STOCK View more tips by EMAIL SMS CALL EMAIL SMS CALL Awaited 0 Failed 0 Success 0 Posted 0 203 followers Follow Analyst Analyst Profile ANALYST STOCK View more tips by : : NA (30 Nov) Volume : Sell Price : NA (30 Nov) Sell QTY : NA (30 Nov) Buy Price : NA (30 Nov) Buy QTY : 317.40 Day High : 313.05 Day Low : 319.10 Prev. Close : Open 1 Year 3 Month Month Day 1.05 Remove from Watchlist Add to Watchlist Stock Details ANALYST STOCK View more tips by EMAIL SMS CALL EMAIL SMS CALL NA Target NA Stop Loss : NA Current Price : NA Suggested Buy Price Rate App Notification Post Tips Market News Analyst Watchlist Top Analyst Stock Watchlist Live Tips,android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.pkmmte.view.CircularImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.widget.SeekBar android.widget.LinearLayout android.widget.FrameLayout android.widget.ImageView android.widget.SeekBar android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView
10,CALL,null,null
11,MemberPage,Relaince 10 Tips DLF 10 Tips Relaince 10 Tips Relaince 10 Tips Relaince 10 Tips Top Posted Awaited 0 Failed 0 Success 0 Posted 0 EMAIL SMS CALL Member Since | Visited Follow Analyst 203 followers Analyst Profile Awaited Failed Success Posted 0 0 0 0 EMAIL SMS CALL Member Since | Visited Follow Analyst Relaince 10 Tips DLF 10 Tips Relaince 10 Tips Relaince 10 Tips Relaince 10 Tips Top Posted,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.support.v7.widget.RecyclerView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout org.achartengine.GraphicalView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView com.pkmmte.view.CircularImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout org.achartengine.GraphicalView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout com.pkmmte.view.CircularImageView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.FrameLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
12,Stock_List,Tips for,android.widget.LinearLayout android.widget.FrameLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.support.v7.widget.RecyclerView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
13,Onboard,Save SKIP Follow 3 Or More Stocks,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.ListView android.widget.LinearLayout android.widget.LinearLayout android.widget.AutoCompleteTextView android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.ImageView
14,StockDetail_New,null,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.NativeExpressAdView android.widget.LinearLayout android.widget.LinearLayout android.support.v4.widget.SwipeRefreshLayout
15,MiddleWare,null,android.widget.LinearLayout
