id,label,text,view
0,SplashScreenActivity,null,android.widget.LinearLayout android.widget.LinearLayout com.appwin.manhairstyle.photo.DotsTextView
1,MainActivity,null,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout
2,HairGalleryActivity,No Images Found! 0 My Gallery,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.TextView android.widget.GridView android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
3,Crop_image,Crop Image,android.widget.LinearLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.FrameLayout com.edmodo.cropper.CropImageView com.edmodo.cropper.cropwindow.CropOverlayView android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
4,HairEditorActivity,Man Hair Editor,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.FrameLayout android.widget.SeekBar android.widget.LinearLayout android.widget.FrameLayout appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView appwin.mans.sticker.view.StickerImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView appwin.mans.sticker.view.StickerView$BorderView android.widget.ImageView android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
5,HairGridActivity,0 Hair Styles,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
6,Save_ShareActivity,Save Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.ImageView android.widget.ImageView
7,GoGrid,0 Goggles,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
8,DoGrid,0 Beard Styles,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.widget.GridView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.ImageView android.widget.RelativeLayout android.widget.TextView android.widget.ImageView
9,DisplayImage,My Images,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout com.google.android.gms.ads.AdView android.support.v4.view.ViewPager android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.LinearLayout android.widget.ImageView
