id,label,text,view
0,MainActivity,Catering Babysitting Cake and cupcake baking Rent out a room in your home Buying and Re-Sell Gardening services Social media expert Tutoring/online Course Creating custom clothing Computer troubleshooting Personal chef Freelance writing Exercise instructor Wedding planner AUTO DETAILING,android.widget.RelativeLayout com.google.android.gms.ads.AdView android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
1,Rent_out_a_room_in_your_home,Rent Out a Room In Your Home Have some extra space in your home? Turn that extra bedroom into a “bed and breakfast” room. If you live near any sort of tourist destination you can try your hand at renting out a room through Airbnb or CouchSurfing.com. You may also find paid hosting opportunities in your community: Sign up to host exchange students visiting professors to a nearby college or hospital patients receiving long-term treatment. Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
2,Cake_and_cupcake_baking,Cupcake Baking Enjoy baking and have a bit of an artistic touch? Learn how to decorate cakes and make them for special events. Sell your creations online via Craigslist or your local neighborhood Facebook page or at local farmers markets. Many people are willing to pay others to create custom cakes for birthday parties and special events. Back,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button
3,Babysitting,BabySitting Got lots of evenings free? Like kids? Babysitting may be a great side business for you. Keep an eye on multiple children on Friday and Saturday nights and you can earn some easy cash over time Back,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button
4,Auto_Detailing,Many people are quite happy to pay well for this service. In essence your job is to make cars sparkle inside and out. Auto detailing is probably a perfect side business for you. Have a meticulous eye for detail and love to get things gleaming clean? Auto Detailing,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView
5,Gardening_services,Gardening Services I’ve actually fielded requests from others looking for people willing to do this so the demand is out there. To put it simply some people are willing to pay others to get a vegetable or flower garden started for them in their yard so they can have access to ultra-fresh produce without all the legwork. Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
6,Catering,If you love to cook take the “Blondie” route and start a home catering business. Catering is a business that’s perfectly designed to reward those who plan well and it can often fit perfectly into weekends which could work great if you are trying to build a business outside of normal working hours Catering Back,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button
7,Social_media_expert,Social Media Expert Almost everyone uses Facebook Twitter and Pinterest these days but did you know that many companies will pay people to help them manage their social media accounts — sometimes even part-time from home? To find social media jobs you can start by contacting businesses with a social media presence and scanning sites like Upwork.com for opportunities. Check out PaidSocialMediaJobs.com for more information on how to get started with this type of business and to find companies willing to pay for your services. Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
8,Wedding__planner,and promote your services at local wedding venues and throughout the community. In essence your job is to make cars sparkle inside and out. A great way to get started is to develop a website or blog on the topic get to know people online If you’re one of those people who can’t help but flip through bridal magazines and think about various wedding arrangements in your daydreams wedding planning might be the perfect thing for you. Back Wedding planner,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button android.widget.TextView
9,Exercise_instructor,Exercise Instructor Many gymnasiums will trade membership and often a bit more for a person willing and able to teach an exercise class. You can also find people who don’t want to go to a gym and train them at home as a personal trainer. If you’re in good shape this is a great opportunity to earn some extra money plus it can often lead to additional income with one-on-one instruction opportunities Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
10,Personal_chef,Personal Chef I recently met a woman who earned quite a bit of money as a very part-time chef. Once a week she would go to someone’s house and prepare a homemade meal for their family then do all the dishes and cleanup work. This gives the family plenty of together time while putting some cash in the woman’s pocket. If you love to cook this can be a great opportunity but you may have to put a lot of effort into searching for clients. Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
11,Buying_and_Re_Sale,Buying and Re-Sell Thanks to technology there are more opportunities than ever to buy and resell products for extra money. Plenty of people buy local and in-demand products at a discount and resell them on eBay for profit . Back,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button
12,Creating_custom_clothing,Create Custom Clothing The Internet has created opportunities for people who can sew and design custom clothing for special events. Many people have found success creating custom birthday outfits for babies and selling them on sites like Etsy or eBay for example. In addition to selling online you could also market this service to people in your local community. Back,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button
13,Computer_troubleshooting,Computer Troubleshooting I had some success with this in the past though I’ve largely moved away from it now. If you have a knack for fixing computers this is a good place to start. Back,android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button
14,Tutoring_online_Course,Tutoring Online Course Did you major in a subject like English history or math in college or do exceptionally well on the SAT exam? Do you have patience with children? If so you likely have what you need to tutor kids in particular subjects. Seek out parents or teachers and let them know that you tutor students in a certain subject and offer materials for them to share and phone calls will often trickle in. You can get going locally or expand across the country by offering to tutor online. Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
15,Freelance_writing,Free lancing If you’re good with words you might be able to find some work as an online freelancer. A variety of publications need online content in the form of stories product or service descriptions and reports and if you have the talent and skill you could easily be the one to create them. Fortunately all you need is a computer and Internet connection to get started. RealWritingJobs.com is a great place to start. Back,android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.Button
