id,label,text,view
0,MainActivity,Start ��The DCod SmartHome System is brought to you by Archtron Research & Development Sdn Bhd. This app requires Internet Connectivity to activate your DCod Account and receive push notifications from Alarm Pane,android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageView
1,LoginActivity,I've forgotten my password Register Login Enter Password Password Enter Email Email DCod ID Login,android.widget.RelativeLayout android.widget.TextView android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.view.View android.widget.EditText android.widget.TextView android.view.View android.widget.TextView android.widget.ImageView android.widget.ImageView
2,AppController,null,null
3,DevicesActivity,No device.Use the menu above to add device. TextView TextView,android.widget.RelativeLayout android.widget.TextView android.widget.ListView android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView
4,RegisterActivity,Submit Password Email * Must be at least 8 characters long consists of numbers lowercase and uppercase letters. Enter password Enter email address Your login information Account Information Address Contact No. Last Name First Name Enter address Enter contact num Enter last name Enter first name These information will be used to contact you when necessary. Owner Information,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText android.widget.TextView android.widget.TextView
5,ResetPasswordActivity,Reset Password Email address You will find the password reset instruction in your email. Enter your email address,android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.EditText android.widget.TextView android.widget.TextView
6,BluGuardProto2Activity,No Connection Disconnected,android.widget.LinearLayout android.widget.TabHost android.widget.LinearLayout android.widget.TabWidget android.widget.FrameLayout com.archtron.dcodpro.controls.ToolBar android.widget.ViewSwitcher android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.TextView android.widget.ImageView android.widget.Button
7,SystemActivity,Zone 16 Zone 15 Zone 14 Zone 13 Zone 12 Zone 11 Zone 10 Zone 9 Zone 8 Zone 7 Zone 6 Zone 5 Zone 4 Zone 3 Zone 2 Zone 1 2 Disarmed 1 Disarmed SOS,android.widget.ViewSwitcher android.widget.ScrollView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.LinearLayout android.widget.FrameLayout android.widget.ListView com.archtron.dcodpro.controls.MyViewFlipper android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView
8,StatusActivity,Archtron Research & Development © 2015 1.1.0DCod Pro V. Images Telephone Connecting Images Images User Reporting Images Images CMS Reporting Images Images Battery Images Images Siren Images Images Timer Images Images AC Images,android.widget.LinearLayout android.widget.ViewSwitcher android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ScrollView android.widget.TableLayout android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView android.view.View android.widget.TableRow android.widget.ImageView android.widget.TextView android.widget.ImageView
9,LightingControlActivity,Light 16 Light 15 Light 14 Light 13 Light 12 Light 11 Light 10 Light 9 Light 8 Light 7 Light 6 Light 5 Light 4 Light 3 Light 2 Light 1,android.widget.LinearLayout android.widget.ViewSwitcher android.widget.ScrollView android.widget.RelativeLayout android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.EditText android.widget.TextView android.widget.ScrollView com.archtron.dcodpro.controls.LightingControlLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button
10,ManageAccActivity,9/5/2015 3:03 PM: P1 armed by User 19/5/2015 3:01 PM: P1 disarmed by User 1 TextView + Select Account Done,android.widget.LinearLayout android.widget.ListView android.widget.RelativeLayout android.view.View android.widget.LinearLayout android.widget.TextView android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
11,UpdateAccount,Archtron Research & Development © 2011 Version 1.0 BluGuard SmartHome System Connect Time in secs to wait for host to respond Timeout Your 4 digits password to access the alarm system. Password The connection port of the alarm system. 8000 is the default port. Port The IP address of the alarm system in the local area network. 192.168.1.234 is the default address Local IP External Web Address exposed by Alarm System WAN Address Unique name used to identify this account Name Save Account Setting Back,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
12,SettingActivity,Archtron Research & Development © 2011 Version 1.0 BluGuard SmartHome System Connect Time in secs to wait for host to respond Timeout Your 4 digits password to access the alarm system. Password The connection port of the alarm system. 8000 is the default port. Port The IP address of the alarm system in the local area network. 192.168.1.234 is the default address Local IP External Web Address exposed by Alarm System WAN Address Unique name used to identify this account Name Save Account Setting Back,android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.Button
13,EventActivity,Archtron Research & Development © 2015 1.1.0DCod Pro V. Time No Event Date,android.widget.LinearLayout android.widget.ViewSwitcher android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ScrollView android.widget.LinearLayout android.widget.TableLayout android.widget.TableRow android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
14,EditDeviceActivity,Connect Time in secs to wait for host to respond 30 Timeout Your 4 digits password to access the alarm system. Password The connection port of the alarm system. 8000 is the default port. 8000 Port The IP address of the alarm system in the local area network. 192.168.1.234 is the default address 192.168.1.234 Local IP Unique ID assigned to each device. Required for cloud connectivity beyond the local area network. Device ID Unique name used to identify this account Name Local Only. Alarm is access via Local Area Network only. You may not receive push notifications from this device.,android.widget.RelativeLayout android.widget.ScrollView android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView android.widget.EditText android.widget.TextView android.widget.TextView
