id,label,text,view
0,Buy,Open youtube Check my channel Get Free 2000 Coins Buy 10000 Coins Get Free 800 Coins Buy 5000 Coins Get Free 200 Coins Buy 2000 Coins Buy 1000 Coins,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView
1,VIEW,null,null
2,Splash_Screen,Sign in with google,android.widget.RelativeLayout android.widget.Button android.widget.ImageView
3,ListPersetujuan,Next If I`m cheating I`m willing to be banned permanently from this app. Saya bersedia menerima sanksi jika melanggar peraturan sanksi berupa pengurangan koin dan pemblokiran akun. Saya TIDAK akan UNSUBSCRIBE channel yang telah saya subscribe di aplikasi ini. I will NOT promote porn videos Syarat dan Ketentuan,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.CheckBox android.widget.TextView
4,SelectLanguage,Next Check confirmation In Sub4sub Tuber V 11.0,android.widget.RelativeLayout android.widget.Button android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.ImageView android.widget.TextView
5,Informasi_Akun,Update now Needs Updates...! Your application Yes No Subscribe Again Sedang scan akun Apakah anda terindikasi mengunsubscribe. Scanning the account Are you indicated to be Unsubscribe. ok Share App View4view Campaign Tambang koin View - Video - Subscriber - Coins - TextView Load Email Load Name View Coin - Versi 11.0,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView de.hdodenhof.circleimageview.CircleImageView android.widget.TextView
6,SubscribeAgain,ok Scanning the account Are you indicated to be Unsubscribe. Check Unsubscribe ��If Channel is still subscribed click unsubscribe then subscribe again then click Check Unsubscribe button. If the channel is not active please click Report button. Thanks.,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.TextView android.widget.ImageView android.widget.Button android.support.v7.widget.RecyclerView android.widget.RelativeLayout android.widget.TextView
7,KampanyeBaru,Ok Cancel Other Channel My Channel Create Campaign,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.support.v7.widget.RecyclerView
8,LoadingKampanyeSubs,Please try again later All campaigns sold out,android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.ImageView
9,AboutActivity,ArdDeveloper Sub4Sub Tuber I realize this application is still lacking I expect criticism and suggestions to build this application to be better. .. I created this application to help beginner Youtuber friends get Subscriber and View which are the main requirements for monetization of their channels. For that I appeal to my friends to be able to use this application as well as possible. Sub4Sub Tuber App V 1.0 Assalamualaikum wr wb,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView
10,Disclaimer,If you use this application you have agreed to all the rules that apply - Kami berhak memberi hukuman pada akun yang melakukan ujaran kebencian. - If you cheat or illegally process we reserve the right to penalize your sub4sub account. - Aplikasi Sub4sub tidak menjamin subscriber yang Anda dapatkan permanen dan tidak akan hilang - Sub4sub application is not responsible if your account fails to be monetized - Disclaimer,android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView
11,NewSubscribe,Skip Channel subscribe again ��You don`t subscribe to this channel. Login YouTube using same account with YouTube account in the Sub4sub application and click the subscribe button. Than Next Channel You get coins Skip Go Subscribe Loading Subscribe... Loading Channel... -,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.RelativeLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
12,HalamanYoutube,Perhatian Unsubscribe akan mendapatkan penalty…! Klik tombol subscribe setelah loading 100% dan klik kembali untuk mendapatkan koin Terimakasih telah mengunakan sub4sub 60 Second,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.LinearLayout android.widget.TextView az.plainpie.PieView android.widget.RelativeLayout android.widget.RelativeLayout com.ard.sub4sub.Activity.VideoEnabledWebView
13,BuatKampanyeSubs,Buat Kampanye 0 Coin Trade With Get Subscibe Load Coin ... Aplikasi kasir atau point of sales ini sangat simpel dan mudah digunakan aplikasi ini sangat ringan bisa melakukan transaksi secara offline jika telah mendapat ... Load Judul Video Select Video Loading Subscribe... Loading Channel...,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.EditText android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView android.widget.TextView android.widget.TextView android.widget.ImageView android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.TextView de.hdodenhof.circleimageview.CircleImageView
14,Daftar_Video_Sub,null,android.widget.RelativeLayout android.support.design.widget.FloatingActionButton android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.EditText android.support.v7.widget.RecyclerView
