id,label,text,view
0,Mainscrens,Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Reserve Space for admob_Ads,android.widget.RelativeLayout android.widget.ScrollView android.widget.LinearLayout android.webkit.WebView android.view.View android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.FrameLayout
1,Main_backads,More App From Developer(Ads),android.widget.RelativeLayout android.webkit.WebView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.ImageView
2,AdptE_Utimateacti_balnder,Artful Photo Blender Done Artful Photo Blender Effect Artful Photo Blender Picture Artful Photo Blender Background Gallery Artful Photo Blender Camera Artful Photo Blender Gallery Camera Online Sunset Space Nature Color City Animal Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.LinearLayout androidx.recyclerview.widget.RecyclerView android.widget.SeekBar android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.view.View android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView com.artful.photo.blender.doubleexposure.scalimgviews.SubsamplingScaleImageView android.view.View android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageView
3,Gallery_albm,Reserve Space for admob_Ads Artful Photo Blender My Work,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.FrameLayout android.widget.TextView android.view.View android.widget.GridView android.widget.LinearLayout android.widget.LinearLayout android.widget.ImageView android.view.View android.widget.TextView
4,AdptE_Utimateacti_cropiing,16:9 9:16 5:7 5:6 5:4 5:3 4:7 4:5 4:3 3:5 3:4 3:2 2:3 2:1 1:2 Square Custom Artful Photo Blender Crop picture Artful Photo Blender,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout com.artful.photo.blender.doubleexposure.crops.CropImageView com.artful.photo.blender.doubleexposure.crops.CropOverlayView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
5,IMAGE_CAPTURE,null,null
6,AdptE_Utimatebgs_selbckgorund,Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.view.View android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView
7,TExt_sticer_activty,Sticker Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Edit_Erase Artful Photo Blender Opacity Artful Photo Blender Color Artful Photo Blender Controls Artful Photo Blender Save Artful Photo Blender Sticker Artful Photo Blender Text Adjust Artful Photo Blender Text Sticker,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout com.artful.photo.blender.doubleexposure.viewpager.sliding.tab.strip.PagerSlidingTabStrip android.widget.LinearLayout androidx.viewpager.widget.ViewPager android.widget.RelativeLayout android.widget.RelativeLayout com.artful.photo.blender.doubleexposure.viewpager.sliding.tab.strip.PagerSlidingTabStrip android.widget.LinearLayout android.view.View androidx.viewpager.widget.ViewPager android.widget.RelativeLayout android.widget.TextView android.widget.ImageButton android.widget.FrameLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.SeekBar android.widget.LinearLayout android.widget.RelativeLayout uz.shift.colorpicker.LineColorPicker android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout android.widget.SeekBar android.widget.ImageView android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.RelativeLayout android.widget.ImageButton android.widget.LinearLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageView android.widget.TextView android.view.View android.widget.RelativeLayout android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.FrameLayout com.b.a.a.j android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView android.widget.ImageView com.b.a.a.c android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.TextView
8,Share_tiems,Reserve Space for admob_Ads Artful Photo Blender Artful Photo Blender Artful Photo Blender Delete Share,android.widget.RelativeLayout android.widget.RelativeLayout android.view.View android.widget.TextView android.widget.FrameLayout android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.TextView
9,Text_picss,Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Text Artful Photo Blender Artful Photo Blender Artful Photo Blender Artful Photo Blender Enter Your Name Here..! Text View,android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.ImageButton android.widget.ImageButton android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.ImageButton android.widget.SeekBar android.widget.ImageButton android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.ImageButton android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.SeekBar android.widget.ImageView android.widget.RelativeLayout androidx.recyclerview.widget.RecyclerView android.widget.ImageButton android.widget.RelativeLayout android.widget.GridView android.widget.LinearLayout android.widget.RelativeLayout android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageView android.widget.RelativeLayout android.widget.RelativeLayout android.widget.RelativeLayout android.widget.TextView android.widget.EditText android.widget.ImageView android.view.View android.widget.RelativeLayout android.widget.ImageButton android.widget.TextView android.widget.ImageButton
