id,label,text,view
0,Splash,Loading...,android.widget.LinearLayout android.widget.ImageView android.widget.TextView android.widget.ProgressBar android.widget.ImageView
1,MainMenuActivity,CONVERSIONS DISTRIBUTORS FLOW CALCULATOR,android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.RelativeLayout android.widget.ImageButton android.widget.ImageView
2,Feedback,Rate Application Send Feedback Feedback Details... Your Email Address,android.widget.LinearLayout android.widget.LinearLayout android.widget.RelativeLayout android.widget.Button android.widget.RelativeLayout android.widget.ProgressBar android.widget.Button android.widget.EditText android.widget.RelativeLayout android.widget.ImageView android.widget.ImageView android.widget.Button android.widget.LinearLayout android.widget.EditText
3,EmailActivity,Send ASCO - Flow Calculator Result Cc To,android.widget.RelativeLayout android.widget.RelativeLayout android.widget.Button android.widget.ImageView android.widget.ProgressBar android.widget.LinearLayout android.widget.ScrollView android.widget.LinearLayout android.widget.EditText android.webkit.WebView android.widget.EditText android.widget.EditText android.widget.EditText android.widget.EditText
4,SizingMediaSelect,STEAM GAS LIQUID SELECT A MEDIUM This 3-step process allows you to calculate the flow for a valve or determine the Cv to size a valve properly. Glossary Fluid Guide STEAM GAS LIQUID SELECT A MEDIUM This 3-step process allows you to calculate the flow for a valve or determine the Cv to size a valve properly.,android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.HorizontalScrollView android.widget.LinearLayout android.widget.Button android.widget.Button android.widget.Button android.widget.TextView android.widget.TextView
5,ConversionMenuActivity,WEIGHT VOLUME VELOCITY TEMPERATURE PRESSURE LENGTH FLOW ENERGY AREA,android.widget.ScrollView android.widget.HorizontalScrollView android.widget.TableLayout android.widget.TableRow android.widget.Button android.widget.Button android.widget.Button android.widget.TableRow android.widget.Button android.widget.Button android.widget.Button android.widget.TableRow android.widget.Button android.widget.Button android.widget.Button
6,LocatorMainScreenActivity,Find International Locations Use GPS Location OR Go Find by Zip Code or City/State: Combustion Product ASCO Valve Distributor Type: Within Miles:,android.widget.ScrollView android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.LinearLayout android.widget.LinearLayout android.widget.Button android.widget.TextView android.widget.LinearLayout android.widget.Button android.widget.EditText android.widget.LinearLayout android.widget.TextView android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.TextView android.widget.Spinner android.widget.TextView
7,SETTINGS,null,null
8,GasSizingActivity,Glossary Fluid Guide Imperial Metric Next Step 1: Select Gas Imperial Metric Next Step 1: Select Gas,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.widget.Spinner android.widget.TextView android.widget.ScrollView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.widget.Spinner android.widget.TextView
9,SteamSizingActivity,Glossary Fluid Guide Imperial Metric Next Step 1: Select Steam Imperial Metric Next Step 1: Select Steam,android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.widget.Spinner android.widget.TextView android.widget.ScrollView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.widget.Spinner android.widget.TextView
10,LiquidSizingActivity,Imperial Metric Next Select Liquid: Glossary Fluid Guide Imperial Metric Next Select Liquid:,android.widget.ScrollView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.widget.Spinner android.widget.TextView android.widget.RelativeLayout android.widget.LinearLayout android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.LinearLayout android.widget.TextView android.widget.ImageView android.widget.FrameLayout android.widget.ScrollView android.widget.LinearLayout android.widget.RadioGroup android.widget.RadioButton android.widget.RadioButton android.widget.Button android.widget.Spinner android.widget.TextView
